layer_type,model,sm_count,sm_ratio,total_sm,seq_len,batch_size,kernel_name,n_kernels_captured,grid_size,n_waves,last_wave_blocks,wave_efficiency_pct,sm_util_per_sm_pct,achieved_occupancy_pct,analytical_n_blocks,analytical_n_waves,analytical_wave_eff_pct,analytical_last_wave_blocks,analytical_wasted_sm_pct,error,_block_size_parsed,_grid_size_parsed,block_size_raw,gpu__time_duration.sum,gpu__time_duration.sum.unit,grid_size_raw,kernel_duration_ns,kernel_id,kernel_time_ns,ncu_stdout,sm__cycles_active.sum,sm__cycles_active.sum.unit,sm__cycles_elapsed.sum,sm__cycles_elapsed.sum.unit,smsp__warps_active.sum,smsp__warps_active.sum.unit,stderr,warps_active
ssm,zamba2,14,0.12962962962962962,108,256,1,"void at::<unnamed>::distribution_elementwise_grid_stride_kernel<float, 4, void templates::uniform_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void templates::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::<unnamed>::distribution_nullary_kernel<c10::BFloat16, float, float4, at::CUDAGeneratorImpl *, void templates::uniform_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl *, void templates::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void templates::uniform_kernel<at::CUDAGeneratorImpl *>(at::TensorIteratorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)",815,864,62,10,99.53917050691244,98.36515156065596,50.04131032769784,112,8,100.0,0,0.0,,256,864,"(256, 1, 1)",170176,ns,"(864, 1, 1)",170176.0,0,,,22992203,cycle,23374338,cycle,748596801,warp,,748596801.0
ssm,zamba2,14,0.12962962962962962,108,256,4,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,815,448,32,14,100.0,82.96943674353551,10.365563940546856,448,32,100.0,0,0.0,,256,448,"(256, 1, 1)",453216,ns,"(56, 8, 1)",453216.0,611,,,56607088,cycle,68226434,cycle,452611497,warp,,452611497.0
ssm,zamba2,14,0.12962962962962962,108,256,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,1792,128,14,100.0,97.31539271191289,12.157891450992166,1792,128,100.0,0,0.0,,256,1792,"(256, 1, 1)",1534816,ns,"(112, 16, 1)",1534816.0,662,,,224341132,cycle,230529956,cycle,1793765236,warp,,1793765236.0
ssm,zamba2,14,0.12962962962962962,108,256,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,3584,256,14,100.0,97.5604474741321,12.18849526428586,3584,256,100.0,0,0.0,,256,3584,"(256, 1, 1)",3503808,ns,"(112, 32, 1)",3503808.0,6,,,447532830,cycle,458723634,cycle,3578336538,warp,,3578336538.0
ssm,zamba2,14,0.12962962962962962,108,256,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,7168,512,14,100.0,98.9544041210407,12.362634361275337,7168,512,100.0,0,0.0,,256,7168,"(256, 1, 1)",6024704,ns,"(112, 64, 1)",6024704.0,747,,,893910442,cycle,903355894,cycle,7147429514,warp,,7147429514.0
ssm,zamba2,14,0.12962962962962962,108,512,1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,815,224,16,14,100.0,69.23890581859783,8.650233130676032,224,16,100.0,0,0.0,,256,224,"(256, 1, 1)",330240,ns,"(56, 4, 1)",330240.0,6,,,28433109,cycle,41065220,cycle,227343185,warp,,227343185.0
ssm,zamba2,14,0.12962962962962962,108,512,4,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,815,896,64,14,100.0,92.08339726136792,11.50421979300093,896,64,100.0,0,0.0,,256,896,"(256, 1, 1)",814848,ns,"(56, 16, 1)",814848.0,611,,,112725086,cycle,122416298,cycle,901314559,warp,,901314559.0
ssm,zamba2,14,0.12962962962962962,108,512,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,3584,256,14,100.0,97.61990362922765,12.195912213097085,3584,256,100.0,0,0.0,,256,3584,"(256, 1, 1)",3058752,ns,"(112, 32, 1)",3058752.0,6,,,447631027,cycle,458544836,cycle,3579118442,warp,,3579118442.0
ssm,zamba2,14,0.12962962962962962,108,512,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,7168,512,14,100.0,98.9585182563959,12.363150267770108,7168,512,100.0,0,0.0,,256,7168,"(256, 1, 1)",6025856,ns,"(112, 64, 1)",6025856.0,798,,,893895850,cycle,903303592,cycle,7147313949,warp,,7147313949.0
ssm,zamba2,14,0.12962962962962962,108,512,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,14336,1024,14,100.0,99.66285326351178,12.45114263157794,14336,1024,100.0,0,0.0,,256,14336,"(256, 1, 1)",12897408,ns,"(112, 128, 1)",12897408.0,679,,,1786999600,cycle,1793044792,cycle,14288292128,warp,,14288292128.0
