model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms
falcon_h1,a100-80gb,512,1,14,13.0,256,2,24,False,1.109503984451294,0.01358662210977064
falcon_h1,a100-80gb,512,4,14,13.0,256,2,96,False,1.26310396194458,0.012567381252644054
falcon_h1,a100-80gb,512,16,14,13.0,256,2,384,False,3.080704092979431,0.006513057397287839
falcon_h1,a100-80gb,512,32,14,13.0,256,2,768,False,5.851135969161987,0.005315257738641452
falcon_h1,a100-80gb,1024,1,14,13.0,256,4,24,False,2.0930559635162354,0.017889584769936736
falcon_h1,a100-80gb,1024,4,14,13.0,256,4,96,False,2.234368085861206,0.010925349160164044
falcon_h1,a100-80gb,1024,16,14,13.0,256,4,384,False,5.9212799072265625,0.006407611487439244
falcon_h1,a100-80gb,1024,32,14,13.0,256,4,768,False,11.460607528686523,0.07346214741451451
falcon_h1,a100-80gb,2048,1,14,13.0,256,8,24,False,4.0069122314453125,0.011845789857314045
falcon_h1,a100-80gb,2048,4,14,13.0,256,8,96,False,4.212224006652832,0.020644660068600076
falcon_h1,a100-80gb,2048,16,14,13.0,256,8,384,False,11.597824096679688,0.0071508600665357615
falcon_h1,a100-80gb,2048,32,14,13.0,256,8,768,False,22.68057632446289,0.007205477558445093
falcon_h1,a100-80gb,4096,1,14,13.0,256,16,24,False,7.886847972869873,0.029827950179423145
falcon_h1,a100-80gb,4096,4,14,13.0,256,16,96,False,8.109568119049072,0.027175930554218464
falcon_h1,a100-80gb,4096,16,14,13.0,256,16,384,False,22.95244789123535,0.028299763172363337
falcon_h1,a100-80gb,4096,32,14,13.0,256,16,768,False,45.130239486694336,0.00853246678969727
falcon_h1,a100-80gb,8192,1,14,13.0,256,32,24,False,15.62879991531372,0.05817940876714078
falcon_h1,a100-80gb,8192,4,14,13.0,256,32,96,False,15.839744091033936,0.05480546395039077
falcon_h1,a100-80gb,8192,16,14,13.0,256,32,384,False,45.66528129577637,0.01234315838310626
falcon_h1,a100-80gb,8192,32,14,13.0,256,32,768,False,90.01011276245117,0.07853550187850486
falcon_h1,a100-80gb,512,1,27,25.0,256,2,24,True,1.0787839889526367,0.005504909489950189
falcon_h1,a100-80gb,512,4,27,25.0,256,2,96,False,1.1514880061149597,0.016462373558714022
falcon_h1,a100-80gb,512,16,27,25.0,256,2,384,False,1.7346559762954712,0.005319762304948264
falcon_h1,a100-80gb,512,32,27,25.0,256,2,768,False,3.161087989807129,0.0037141364946377264
falcon_h1,a100-80gb,1024,1,27,25.0,256,4,24,True,2.0643839836120605,0.005801706834960431
falcon_h1,a100-80gb,1024,4,27,25.0,256,4,96,False,2.1468160152435303,0.01214300481455011
falcon_h1,a100-80gb,1024,16,27,25.0,256,4,384,False,3.2327680587768555,0.004789572514528025
falcon_h1,a100-80gb,1024,32,27,25.0,256,4,768,False,6.0840959548950195,0.004691354544892505
falcon_h1,a100-80gb,2048,1,27,25.0,256,8,24,True,4.02892804145813,0.02129022230890964
falcon_h1,a100-80gb,2048,4,27,25.0,256,8,96,False,4.119552135467529,0.020136085894360254
falcon_h1,a100-80gb,2048,16,27,25.0,256,8,384,False,6.228991985321045,0.005222499890929156
falcon_h1,a100-80gb,2048,32,27,25.0,256,8,768,False,11.939840316772461,0.0055555296475886485
falcon_h1,a100-80gb,4096,1,27,25.0,256,16,24,True,7.913984060287476,0.02140382126842622
falcon_h1,a100-80gb,4096,4,27,25.0,256,16,96,False,8.006144046783447,0.11342763605094965
falcon_h1,a100-80gb,4096,16,27,25.0,256,16,384,False,12.211711883544922,0.02888993847256035
falcon_h1,a100-80gb,4096,32,27,25.0,256,16,768,False,23.631360054016113,0.0563882710829297
falcon_h1,a100-80gb,8192,1,27,25.0,256,32,24,True,15.747072219848633,0.06740611908613753
falcon_h1,a100-80gb,8192,4,27,25.0,256,32,96,False,15.657472133636475,0.0295289862008755
falcon_h1,a100-80gb,8192,16,27,25.0,256,32,384,False,24.171008110046387,0.0062340676177519315
falcon_h1,a100-80gb,8192,32,27,25.0,256,32,768,False,47.0200309753418,0.07545442134872803
falcon_h1,a100-80gb,512,1,40,37.0,256,2,24,True,1.0890239477157593,0.00615912151132867
falcon_h1,a100-80gb,512,4,40,37.0,256,2,96,False,1.1263999938964844,0.010358211657943208
falcon_h1,a100-80gb,512,16,40,37.0,256,2,384,False,1.3818880319595337,0.005181090038237888
falcon_h1,a100-80gb,512,32,40,37.0,256,2,768,False,2.4002559185028076,0.004928730121520498
falcon_h1,a100-80gb,1024,1,40,37.0,256,4,24,True,2.076672077178955,0.014287567364178995
falcon_h1,a100-80gb,1024,4,40,37.0,256,4,96,False,2.1498879194259644,0.009824800703392032
falcon_h1,a100-80gb,1024,16,40,37.0,256,4,384,False,2.5052160024642944,0.0052214357402040985
falcon_h1,a100-80gb,1024,32,40,37.0,256,4,768,False,4.561408042907715,0.004429505183175998
falcon_h1,a100-80gb,2048,1,40,37.0,256,8,24,True,4.036607980728149,0.02203359693393529
falcon_h1,a100-80gb,2048,4,40,37.0,256,8,96,False,4.085760116577148,0.015995411379270106
falcon_h1,a100-80gb,2048,16,40,37.0,256,8,384,False,4.744704008102417,0.007843964021776674
falcon_h1,a100-80gb,2048,32,40,37.0,256,8,768,False,8.880640029907227,0.0061289566755217476
falcon_h1,a100-80gb,4096,1,40,37.0,256,16,24,True,7.960575819015503,0.021013786482870667
falcon_h1,a100-80gb,4096,4,40,37.0,256,16,96,False,7.952383995056152,0.04054678675079248
falcon_h1,a100-80gb,4096,16,40,37.0,256,16,384,False,9.220096111297607,0.006793411586529382
falcon_h1,a100-80gb,4096,32,40,37.0,256,16,768,False,17.51910400390625,0.008008548008133852
falcon_h1,a100-80gb,8192,1,40,37.0,256,32,24,True,15.642623901367188,0.4487966736162274
falcon_h1,a100-80gb,8192,4,40,37.0,256,32,96,False,15.654399871826172,0.10614663787319066
falcon_h1,a100-80gb,8192,16,40,37.0,256,32,384,False,18.148351669311523,0.007049144778598937
falcon_h1,a100-80gb,8192,32,40,37.0,256,32,768,False,34.797569274902344,0.005141344022348716
falcon_h1,a100-80gb,512,1,54,50.0,256,2,24,True,1.087488055229187,0.009136636167369686
falcon_h1,a100-80gb,512,4,54,50.0,256,2,96,False,1.1176960468292236,0.008081020513594737
falcon_h1,a100-80gb,512,16,54,50.0,256,2,384,False,1.2636159658432007,0.011679897507327818
falcon_h1,a100-80gb,512,32,54,50.0,256,2,768,False,1.9553279876708984,0.0023175679245032747
falcon_h1,a100-80gb,1024,1,54,50.0,256,4,24,True,2.064895987510681,0.008779663936492816
falcon_h1,a100-80gb,1024,4,54,50.0,256,4,96,False,2.092031955718994,0.008488222386293695
falcon_h1,a100-80gb,1024,16,54,50.0,256,4,384,False,2.2625280618667603,0.007647661029892465
falcon_h1,a100-80gb,1024,32,54,50.0,256,4,768,False,3.6746240854263306,0.004875174364275484
falcon_h1,a100-80gb,2048,1,54,50.0,256,8,24,True,4.005375862121582,0.030599116055872545
falcon_h1,a100-80gb,2048,4,54,50.0,256,8,96,False,4.060672044754028,0.014380223374773321
falcon_h1,a100-80gb,2048,16,54,50.0,256,8,384,False,4.22707200050354,0.014520167501476281
falcon_h1,a100-80gb,2048,32,54,50.0,256,8,768,False,7.10860800743103,0.0041929335975650454
falcon_h1,a100-80gb,4096,1,54,50.0,256,16,24,True,7.861247777938843,0.06676572987947758
falcon_h1,a100-80gb,4096,4,54,50.0,256,16,96,False,7.932415962219238,0.09377267507742953
falcon_h1,a100-80gb,4096,16,54,50.0,256,16,384,False,8.119808197021484,0.03429696440978296
falcon_h1,a100-80gb,4096,32,54,50.0,256,16,768,False,13.975039958953857,0.006526741116489691
falcon_h1,a100-80gb,8192,1,54,50.0,256,32,24,True,15.477759838104248,0.07619128016704975
falcon_h1,a100-80gb,8192,4,54,50.0,256,32,96,False,15.610879898071289,0.04540569460846829
falcon_h1,a100-80gb,8192,16,54,50.0,256,32,384,False,15.780864238739014,0.04030698058649472
falcon_h1,a100-80gb,8192,32,54,50.0,256,32,768,False,27.70534324645996,0.01031992053506967
falcon_h1,a100-80gb,512,1,68,63.0,256,2,24,True,1.0885120034217834,0.008385977498332055
falcon_h1,a100-80gb,512,4,68,63.0,256,2,96,False,1.1089919805526733,0.008713021611608135
falcon_h1,a100-80gb,512,16,68,63.0,256,2,384,False,1.233407974243164,0.011033556465818386
falcon_h1,a100-80gb,512,32,68,63.0,256,2,768,False,1.7100800275802612,0.0034540516483804566
falcon_h1,a100-80gb,1024,1,68,63.0,256,4,24,True,2.0863999128341675,0.017909084614040876
