model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms
zamba2,a100-80gb,512,1,14,13.0,256,2,112,False,1.2247040271759033,0.01505932879461805
zamba2,a100-80gb,512,4,14,13.0,256,2,448,False,1.802240014076233,0.008141367737340807
zamba2,a100-80gb,512,16,14,13.0,256,2,1792,False,5.554176092147827,0.003652472544461649
zamba2,a100-80gb,512,32,14,13.0,256,2,3584,False,10.801152229309082,0.005793483504092789
zamba2,a100-80gb,1024,1,14,13.0,256,4,112,False,2.1862399578094482,0.00987458364071764
zamba2,a100-80gb,1024,4,14,13.0,256,4,448,False,3.176959991455078,0.006958457287524867
zamba2,a100-80gb,1024,16,14,13.0,256,4,1792,False,10.84774398803711,0.015815735419489024
zamba2,a100-80gb,1024,32,14,13.0,256,4,3584,False,21.37548828125,0.06423630107280764
zamba2,a100-80gb,2048,1,14,13.0,256,8,112,False,4.14463996887207,0.021143123789008116
zamba2,a100-80gb,2048,4,14,13.0,256,8,448,False,5.9269118309021,0.00365237599346539
zamba2,a100-80gb,2048,16,14,13.0,256,8,1792,False,21.509632110595703,0.008877055176748925
zamba2,a100-80gb,2048,32,14,13.0,256,8,3584,False,42.48320007324219,0.04623059170917116
zamba2,a100-80gb,4096,1,14,13.0,256,16,112,False,8.064511775970459,0.2340389347830297
zamba2,a100-80gb,4096,4,14,13.0,256,16,448,False,11.405311584472656,0.014271208626662885
zamba2,a100-80gb,4096,16,14,13.0,256,16,1792,False,42.72435188293457,0.05025201133478036
zamba2,a100-80gb,4096,32,14,13.0,256,16,3584,False,84.7564811706543,0.08299100936410046
zamba2,a100-80gb,8192,1,14,13.0,256,32,112,False,15.874048233032227,0.04809471689218741
zamba2,a100-80gb,8192,4,14,13.0,256,32,448,False,22.379520416259766,0.03720723413566605
zamba2,a100-80gb,8192,16,14,13.0,256,32,1792,False,85.2116470336914,0.09573470764532416
zamba2,a100-80gb,8192,32,14,13.0,256,32,3584,False,169.2549057006836,0.13462317181704342
zamba2,a100-80gb,512,1,27,25.0,256,2,112,False,1.1381759643554688,0.011117733386452038
zamba2,a100-80gb,512,4,27,25.0,256,2,448,False,1.3388800024986267,0.0043026797808789485
zamba2,a100-80gb,512,16,27,25.0,256,2,1792,False,3.012608051300049,0.004590883980150433
zamba2,a100-80gb,512,32,27,25.0,256,2,3584,False,5.627903938293457,0.004946372754130304
zamba2,a100-80gb,1024,1,27,25.0,256,4,112,False,2.1294080018997192,0.010233776087513092
zamba2,a100-80gb,1024,4,27,25.0,256,4,448,False,2.3552000522613525,0.010375627776972787
zamba2,a100-80gb,1024,16,27,25.0,256,4,1792,False,5.761535882949829,0.008867455365657374
zamba2,a100-80gb,1024,32,27,25.0,256,4,3584,False,11.020800113677979,0.006182804651641045
zamba2,a100-80gb,2048,1,27,25.0,256,8,112,False,4.082175970077515,0.015522542320792818
zamba2,a100-80gb,2048,4,27,25.0,256,8,448,False,4.325376033782959,0.22109922667646337
zamba2,a100-80gb,2048,16,27,25.0,256,8,1792,False,11.231743812561035,0.005912221899249074
zamba2,a100-80gb,2048,32,27,25.0,256,8,3584,False,21.807616233825684,0.007160564151393991
zamba2,a100-80gb,4096,1,27,25.0,256,16,112,False,8.002560138702393,0.025836887452223473
zamba2,a100-80gb,4096,4,27,25.0,256,16,448,False,8.227839946746826,0.028152002888175442
zamba2,a100-80gb,4096,16,27,25.0,256,16,1792,False,22.16960048675537,0.007675052981190256
zamba2,a100-80gb,4096,32,27,25.0,256,16,3584,False,43.38431930541992,0.006857371750768108
zamba2,a100-80gb,8192,1,27,25.0,256,32,112,False,15.772671699523926,0.056960904781911875
zamba2,a100-80gb,8192,4,27,25.0,256,32,448,False,16.1013765335083,0.2837142922753935
zamba2,a100-80gb,8192,16,27,25.0,256,32,1792,False,44.05401611328125,0.0067096058972385035
zamba2,a100-80gb,8192,32,27,25.0,256,32,3584,False,86.53517150878906,0.007542652648987508
zamba2,a100-80gb,512,1,40,37.0,256,2,112,False,1.1089919805526733,0.005091484234971021
zamba2,a100-80gb,512,4,40,37.0,256,2,448,False,1.2615679502487183,0.009390698017052227
zamba2,a100-80gb,512,16,40,37.0,256,2,1792,False,2.3162879943847656,0.00712812081826767
zamba2,a100-80gb,512,32,40,37.0,256,2,3584,False,4.097024202346802,0.0038450435767773284
zamba2,a100-80gb,1024,1,40,37.0,256,4,112,False,2.1145598888397217,0.012139658221853145
zamba2,a100-80gb,1024,4,40,37.0,256,4,448,False,2.2517759799957275,0.010903448695168617
zamba2,a100-80gb,1024,16,40,37.0,256,4,1792,False,4.282880067825317,0.007478991485289935
zamba2,a100-80gb,1024,32,40,37.0,256,4,3584,False,7.951359987258911,0.004503689517216753
zamba2,a100-80gb,2048,1,40,37.0,256,8,112,False,4.069888114929199,0.02068267745262378
zamba2,a100-80gb,2048,4,40,37.0,256,8,448,False,4.222976207733154,0.025209997199783354
zamba2,a100-80gb,2048,16,40,37.0,256,8,1792,False,8.203263759613037,0.006932324917936864
zamba2,a100-80gb,2048,32,40,37.0,256,8,3584,False,15.662591934204102,0.005132487059041502
zamba2,a100-80gb,4096,1,40,37.0,256,16,112,False,7.965696096420288,0.02603629563674519
zamba2,a100-80gb,4096,4,40,37.0,256,16,448,False,8.152063846588135,0.01982673725823191
zamba2,a100-80gb,4096,16,40,37.0,256,16,1792,False,16.055295944213867,0.006991695326460298
zamba2,a100-80gb,4096,32,40,37.0,256,16,3584,False,31.089664459228516,0.006083129975838363
zamba2,a100-80gb,8192,1,40,37.0,256,32,112,False,15.75935983657837,0.05336410953324029
zamba2,a100-80gb,8192,4,40,37.0,256,32,448,False,16.068608283996582,0.044839453093745804
zamba2,a100-80gb,8192,16,40,37.0,256,32,1792,False,31.748608589172363,0.010024653203211652
zamba2,a100-80gb,8192,32,40,37.0,256,32,3584,False,61.94432067871094,0.006374913986756111
zamba2,a100-80gb,512,1,54,50.0,256,2,112,False,1.097216010093689,0.007598762006530472
zamba2,a100-80gb,512,4,54,50.0,256,2,448,False,1.2139519453048706,0.009895725722759999
zamba2,a100-80gb,512,16,54,50.0,256,2,1792,False,1.8908159732818604,0.007510118557744954
zamba2,a100-80gb,512,32,54,50.0,256,2,3584,False,3.1774721145629883,0.005253589959492555
zamba2,a100-80gb,1024,1,54,50.0,256,4,112,False,2.082304000854492,0.011026682701214822
zamba2,a100-80gb,1024,4,54,50.0,256,4,448,False,2.2159359455108643,0.01863194391100092
zamba2,a100-80gb,1024,16,54,50.0,256,4,1792,False,3.3889280557632446,0.0063902619831607945
zamba2,a100-80gb,1024,32,54,50.0,256,4,3584,False,6.112255811691284,0.004318973278596472
zamba2,a100-80gb,2048,1,54,50.0,256,8,112,False,4.061183929443359,0.013664001610665577
zamba2,a100-80gb,2048,4,54,50.0,256,8,448,False,4.167167901992798,0.01502794145448832
zamba2,a100-80gb,2048,16,54,50.0,256,8,1792,False,6.396927833557129,0.007276899787756716
zamba2,a100-80gb,2048,32,54,50.0,256,8,3584,False,11.991040229797363,0.003709288435843366
zamba2,a100-80gb,4096,1,54,50.0,256,16,112,False,7.941632032394409,0.02154570470245766
zamba2,a100-80gb,4096,4,54,50.0,256,16,448,False,8.135680198669434,0.03223453702685438
zamba2,a100-80gb,4096,16,54,50.0,256,16,1792,False,12.409855842590332,0.00733349886333463
zamba2,a100-80gb,4096,32,54,50.0,256,16,3584,False,23.74502468109131,0.005462195694086711
zamba2,a100-80gb,8192,1,54,50.0,256,32,112,False,15.855103969573975,0.041486202786892995
zamba2,a100-80gb,8192,4,54,50.0,256,32,448,False,15.975935935974121,0.3270313141725803
zamba2,a100-80gb,8192,16,54,50.0,256,32,1792,False,24.41113567352295,0.012089334379504574
