sm_count,sm_ratio,seq_len,batch_size,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type,n_blocks,waves,analytical
14,0.12962962962962962,512,1,2.779818534851074,2.861902364095052,28.88930637971867,2000,1.4444653189859336,zamba2,ssm,224,16,True
14,0.12962962962962962,512,4,3.735552046034071,3.837715318467882,114.652349951635,2000,5.73261749758175,zamba2,ssm,896,64,True
14,0.12962962962962962,512,16,6.437948339125689,6.468865697524127,281.7540747971727,2000,14.087703739858634,zamba2,ssm,3584,256,True
14,0.12962962962962962,512,32,12.888094318446829,12.935124092671408,285.68832139063034,2000,14.284416069531517,zamba2,ssm,7168,512,True
14,0.12962962962962962,512,64,27.081643929158833,27.302948502848917,273.9611745778268,2000,13.698058728891342,zamba2,ssm,14336,1024,True
14,0.12962962962962962,1024,1,3.3095680236816407,3.3947647094726565,58.23496245458638,2000,2.9117481227293194,zamba2,ssm,448,32,True
14,0.12962962962962962,1024,4,3.901319615981158,3.986439065372242,232.47560007857345,2000,11.623780003928672,zamba2,ssm,1792,128,True
14,0.12962962962962962,1024,16,12.770716425198227,12.817746199422809,288.31413283096543,2000,14.41570664154827,zamba2,ssm,7168,512,True
14,0.12962962962962962,1024,32,26.837238971452066,27.199982286037358,276.4561208484628,2000,13.822806042423139,zamba2,ssm,14336,1024,True
14,0.12962962962962962,1024,64,56.16188909774436,56.58368332941729,264.21178178215666,2000,13.210589089107833,zamba2,ssm,28672,2048,True
14,0.12962962962962962,2048,1,3.633607228597005,3.7721792432996963,117.8690467901271,2000,5.8934523395063545,zamba2,ssm,896,64,True
14,0.12962962962962962,2048,4,6.3762673770680145,6.407184735466452,284.47962900772256,2000,14.223981450386129,zamba2,ssm,3584,256,True
14,0.12962962962962962,2048,16,26.679557169290412,27.43642431273496,278.09003475030903,2000,13.904501737515451,zamba2,ssm,14336,1024,True
14,0.12962962962962962,2048,32,55.8425862018327,56.15802499412594,265.72252103681984,2000,13.286126051840991,zamba2,ssm,28672,2048,True
14,0.12962962962962962,2048,64,116.56373587570621,116.8252715248352,255.0806179601838,2000,12.754030898009189,zamba2,ssm,57344,4096,True
14,0.12962962962962962,4096,1,3.9167399686925553,4.024912840899298,231.56033488898723,2000,11.57801674444936,zamba2,ssm,1792,128,True
14,0.12962962962962962,4096,4,12.778541678812966,12.817746199422809,288.13757659576873,2000,14.406878829788436,zamba2,ssm,7168,512,True
14,0.12962962962962962,4096,16,55.69672961701127,56.13500524994125,266.41838558210065,2000,13.320919279105034,zamba2,ssm,28672,2048,True
14,0.12962962962962962,4096,32,116.35836717278718,117.10117959922316,255.53082688733792,2000,12.776541344366896,zamba2,ssm,57344,4096,True
14,0.12962962962962962,4096,64,234.83757797787192,235.4899411487759,253.2230782068894,2000,12.661153910344469,zamba2,ssm,114688,8192,True
14,0.12962962962962962,8192,1,6.337716495289522,6.391687729779411,286.210053610088,2000,14.310502680504399,zamba2,ssm,3584,256,True
14,0.12962962962962962,8192,4,26.971266667645676,27.365467501762218,275.08233379453884,2000,13.754116689726942,zamba2,ssm,14336,1024,True
14,0.12962962962962962,8192,16,116.61902660075329,117.45678422198681,254.95968064211854,2000,12.747984032105927,zamba2,ssm,57344,4096,True
14,0.12962962962962962,8192,32,234.18987611817326,235.40432585922787,253.92342043086524,2000,12.696171021543263,zamba2,ssm,114688,8192,True
27,0.25,512,1,1.5636479258537292,1.609820079803467,28.88930637971867,2000,1.4444653189859336,zamba2,ssm,224,9,True
27,0.25,512,4,1.9845120244556003,2.0387862629360622,114.652349951635,2000,5.73261749758175,zamba2,ssm,896,34,True
27,0.25,512,16,3.3447153480613934,3.3607778819168317,281.7540747971727,2000,14.087703739858634,zamba2,ssm,3584,133,True
27,0.25,512,32,6.695767751380578,6.720201188770693,285.68832139063034,2000,14.284416069531517,zamba2,ssm,7168,266,True
27,0.25,512,64,14.043313404671233,14.158071928723414,273.9611745778268,2000,13.698058728891342,zamba2,ssm,14336,531,True
27,0.25,1024,1,1.7582080125808714,1.8034687519073487,58.23496245458638,2000,2.9117481227293194,zamba2,ssm,448,17,True
27,0.25,1024,4,2.0420969864901375,2.0866516982807832,232.47560007857345,2000,11.623780003928672,zamba2,ssm,1792,67,True
27,0.25,1024,16,6.634786267778766,6.659219705168881,288.31413283096543,2000,14.41570664154827,zamba2,ssm,7168,266,True
27,0.25,1024,32,13.916576068204149,14.104678314341639,276.4561208484628,2000,13.822806042423139,zamba2,ssm,14336,531,True
27,0.25,1024,64,29.123010850490484,29.341734226484945,264.21178178215666,2000,13.210589089107833,zamba2,ssm,28672,1062,True
27,0.25,2048,1,1.930353840192159,2.0039702230029635,117.8690467901271,2000,5.8934523395063545,zamba2,ssm,896,34,True
27,0.25,2048,4,3.3126701607423668,3.3287326945978055,284.47962900772256,2000,14.223981450386129,zamba2,ssm,3584,133,True
27,0.25,2048,16,13.834809430559776,14.227286435607681,278.09003475030903,2000,13.904501737515451,zamba2,ssm,14336,531,True
27,0.25,2048,32,28.957434837083174,29.121007101446168,265.72252103681984,2000,13.286126051840991,zamba2,ssm,28672,1062,True
27,0.25,2048,64,60.444671630859375,60.58029216766357,255.0806179601838,2000,12.754030898009189,zamba2,ssm,57344,2124,True
27,0.25,4096,1,2.0501685773625096,2.106790315158227,231.56033488898723,2000,11.57801674444936,zamba2,ssm,1792,67,True
27,0.25,4096,4,6.638851731570798,6.659219705168881,288.13757659576873,2000,14.406878829788436,zamba2,ssm,7168,266,True
27,0.25,4096,16,28.881800221321278,29.10907010519415,266.41838558210065,2000,13.320919279105034,zamba2,ssm,28672,1062,True
27,0.25,4096,32,60.33817672729492,60.72336559295654,255.53082688733792,2000,12.776541344366896,zamba2,ssm,57344,2124,True
27,0.25,4096,64,121.77612686157227,122.11441284179688,253.2230782068894,2000,12.661153910344469,zamba2,ssm,114688,4248,True
