model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms
falcon_h1,a100-sxm4-80gb,512,1,14,13.0,256,2,24,False,1.474560022354126,0.011655916545752883
falcon_h1,a100-sxm4-80gb,512,4,14,13.0,256,2,96,False,3.198464035987854,0.007899477494808595
falcon_h1,a100-sxm4-80gb,512,16,14,13.0,256,2,384,False,11.583488464355469,0.004032932496561358
falcon_h1,a100-sxm4-80gb,512,32,14,13.0,256,2,768,False,22.756863594055176,0.003290139872276113
falcon_h1,a100-sxm4-80gb,1024,1,14,13.0,256,4,24,False,2.851840019226074,0.007593477942466032
falcon_h1,a100-sxm4-80gb,1024,4,14,13.0,256,4,96,False,6.286848068237305,0.003480879233705086
falcon_h1,a100-sxm4-80gb,1024,16,14,13.0,256,4,384,False,23.054848670959473,0.005314413310088446
falcon_h1,a100-sxm4-80gb,1024,32,14,13.0,256,4,768,False,45.40313720703125,0.003553704945021478
falcon_h1,a100-sxm4-80gb,2048,1,14,13.0,256,8,24,False,5.543936014175415,0.012079501636187033
falcon_h1,a100-sxm4-80gb,2048,4,14,13.0,256,8,96,False,12.461567878723145,0.00932290270023417
falcon_h1,a100-sxm4-80gb,2048,16,14,13.0,256,8,384,False,46.00012969970703,0.003128291692034752
falcon_h1,a100-sxm4-80gb,2048,32,14,13.0,256,8,768,False,90.70182418823242,0.018853739430441385
falcon_h1,a100-sxm4-80gb,4096,1,14,13.0,256,16,24,False,11.018752098083496,0.0199510197575851
falcon_h1,a100-sxm4-80gb,4096,4,14,13.0,256,16,96,False,24.812543869018555,0.04786190094287328
falcon_h1,a100-sxm4-80gb,4096,16,14,13.0,256,16,384,False,91.89734268188477,0.013291282761097475
falcon_h1,a100-sxm4-80gb,4096,32,14,13.0,256,16,768,False,181.29510498046875,0.00842714369260676
falcon_h1,a100-sxm4-80gb,8192,1,14,13.0,256,32,24,False,21.79276752471924,0.03742039872289982
falcon_h1,a100-sxm4-80gb,8192,4,14,13.0,256,32,96,False,49.51347351074219,0.009147022105272545
falcon_h1,a100-sxm4-80gb,8192,16,14,13.0,256,32,384,False,183.67181396484375,0.04996578739815932
falcon_h1,a100-sxm4-80gb,8192,32,14,13.0,256,32,768,False,362.49754333496094,0.018902733399559182
falcon_h1,a100-sxm4-80gb,512,1,27,25.0,256,2,24,True,1.4653440117835999,0.010536650475687604
falcon_h1,a100-sxm4-80gb,512,4,27,25.0,256,2,96,False,1.726464033126831,0.0016756778544928619
falcon_h1,a100-sxm4-80gb,512,16,27,25.0,256,2,384,False,5.96940803527832,0.002161488528998721
falcon_h1,a100-sxm4-80gb,512,32,27,25.0,256,2,768,False,11.614720344543457,0.003986277674502177
falcon_h1,a100-sxm4-80gb,1024,1,27,25.0,256,4,24,True,2.827776074409485,0.010376179026887119
falcon_h1,a100-sxm4-80gb,1024,4,27,25.0,256,4,96,False,3.3489919900894165,0.0024039357001249136
falcon_h1,a100-sxm4-80gb,1024,16,27,25.0,256,4,384,False,11.8220796585083,0.002944185818161536
falcon_h1,a100-sxm4-80gb,1024,32,27,25.0,256,4,768,False,23.11680030822754,0.0023175082914707835
falcon_h1,a100-sxm4-80gb,2048,1,27,25.0,256,8,24,True,5.541887998580933,0.014233627909361444
falcon_h1,a100-sxm4-80gb,2048,4,27,25.0,256,8,96,False,6.58841609954834,0.004856013316391317
falcon_h1,a100-sxm4-80gb,2048,16,27,25.0,256,8,384,False,23.542271614074707,0.004425458053323387
falcon_h1,a100-sxm4-80gb,2048,32,27,25.0,256,8,768,False,46.13478469848633,0.04655533901987358
falcon_h1,a100-sxm4-80gb,4096,1,27,25.0,256,16,24,True,10.944512367248535,0.012938584286672723
falcon_h1,a100-sxm4-80gb,4096,4,27,25.0,256,16,96,False,13.06982421875,0.007343793661989835
falcon_h1,a100-sxm4-80gb,4096,16,27,25.0,256,16,384,False,46.969343185424805,0.005520970423837154
falcon_h1,a100-sxm4-80gb,4096,32,27,25.0,256,16,768,False,92.15795135498047,0.01776480973684565
falcon_h1,a100-sxm4-80gb,8192,1,27,25.0,256,32,24,True,21.918208122253418,0.04855692679169713
falcon_h1,a100-sxm4-80gb,8192,4,27,25.0,256,32,96,False,26.027008056640625,0.006636173690241015
falcon_h1,a100-sxm4-80gb,8192,16,27,25.0,256,32,384,False,93.83782196044922,0.007528999528965902
falcon_h1,a100-sxm4-80gb,8192,32,27,25.0,256,32,768,False,184.19200134277344,0.010278701573798945
falcon_h1,a100-sxm4-80gb,512,1,40,37.0,256,2,24,True,1.4499839544296265,0.010297303307296323
falcon_h1,a100-sxm4-80gb,512,4,40,37.0,256,2,96,False,1.4807040095329285,0.008811436096719447
falcon_h1,a100-sxm4-80gb,512,16,40,37.0,256,2,384,False,4.345344066619873,0.002967794404393381
falcon_h1,a100-sxm4-80gb,512,32,40,37.0,256,2,768,False,8.311295986175537,0.002498998048155212
falcon_h1,a100-sxm4-80gb,1024,1,40,37.0,256,4,24,True,2.819584012031555,0.22988199510034568
falcon_h1,a100-sxm4-80gb,1024,4,40,37.0,256,4,96,False,2.836479902267456,0.007861003162804798
falcon_h1,a100-sxm4-80gb,1024,16,40,37.0,256,4,384,False,8.584192276000977,0.002643812614205322
falcon_h1,a100-sxm4-80gb,1024,32,40,37.0,256,4,768,False,16.516096115112305,0.0043978922415919405
falcon_h1,a100-sxm4-80gb,2048,1,40,37.0,256,8,24,True,5.52294397354126,0.012156419908132238
falcon_h1,a100-sxm4-80gb,2048,4,40,37.0,256,8,96,False,5.5613439083099365,0.010487917486117345
falcon_h1,a100-sxm4-80gb,2048,16,40,37.0,256,8,384,False,17.05881690979004,0.0036444853849913503
falcon_h1,a100-sxm4-80gb,2048,32,40,37.0,256,8,768,False,32.92313575744629,0.026638069788920516
falcon_h1,a100-sxm4-80gb,4096,1,40,37.0,256,16,24,True,10.927103996276855,0.019849096088054182
falcon_h1,a100-sxm4-80gb,4096,4,40,37.0,256,16,96,False,10.95628833770752,0.021279036982474048
falcon_h1,a100-sxm4-80gb,4096,16,40,37.0,256,16,384,False,34.0055046081543,0.022153091649259014
falcon_h1,a100-sxm4-80gb,4096,32,40,37.0,256,16,768,False,65.73670196533203,0.045975348049985904
falcon_h1,a100-sxm4-80gb,8192,1,40,37.0,256,32,24,True,21.848063468933105,0.044650999731691406
falcon_h1,a100-sxm4-80gb,8192,4,40,37.0,256,32,96,False,21.79686450958252,0.05588492706042706
falcon_h1,a100-sxm4-80gb,8192,16,40,37.0,256,32,384,False,67.9029769897461,0.00790968477056732
falcon_h1,a100-sxm4-80gb,8192,32,40,37.0,256,32,768,False,131.34899139404297,0.014602396630567116
falcon_h1,a100-sxm4-80gb,512,1,54,50.0,256,2,24,True,1.4576640129089355,0.008405379369010079
falcon_h1,a100-sxm4-80gb,512,4,54,50.0,256,2,96,False,1.4632959961891174,0.011733127803831116
falcon_h1,a100-sxm4-80gb,512,16,54,50.0,256,2,384,False,3.358720064163208,0.0024039357001249136
falcon_h1,a100-sxm4-80gb,512,32,54,50.0,256,2,768,False,6.355967998504639,0.003346020953746699
