sm_count,sm_ratio,seq_len,batch_size,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type,error
14,0.12962962962962962,512,1,2.228224039077759,2.244607925415039,70.58823405616761,1000.0,7.058823405616761,falcon_h1,mlp,
14,0.12962962962962962,512,4,8.638463973999023,8.642560005187988,20.39260319082508,1000.0,2.039260319082508,falcon_h1,mlp,
14,0.12962962962962962,512,16,34.19136047363281,34.19853851318359,7.360287409273172,1000.0,0.7360287409273172,falcon_h1,mlp,
14,0.12962962962962962,512,32,68.35814666748047,68.3653311920166,5.15405336709644,1000.0,0.515405336709644,falcon_h1,mlp,
14,0.12962962962962962,512,64,136.627197265625,136.6436260986328,4.052254156422604,1000.0,0.4052254156422604,falcon_h1,mlp,
14,0.12962962962962962,1024,1,4.363264083862305,4.365312099456787,37.48979040828604,1000.0,3.748979040828604,falcon_h1,mlp,
14,0.12962962962962962,1024,4,17.251327514648438,17.257471084594727,11.670208674031008,1000.0,1.1670208674031008,falcon_h1,mlp,
14,0.12962962962962962,1024,16,68.35916900634766,68.36738342285156,5.153976286155326,1000.0,0.5153976286155326,falcon_h1,mlp,
14,0.12962962962962962,1024,32,136.6333465576172,136.64666244506836,4.052071781514412,1000.0,0.4052071781514412,falcon_h1,mlp,
14,0.12962962962962962,1024,64,272.8929138183594,272.94114196777343,3.5043097991050254,1000.0,0.35043097991050254,falcon_h1,mlp,
14,0.12962962962962962,2048,1,8.638463973999023,8.64259072303772,20.39260319082508,1000.0,2.039260319082508,falcon_h1,mlp,
14,0.12962962962962962,2048,4,34.19340896606445,34.2026252746582,7.359846461923712,1000.0,0.7359846461923711,falcon_h1,mlp,
14,0.12962962962962962,2048,16,136.6282196044922,136.64259353637695,4.05222383489067,1000.0,0.40522238348906703,falcon_h1,mlp,
14,0.12962962962962962,2048,32,272.8949890136719,272.94624908447264,3.504283151025869,1000.0,0.35042831510258693,falcon_h1,mlp,
14,0.12962962962962962,2048,64,545.7720336914062,545.9558721923828,3.227735338663503,1000.0,0.32277353386635027,falcon_h1,mlp,
14,0.12962962962962962,4096,1,17.252351760864258,17.25645896911621,11.669515831267432,1000.0,1.1669515831267432,falcon_h1,mlp,
14,0.12962962962962962,4096,4,68.36019134521484,68.3694076538086,5.153899207519731,1000.0,0.5153899207519731,falcon_h1,mlp,
14,0.12962962962962962,4096,16,272.9057312011719,273.11309814453125,3.5041452145065595,1000.0,0.35041452145065594,falcon_h1,mlp,
14,0.12962962962962962,4096,32,545.7960815429688,546.03271484375,3.2275931241937914,1000.0,0.32275931241937916,falcon_h1,mlp,
14,0.12962962962962962,4096,64,1091.6505737304688,1091.9025378417969,3.089102407995079,1000.0,0.3089102407995079,falcon_h1,mlp,
14,0.12962962962962962,8192,1,34.1923828125,34.19853851318359,7.360067339559592,1000.0,0.7360067339559592,falcon_h1,mlp,
14,0.12962962962962962,8192,4,136.62924194335938,136.6436569213867,4.052193513812503,1000.0,0.4052193513812503,falcon_h1,mlp,
14,0.12962962962962962,8192,16,545.7884216308594,545.9959112548828,3.2276384221126855,1000.0,0.3227638422112686,falcon_h1,mlp,
14,0.12962962962962962,8192,32,1091.60400390625,1091.8810327148437,3.0892341947562296,1000.0,0.30892341947562296,falcon_h1,mlp,
14,0.12962962962962962,8192,64,2182.855712890625,2183.426826171875,3.0205596499407164,1000.0,0.3020559649940716,falcon_h1,mlp,
14,0.12962962962962962,16384,1,68.347900390625,68.36942810058594,5.154826029569249,1000.0,0.5154826029569249,falcon_h1,mlp,
14,0.12962962962962962,16384,4,272.8703918457031,272.9190673828125,3.5045990352106386,1000.0,0.3504599035210639,falcon_h1,mlp,
14,0.12962962962962962,16384,16,1091.2844848632812,1091.9251196289063,3.090138696897611,1000.0,0.3090138696897611,falcon_h1,mlp,
14,0.12962962962962962,16384,32,2182.45068359375,2182.664326171875,3.0211202193778095,1000.0,0.3021120219377809,falcon_h1,mlp,
14,0.12962962962962962,16384,64,4366.310302734375,4368.100786132813,2.985563537212724,1000.0,0.2985563537212724,falcon_h1,mlp,
27,0.25,512,1,1.1991039514541626,1.4612480401992798,131.16994553245993,1000.0,13.116994553245995,falcon_h1,mlp,
27,0.25,512,4,4.368383884429932,4.3704421424865725,40.32630205140241,1000.0,4.03263020514024,falcon_h1,mlp,
27,0.25,512,16,17.276927947998047,17.281024932861328,14.56614513630363,1000.0,1.456614513630363,falcon_h1,mlp,
27,0.25,512,32,34.23846435546875,34.24667499542236,10.290225996766276,1000.0,1.0290225996766276,falcon_h1,mlp,
27,0.25,512,64,68.38579559326172,68.40745910644532,8.095952137384401,1000.0,0.8095952137384401,falcon_h1,mlp,
27,0.25,1024,1,2.337791919708252,2.3398399353027344,69.97109307333645,1000.0,6.997109307333645,falcon_h1,mlp,
27,0.25,1024,4,8.648703575134277,8.651776313781738,23.278239362813895,1000.0,2.3278239362813897,falcon_h1,mlp,
27,0.25,1024,16,34.23846435546875,34.24769088745117,10.290225996766276,1000.0,1.0290225996766276,falcon_h1,mlp,
27,0.25,1024,32,68.39039993286133,68.41864837646484,8.095407082624385,1000.0,0.8095407082624385,falcon_h1,mlp,
27,0.25,1024,64,136.74290466308594,136.76750701904297,6.993425467713907,1000.0,0.6993425467713907,falcon_h1,mlp,
27,0.25,2048,1,4.368383884429932,4.370431900024414,40.32630205140241,1000.0,4.03263020514024,falcon_h1,mlp,
27,0.25,2048,4,17.275903701782227,17.35555030822754,14.567008727539864,1000.0,1.4567008727539865,falcon_h1,mlp,
27,0.25,2048,16,68.3868179321289,68.4226634979248,8.095831108116084,1000.0,0.8095831108116083,falcon_h1,mlp,
27,0.25,2048,32,136.72857666015625,136.76133728027344,6.994158319785051,1000.0,0.6994158319785051,falcon_h1,mlp,
27,0.25,2048,64,273.12640380859375,273.1551010131836,6.449789018693813,1000.0,0.6449789018693813,falcon_h1,mlp,
27,0.25,4096,1,8.647680282592773,8.650762310028076,23.280993910616417,1000.0,2.3280993910616417,falcon_h1,mlp,
27,0.25,4096,4,34.23846435546875,34.24666477203369,10.290225996766276,1000.0,1.0290225996766276,falcon_h1,mlp,
27,0.25,4096,16,136.72755432128906,136.74402404785155,6.994210616485077,1000.0,0.6994210616485077,falcon_h1,mlp,
27,0.25,4096,32,273.12640380859375,273.1551214599609,6.449789018693813,1000.0,0.6449789018693813,falcon_h1,mlp,
27,0.25,4096,64,546.176025390625,546.2222601318359,6.174237350656665,1000.0,0.6174237350656665,falcon_h1,mlp,
27,0.25,8192,1,17.274879455566406,17.278986682891844,14.567872421182614,1000.0,1.4567872421182615,falcon_h1,mlp,
27,0.25,8192,4,68.384765625,68.39604446411133,8.09607407351555,1000.0,0.8096074073515551,falcon_h1,mlp,
27,0.25,8192,16,273.122314453125,273.14693237304687,6.449885588906498,1000.0,0.6449885588906498,falcon_h1,mlp,
27,0.25,8192,32,546.1729125976562,546.2375085449219,6.174272539371026,1000.0,0.6174272539371026,falcon_h1,mlp,
27,0.25,8192,64,1092.2783203125,1092.347159423828,6.03641559608509,1000.0,0.603641559608509,falcon_h1,mlp,
27,0.25,16384,1,34.23948669433594,34.24783424377441,10.289918746307688,1000.0,1.0289918746307687,falcon_h1,mlp,
27,0.25,16384,4,136.72653198242188,136.74816467285157,6.994262913967174,1000.0,0.6994262913967174,falcon_h1,mlp,
27,0.25,16384,16,546.177001953125,546.2385668945312,6.174226311142659,1000.0,0.6174226311142659,falcon_h1,mlp,
27,0.25,16384,32,1092.2675170898438,1092.3521838378906,6.03647530008682,1000.0,0.603647530008682,falcon_h1,mlp,
27,0.25,16384,64,2184.320068359375,2184.4079711914064,5.967942620145021,1000.0,0.5967942620145021,falcon_h1,mlp,
40,0.37037037037037035,512,1,0.8878080248832703,1.082368016242981,177.16262479231378,1000.0,17.71626247923138,falcon_h1,mlp,
40,0.37037037037037035,512,4,3.1252479553222656,3.127295970916748,56.36697328287184,1000.0,5.636697328287184,falcon_h1,mlp,
40,0.37037037037037035,512,16,12.2357759475708,12.238847732543945,20.567411586999704,1000.0,2.05674115869997,falcon_h1,mlp,
40,0.37037037037037035,512,32,24.157184600830078,24.162375602722168,14.58454459084167,1000.0,1.458454459084167,falcon_h1,mlp,
40,0.37037037037037035,512,64,47.99385452270508,48.00274269104004,11.53581293909366,1000.0,1.153581293909366,falcon_h1,mlp,
40,0.37037037037037035,1024,1,1.716223955154419,1.7182719707489014,95.31265165523338,1000.0,9.531265165523338,falcon_h1,mlp,
40,0.37037037037037035,1024,4,6.1624321937561035,6.2249061965942385,32.66998900271682,1000.0,3.2669989002716817,falcon_h1,mlp,
40,0.37037037037037035,1024,16,24.157184600830078,24.161289920806883,14.58454459084167,1000.0,1.458454459084167,falcon_h1,mlp,
40,0.37037037037037035,1024,32,47.99385452270508,48.00205871582031,11.53581293909366,1000.0,1.153581293909366,falcon_h1,mlp,
40,0.37037037037037035,1024,64,95.89862060546875,95.91605140686035,9.972002787550686,1000.0,0.9972002787550684,falcon_h1,mlp,
40,0.37037037037037035,2048,1,3.1252479553222656,3.127295970916748,56.36697328287184,1000.0,5.636697328287184,falcon_h1,mlp,
40,0.37037037037037035,2048,4,12.2357759475708,12.239882221221924,20.567411586999704,1000.0,2.05674115869997,falcon_h1,mlp,
40,0.37037037037037035,2048,16,47.99488067626953,48.00409698486328,11.535566297881106,1000.0,1.1535566297881106,falcon_h1,mlp,
40,0.37037037037037035,2048,32,95.90067291259766,95.9166674041748,9.97178938328783,1000.0,0.9971789383287829,falcon_h1,mlp,
40,0.37037037037037035,2048,64,191.76754760742188,191.79726181030273,9.186161589792482,1000.0,0.9186161589792482,falcon_h1,mlp,
40,0.37037037037037035,4096,1,6.1624321937561035,6.165637097358704,32.66998900271682,1000.0,3.2669989002716817,falcon_h1,mlp,
40,0.37037037037037035,4096,4,24.1582088470459,24.163338413238524,14.583926243483997,1000.0,1.4583926243483998,falcon_h1,mlp,
40,0.37037037037037035,4096,16,95.89759826660156,95.91092178344726,9.972109096428257,1000.0,0.9972109096428258,falcon_h1,mlp,
40,0.37037037037037035,4096,32,191.76243591308594,191.78701278686523,9.186406459701146,1000.0,0.9186406459701146,falcon_h1,mlp,
40,0.37037037037037035,4096,64,383.1541748046875,383.19006408691405,8.801210159641316,1000.0,0.8801210159641316,falcon_h1,mlp,
40,0.37037037037037035,8192,1,12.2357759475708,12.240896224975586,20.567411586999704,1000.0,2.05674115869997,falcon_h1,mlp,
40,0.37037037037037035,8192,4,47.99385452270508,48.00207920074463,11.53581293909366,1000.0,1.153581293909366,falcon_h1,mlp,
40,0.37037037037037035,8192,16,191.76856994628906,191.79316207885742,9.186112617377262,1000.0,0.9186112617377262,falcon_h1,mlp,
40,0.37037037037037035,8192,32,383.1480407714844,383.1869812011719,8.801351063181468,1000.0,0.8801351063181467,falcon_h1,mlp,
40,0.37037037037037035,8192,64,765.9110107421875,765.9848028564453,8.60863180646898,1000.0,0.8608631806468978,falcon_h1,mlp,
40,0.37037037037037035,16384,1,24.156160354614258,24.161279678344727,14.585162990636476,1000.0,1.4585162990636475,falcon_h1,mlp,
40,0.37037037037037035,16384,4,95.89350128173828,95.9068350982666,9.97253514803214,1000.0,0.997253514803214,falcon_h1,mlp,
40,0.37037037037037035,16384,16,383.1418762207031,383.1777444458008,8.801492672279663,1000.0,0.8801492672279664,falcon_h1,mlp,
40,0.37037037037037035,16384,32,765.918212890625,765.9936462402344,8.608550857037212,1000.0,0.8608550857037212,falcon_h1,mlp,
40,0.37037037037037035,16384,64,1531.8773193359375,1531.970714111328,8.509752489612556,1000.0,0.8509752489612556,falcon_h1,mlp,
54,0.5,512,1,0.792576014995575,0.7946239709854126,198.4496086484249,1000.0,19.84496086484249,falcon_h1,mlp,
54,0.5,512,4,2.420736074447632,2.445322263240814,72.77157136603448,1000.0,7.2771571366034475,falcon_h1,mlp,
54,0.5,512,16,9.120767593383789,9.123963212966919,27.5917829747743,1000.0,2.75917829747743,falcon_h1,mlp,
54,0.5,512,32,17.928192138671875,17.933352432250977,19.65181616053899,1000.0,1.9651816160538988,falcon_h1,mlp,
54,0.5,512,64,35.53996658325195,35.547154884338376,15.57818369646144,1000.0,1.557818369646144,falcon_h1,mlp,
54,0.5,1024,1,1.2554240226745605,1.257472038269043,130.29689813606805,1000.0,13.029689813606804,falcon_h1,mlp,
54,0.5,1024,4,4.751359939575195,4.799488067626953,42.37241433196913,1000.0,4.237241433196913,falcon_h1,mlp,
54,0.5,1024,16,17.928192138671875,18.01636896133423,19.65181616053899,1000.0,1.9651816160538988,falcon_h1,mlp,
54,0.5,1024,32,35.542015075683594,35.5518371963501,15.577285835399456,1000.0,1.5577285835399457,falcon_h1,mlp,
