layer_type,model,sm_count,sm_ratio,total_sm,seq_len,batch_size,kernel_name,n_kernels_captured,grid_size,n_waves,last_wave_blocks,wave_efficiency_pct,sm_util_per_sm_pct,achieved_occupancy_pct,analytical_n_blocks,analytical_n_waves,analytical_wave_eff_pct,analytical_last_wave_blocks,analytical_wasted_sm_pct,error,_block_size_parsed,_grid_size_parsed,block_size_raw,gpu__time_duration.sum,gpu__time_duration.sum.unit,grid_size_raw,kernel_duration_ns,kernel_id,kernel_time_ns,ncu_stdout,sm__cycles_active.sum,sm__cycles_active.sum.unit,sm__cycles_elapsed.sum,sm__cycles_elapsed.sum.unit,smsp__warps_active.sum,smsp__warps_active.sum.unit,stderr,warps_active
attn,zamba2,14,0.12962962962962962,108,256,1,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<256, 64, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<256, 64, 64, 4, cutlass::bfloat16_t>>, 1, 0, 0, 0, 0, 0, 1, 0>(pytorch_flash::Flash_fwd_params)",31,512,37,8,98.84169884169884,79.29977986399275,4.936242283429517,32,3,76.19047619047619,4,23.809523809523814,,128,512,"(128, 1, 1)",39712,ns,"(4, 4, 32)",39712.0,29,,,4767295,cycle,6011738,cycle,18992253,warp,,18992253.0
attn,zamba2,14,0.12962962962962962,108,256,4,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",18,432,31,12,99.53917050691244,95.54807078800545,74.72735872986709,128,10,91.42857142857143,2,8.571428571428575,,512,432,"(512, 1, 1)",104896,ns,"(216, 2, 1)",104896.0,4,,,12465251,cycle,13046052,cycle,623934085,warp,,623934085.0
attn,zamba2,14,0.12962962962962962,108,256,16,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",18,432,31,12,99.53917050691244,98.24689790542195,82.32157559413203,512,37,98.84169884169884,8,1.158301158301156,,512,432,"(512, 1, 1)",326400,ns,"(216, 2, 1)",326400.0,4,,,48811574,cycle,49682560,cycle,2617565836,warp,,2617565836.0
attn,zamba2,14,0.12962962962962962,108,256,32,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",18,432,31,12,99.53917050691244,98.85845194906425,82.00482217045374,1024,74,98.84169884169884,2,1.158301158301156,,512,432,"(512, 1, 1)",767040,ns,"(216, 2, 1)",767040.0,4,,,94522455,cycle,95613934,cycle,5018114339,warp,,5018114339.0
attn,zamba2,14,0.12962962962962962,108,256,64,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",18,432,31,12,99.53917050691244,99.16030611156755,84.90041023787155,2048,147,99.51409135082604,4,0.4859086491739606,,512,432,"(512, 1, 1)",1286048,ns,"(216, 2, 1)",1286048.0,4,,,193953987,cycle,195596398,cycle,10627977236,warp,,10627977236.0
attn,zamba2,14,0.12962962962962962,108,512,1,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<256, 128, 64, 8, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<256, 128, 64, 8, cutlass::bfloat16_t>>, 0, 1, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params)",18,128,10,2,91.42857142857143,61.9058904620318,7.71168041227195,64,5,91.42857142857143,8,8.571428571428575,,256,128,"(256, 1, 1)",69280,ns,"(4, 1, 32)",69280.0,14,,,6498894,cycle,10498022,cycle,51812730,warp,,51812730.0
attn,zamba2,14,0.12962962962962962,108,512,4,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",18,432,31,12,99.53917050691244,97.4538012380797,79.21891987175846,256,19,96.2406015037594,4,3.759398496240607,,512,432,"(512, 1, 1)",178912,ns,"(216, 2, 1)",178912.0,4,,,24530644,cycle,25171562,cycle,1276200930,warp,,1276200930.0
attn,zamba2,14,0.12962962962962962,108,512,16,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",18,432,31,12,99.53917050691244,98.44640539939039,83.55360126094182,1024,74,98.84169884169884,2,1.158301158301156,,512,432,"(512, 1, 1)",648928,ns,"(216, 2, 1)",648928.0,4,,,97138919,cycle,98671880,cycle,5276410187,warp,,5276410187.0
attn,zamba2,14,0.12962962962962962,108,512,32,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",18,432,31,12,99.53917050691244,98.9166275477707,84.72090747248492,2048,147,99.51409135082604,4,0.4859086491739606,,512,432,"(512, 1, 1)",1288544,ns,"(216, 2, 1)",1288544.0,4,,,194058559,cycle,196183962,cycle,10637365307,warp,,10637365307.0
attn,zamba2,14,0.12962962962962962,108,512,64,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<2>, unsigned int, 3, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",18,432,31,12,99.53917050691244,99.45167590773507,83.73669817029428,4096,293,99.85372988785957,8,0.14627011214042307,,512,432,"(512, 1, 1)",3025536,ns,"(216, 2, 1)",3025536.0,4,,,375162106,cycle,377230552,cycle,20216346159,warp,,20216346159.0
