layer_type,model,sm_count,sm_ratio,total_sm,seq_len,batch_size,kernel_name,n_kernels_captured,grid_size,n_waves,last_wave_blocks,wave_efficiency_pct,sm_util_per_sm_pct,achieved_occupancy_pct,analytical_n_blocks,analytical_n_waves,analytical_wave_eff_pct,analytical_last_wave_blocks,analytical_wasted_sm_pct,error,_block_size_parsed,_grid_size_parsed,block_size_raw,gpu__time_duration.sum,gpu__time_duration.sum.unit,grid_size_raw,kernel_duration_ns,kernel_id,kernel_time_ns,ncu_stdout,sm__cycles_active.sum,sm__cycles_active.sum.unit,sm__cycles_elapsed.sum,sm__cycles_elapsed.sum.unit,smsp__warps_active.sum,smsp__warps_active.sum.unit,stderr,warps_active
mlp,zamba2,14,0.12962962962962962,108,256,1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,40,84,6,14,100.0,72.27052982396933,8.99933072873632,64,5,91.42857142857143,8,8.571428571428575,,256,84,"(256, 1, 1)",136128,ns,"(14, 2, 3)",136128.0,21,,,14921757,cycle,20647084,cycle,118918360,warp,,118918360.0
mlp,zamba2,14,0.12962962962962962,108,256,4,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,560,40,14,100.0,86.72861816536495,10.783110817087998,256,19,96.2406015037594,4,3.759398496240607,,256,560,"(256, 1, 1)",460768,ns,"(28, 4, 5)",460768.0,3,,,60352605,cycle,69587878,cycle,480239232,warp,,480239232.0
mlp,zamba2,14,0.12962962962962962,108,256,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,1792,128,14,100.0,97.26995733357265,12.152214614752486,1024,74,98.84169884169884,2,1.158301158301156,,256,1792,"(256, 1, 1)",1534912,ns,"(112, 16, 1)",1534912.0,4,,,224364294,cycle,230661450,cycle,1793950364,warp,,1793950364.0
mlp,zamba2,14,0.12962962962962962,108,256,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,3584,256,14,100.0,97.58493668676958,12.191564389195468,2048,147,99.51409135082604,4,0.4859086491739606,,256,3584,"(256, 1, 1)",3055104,ns,"(112, 32, 1)",3055104.0,28,,,447519010,cycle,458594354,cycle,3578228861,warp,,3578228861.0
mlp,zamba2,14,0.12962962962962962,108,256,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,7168,512,14,100.0,98.89245899988263,12.354895753337068,4096,293,99.85372988785957,8,0.14627011214042307,,256,7168,"(256, 1, 1)",6205376,ns,"(112, 64, 1)",6205376.0,10,,,894310288,cycle,904326070,cycle,7150626766,warp,,7150626766.0
mlp,zamba2,14,0.12962962962962962,108,512,1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,40,168,12,14,100.0,76.72565925089778,9.552308629813915,128,10,91.42857142857143,2,8.571428571428575,,256,168,"(256, 1, 1)",248960,ns,"(14, 4, 3)",248960.0,3,,,28917591,cycle,37689596,cycle,230414498,warp,,230414498.0
mlp,zamba2,14,0.12962962962962962,108,512,4,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,40,672,48,14,100.0,88.88474831993432,11.067731968414938,512,37,98.84169884169884,8,1.158301158301156,,256,672,"(256, 1, 1)",850432,ns,"(14, 16, 3)",850432.0,9,,,113967219,cycle,128219094,cycle,908220522,warp,,908220522.0
mlp,zamba2,14,0.12962962962962962,108,512,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,3584,256,14,100.0,97.61685616625661,12.195539628141312,2048,147,99.51409135082604,4,0.4859086491739606,,256,3584,"(256, 1, 1)",3056640,ns,"(112, 32, 1)",3056640.0,1,,,447630489,cycle,458558600,cycle,3579116530,warp,,3579116530.0
mlp,zamba2,14,0.12962962962962962,108,512,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,7168,512,14,100.0,98.95491673040061,12.362688407535066,4096,293,99.85372988785957,8,0.14627011214042307,,256,7168,"(256, 1, 1)",6015296,ns,"(112, 64, 1)",6015296.0,1,,,893882471,cycle,903322948,cycle,7147200088,warp,,7147200088.0
mlp,zamba2,14,0.12962962962962962,108,512,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,14336,1024,14,100.0,99.67571001779066,12.452750239236382,8192,586,99.85372988785957,2,0.14627011214042307,,256,14336,"(256, 1, 1)",12199584,ns,"(112, 128, 1)",12199584.0,25,,,1787023689,cycle,1792837682,cycle,14288486319,warp,,14288486319.0
mlp,zamba2,14,0.12962962962962962,108,1024,1,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,560,40,14,100.0,86.82006488412229,10.793567408569347,256,19,96.2406015037594,4,3.759398496240607,,256,560,"(256, 1, 1)",459424,ns,"(28, 4, 5)",459424.0,3,,,60351098,cycle,69512846,cycle,480186617,warp,,480186617.0
mlp,zamba2,14,0.12962962962962962,108,1024,4,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,1792,128,14,100.0,97.32577076094006,12.15919483429765,1024,74,98.84169884169884,2,1.158301158301156,,256,1792,"(256, 1, 1)",1639456,ns,"(112, 16, 1)",1639456.0,4,,,224397211,cycle,230562994,cycle,1794214634,warp,,1794214634.0
mlp,zamba2,14,0.12962962962962962,108,1024,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,7168,512,14,100.0,98.95987194427535,12.363312921408664,4096,293,99.85372988785957,8,0.14627011214042307,,256,7168,"(256, 1, 1)",6016160,ns,"(112, 64, 1)",6016160.0,1,,,893880288,cycle,903275510,cycle,7147185782,warp,,7147185782.0
mlp,zamba2,14,0.12962962962962962,108,1024,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,14336,1024,14,100.0,99.66626798083844,12.451569427736251,8192,586,99.85372988785957,2,0.14627011214042307,,256,14336,"(256, 1, 1)",12747840,ns,"(112, 128, 1)",12747840.0,1,,,1787333610,cycle,1793318488,cycle,14290962982,warp,,14290962982.0
mlp,zamba2,14,0.12962962962962962,108,1024,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,28672,2048,14,100.0,99.67488251164256,12.452645237091355,16384,1171,99.93900207392949,4,0.06099792607051624,,256,28672,"(256, 1, 1)",24119520,ns,"(112, 256, 1)",24119520.0,22,,,3573257482,cycle,3584912660,cycle,28570653159,warp,,28570653159.0
mlp,zamba2,14,0.12962962962962962,108,2048,1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,40,672,48,14,100.0,88.90656733951842,11.070340928590747,512,37,98.84169884169884,8,1.158301158301156,,256,672,"(256, 1, 1)",850688,ns,"(14, 16, 3)",850688.0,3,,,114025178,cycle,128252818,cycle,908673549,warp,,908673549.0
mlp,zamba2,14,0.12962962962962962,108,2048,4,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,3584,256,14,100.0,97.61397507247011,12.195173280157666,2048,147,99.51409135082604,4,0.4859086491739606,,256,3584,"(256, 1, 1)",3057824,ns,"(112, 32, 1)",3057824.0,1,,,447555359,cycle,458495168,cycle,3578513934,warp,,3578513934.0
