model,request_rate,req_thru,out_thru,ttft_med,ttft_p99,tpot_med,tpot_p99,itl_med,itl_p99
zamba2_2.7b,2,1.96,251.41,181.88,2019.87,11.89,21.91,8.74,84.99
zamba2_2.7b,8,6.25,799.72,606.16,1455.46,66.09,93.93,41.03,125.13
zamba2_2.7b,inf,6.80,869.94,6375.22,13838.09,79.85,108.57,49.94,131.07
falcon_h1_3b,2,1.97,252.08,140.81,484.69,8.82,18.59,7.24,68.37
falcon_h1_3b,8,7.15,914.84,314.70,769.68,41.07,58.77,17.73,98.40
falcon_h1_3b,inf,8.39,1073.65,5349.71,11827.55,64.18,92.28,31.57,115.72
zamba2_1.2b,2,1.97,253.35,132.00,4016.64,5.63,22.21,4.49,—
zamba2_1.2b,8,7.5,962.18,235.13,470.84,26.29,36.34,11.78,—
zamba2_1.2b,inf,11.0,1412.57,4261.75,8617.11,46.66,66.60,29.13,—
zamba2_7b,2,1.88,241.19,659.26,3526.34,63.67,94.88,32.93,—
zamba2_7b,8,2.7,343.86,8043.29,22612.15,155.03,173.46,60.69,—
zamba2_7b,inf,2.7,345.79,15838.10,37131.28,153.61,172.29,60.68,—
