# value_kind: latency_per_step_ms=measured(CUDA event); bytes_analytic,bytes_analytic_w_weight,achieved_bw_GBs,bw_util_pct=derived; model,cell,scope,sm_count,batch,context_len,backend,status=metadata
model,cell,scope,sm_count,batch,context_len,latency_per_step_ms,bytes_analytic,bytes_analytic_w_weight,achieved_bw_GBs,bw_util_pct,backend,status
zamba2,decode_attn,kernel,14,1,512,0.10436800122261047,14680064,,140.65675138003584,7.032837569001791,sdpa,ok
zamba2,decode_attn,kernel,14,1,2048,0.28332799673080444,58720256,,207.25186595587758,10.362593297793879,sdpa,ok
zamba2,decode_attn,kernel,14,1,8192,0.9084320068359375,234881024,,258.5565262259847,12.927826311299237,sdpa,ok
zamba2,decode_attn,kernel,14,1,32768,3.40993595123291,939524096,,275.5254378488551,13.776271892442757,sdpa,ok
zamba2,decode_attn,kernel,14,4,512,0.3352159857749939,58720256,,175.17140736663626,8.758570368331812,sdpa,ok
zamba2,decode_attn,kernel,14,4,2048,0.9581440091133118,234881024,,245.14167157123305,12.257083578561652,sdpa,ok
zamba2,decode_attn,kernel,14,4,8192,3.4521279335021973,939524096,,272.1579599881309,13.607897999406546,sdpa,ok
zamba2,decode_attn,kernel,14,4,32768,13.426159858703613,3758096384,,279.9085087284868,13.995425436424341,sdpa,ok
zamba2,decode_attn,kernel,14,8,512,0.7919999957084656,117440512,,148.2834755509642,7.41417377754821,sdpa,ok
zamba2,decode_attn,kernel,14,8,2048,2.955712080001831,469762048,,158.93362928628318,7.9466814643141594,sdpa,ok
zamba2,decode_attn,kernel,14,8,8192,11.611856460571289,1879048192,,161.8215139310767,8.091075696553835,sdpa,ok
zamba2,decode_attn,kernel,14,8,32768,46.24873733520508,7516192768,,162.5167129109617,8.125835645548085,sdpa,ok
zamba2,decode_attn,kernel,14,16,512,1.5416159629821777,234881024,,152.36026976889534,7.618013488444767,sdpa,ok
zamba2,decode_attn,kernel,14,16,2048,5.762671947479248,939524096,,163.03619303038303,8.151809651519152,sdpa,ok
zamba2,decode_attn,kernel,14,16,8192,22.65340805053711,3758096384,,165.89540856793494,8.294770428396747,sdpa,ok
zamba2,decode_attn,kernel,14,16,32768,90.24720001220703,15032385536,,166.5689964227886,8.32844982113943,sdpa,ok
zamba2,decode_attn,kernel,14,32,512,3.0737600326538086,469762048,,152.8297729847242,7.6414886492362095,sdpa,ok
zamba2,decode_attn,kernel,14,32,2048,11.504735946655273,1879048192,,163.32823288710838,8.166411644355419,sdpa,ok
zamba2,decode_attn,kernel,14,32,8192,45.250911712646484,7516192768,,166.10036093260447,8.305018046630224,sdpa,ok
zamba2,decode_attn,kernel,14,32,32768,180.24978637695312,30064771072,,166.7950441235258,8.339752206176291,sdpa,ok
zamba2,decode_attn,kernel,27,1,512,0.057920001447200775,14680064,,253.45413731355276,12.672706865677638,sdpa,ok
zamba2,decode_attn,kernel,27,1,2048,0.15694400668144226,58720256,,374.14780749919095,18.707390374959548,sdpa,ok
zamba2,decode_attn,kernel,27,1,8192,0.4713279902935028,234881024,,498.3387976889218,24.916939884446087,sdpa,ok
