model,seq_len,batch,sat_sm,free_sm,value_kind
falcon_h1,512,1,27,81,measured(throughput-derived saturation)
falcon_h1,1024,1,14,94,measured(throughput-derived saturation)
falcon_h1,2048,1,27,81,measured(throughput-derived saturation)
falcon_h1,4096,1,14,94,measured(throughput-derived saturation)
falcon_h1,8192,1,14,94,measured(throughput-derived saturation)
falcon_h1,16384,1,14,94,measured(throughput-derived saturation)
falcon_h1,512,4,27,81,measured(throughput-derived saturation)
falcon_h1,1024,4,27,81,measured(throughput-derived saturation)
falcon_h1,2048,4,27,81,measured(throughput-derived saturation)
falcon_h1,4096,4,27,81,measured(throughput-derived saturation)
falcon_h1,8192,4,27,81,measured(throughput-derived saturation)
falcon_h1,16384,4,27,81,measured(throughput-derived saturation)
falcon_h1,512,16,68,40,measured(throughput-derived saturation)
falcon_h1,1024,16,68,40,measured(throughput-derived saturation)
falcon_h1,2048,16,108,0,measured(throughput-derived saturation)
falcon_h1,4096,16,68,40,measured(throughput-derived saturation)
falcon_h1,8192,16,68,40,measured(throughput-derived saturation)
falcon_h1,16384,16,68,40,measured(throughput-derived saturation)
falcon_h1,512,32,108,0,measured(throughput-derived saturation)
falcon_h1,1024,32,68,40,measured(throughput-derived saturation)
falcon_h1,2048,32,108,0,measured(throughput-derived saturation)
falcon_h1,4096,32,68,40,measured(throughput-derived saturation)
falcon_h1,8192,32,68,40,measured(throughput-derived saturation)
falcon_h1,16384,32,68,40,measured(throughput-derived saturation)
