model,seq_len,batch,sat_sm,free_sm,value_kind
zamba2,512,1,27,81,measured(throughput-derived saturation)
zamba2,1024,1,14,94,measured(throughput-derived saturation)
zamba2,2048,1,27,81,measured(throughput-derived saturation)
zamba2,4096,1,27,81,measured(throughput-derived saturation)
zamba2,8192,1,27,81,measured(throughput-derived saturation)
zamba2,16384,1,27,81,measured(throughput-derived saturation)
zamba2,512,4,68,40,measured(throughput-derived saturation)
zamba2,1024,4,27,81,measured(throughput-derived saturation)
zamba2,2048,4,27,81,measured(throughput-derived saturation)
zamba2,4096,4,27,81,measured(throughput-derived saturation)
zamba2,8192,4,27,81,measured(throughput-derived saturation)
zamba2,16384,4,27,81,measured(throughput-derived saturation)
zamba2,512,16,94,14,measured(throughput-derived saturation)
zamba2,1024,16,68,40,measured(throughput-derived saturation)
zamba2,2048,16,108,0,measured(throughput-derived saturation)
zamba2,4096,16,108,0,measured(throughput-derived saturation)
zamba2,8192,16,108,0,measured(throughput-derived saturation)
zamba2,16384,16,108,0,measured(throughput-derived saturation)
zamba2,512,32,108,0,measured(throughput-derived saturation)
zamba2,1024,32,108,0,measured(throughput-derived saturation)
zamba2,2048,32,108,0,measured(throughput-derived saturation)
zamba2,4096,32,108,0,measured(throughput-derived saturation)
zamba2,8192,32,108,0,measured(throughput-derived saturation)
zamba2,16384,32,108,0,measured(throughput-derived saturation)
