cell,scope,batch,context_len,sm_sat_decode,value_kind_sm_sat,latency_at_sm108_ms,value_kind_latency,n_sm_points
decode_attn,kernel,1,512,27,derived(measured-throughput),0.061072,measured,8
decode_attn,kernel,1,2048,81,derived(measured-throughput),0.061216,measured,8
decode_attn,kernel,1,8192,108,derived(measured-throughput),0.138896,measured,8
decode_attn,kernel,1,32768,108,derived(measured-throughput),0.492128,measured,8
decode_attn,kernel,4,512,68,derived(measured-throughput),0.060784,measured,8
decode_attn,kernel,4,2048,108,derived(measured-throughput),0.1416,measured,8
decode_attn,kernel,4,8192,108,derived(measured-throughput),0.469536,measured,8
decode_attn,kernel,4,32768,108,derived(measured-throughput),1.855104,measured,8
decode_attn,kernel,8,512,108,derived(measured-throughput),0.077632,measured,8
decode_attn,kernel,8,2048,108,derived(measured-throughput),0.260656,measured,8
decode_attn,kernel,8,8192,108,derived(measured-throughput),0.90384,measured,8
decode_attn,kernel,8,32768,108,derived(measured-throughput),3.686416,measured,8
decode_attn,kernel,16,512,108,derived(measured-throughput),0.14856,measured,8
decode_attn,kernel,16,2048,108,derived(measured-throughput),0.513408,measured,8
decode_attn,kernel,16,8192,108,derived(measured-throughput),1.88352,measured,8
decode_attn,kernel,16,32768,108,derived(measured-throughput),7.77656,measured,8
decode_attn,kernel,32,512,108,derived(measured-throughput),0.280544,measured,8
decode_attn,kernel,32,2048,108,derived(measured-throughput),1.004064,measured,8
decode_attn,kernel,32,8192,108,derived(measured-throughput),3.739632,measured,8
decode_attn,kernel,32,32768,108,derived(measured-throughput),15.511376,measured,8
decode_attn,layer,1,512,14,derived(measured-throughput),0.177984,measured,8
decode_attn,layer,1,2048,27,derived(measured-throughput),0.178768,measured,8
decode_attn,layer,1,8192,108,derived(measured-throughput),0.17992,measured,8
decode_attn,layer,1,32768,108,derived(measured-throughput),0.530016,measured,8
decode_attn,layer,4,512,27,derived(measured-throughput),0.199616,measured,8
decode_attn,layer,4,2048,108,derived(measured-throughput),0.199424,measured,8
decode_attn,layer,4,8192,108,derived(measured-throughput),0.513488,measured,8
decode_attn,layer,4,32768,108,derived(measured-throughput),1.901136,measured,8
decode_attn,layer,8,512,54,derived(measured-throughput),0.19832,measured,8
decode_attn,layer,8,2048,108,derived(measured-throughput),0.305152,measured,8
decode_attn,layer,8,8192,108,derived(measured-throughput),0.948784,measured,8
decode_attn,layer,8,32768,108,derived(measured-throughput),3.730704,measured,8
decode_attn,layer,16,512,108,derived(measured-throughput),0.194096,measured,8
decode_attn,layer,16,2048,108,derived(measured-throughput),0.55984,measured,8
decode_attn,layer,16,8192,108,derived(measured-throughput),1.930464,measured,8
decode_attn,layer,16,32768,108,derived(measured-throughput),7.825616,measured,8
decode_attn,layer,32,512,108,derived(measured-throughput),0.326064,measured,8
decode_attn,layer,32,2048,108,derived(measured-throughput),1.05184,measured,8
decode_attn,layer,32,8192,108,derived(measured-throughput),3.786416,measured,8
decode_attn,layer,32,32768,108,derived(measured-throughput),15.557072,measured,8
decode_ssm,kernel,1,0,14,derived(measured-throughput),0.08528,measured,8
decode_ssm,kernel,4,0,27,derived(measured-throughput),0.084608,measured,8
decode_ssm,kernel,8,0,54,derived(measured-throughput),0.084464,measured,8
decode_ssm,kernel,16,0,94,derived(measured-throughput),0.083712,measured,8
decode_ssm,kernel,32,0,108,derived(measured-throughput),0.147984,measured,8
decode_ssm,layer,1,0,14,derived(measured-throughput),0.30528,measured,8
decode_ssm,layer,4,0,14,derived(measured-throughput),0.309184,measured,8
decode_ssm,layer,8,0,27,derived(measured-throughput),0.30432,measured,8
decode_ssm,layer,16,0,40,derived(measured-throughput),0.304208,measured,8
decode_ssm,layer,32,0,81,derived(measured-throughput),0.299328,measured,8
