sm_count,sm_ratio,seq_len,batch_size,latency_ms,latency_p99_ms,achieved_bandwidth_GBs,theoretical_bw_GBs,bw_utilization_pct,model_name,layer_type,n_blocks,waves,analytical
14,0.12962962962962962,512,1,2.7306667963663735,2.785389137268066,29.40931110313268,1000.0,2.940931110313268,zamba2,ssm,224,16,True
14,0.12962962962962962,512,4,3.7064247131347656,3.793879106309679,115.55335764049872,1000.0,11.555335764049872,zamba2,ssm,896,64,True
14,0.12962962962962962,512,16,6.353136848000919,6.3762673770680145,285.51536371408736,1000.0,28.551536371408737,zamba2,ssm,3584,256,True
14,0.12962962962962962,512,32,12.747240664354011,12.778619931349114,288.84510214491854,1000.0,28.884510214491854,zamba2,ssm,7168,512,True
14,0.12962962962962962,512,64,26.663788989074245,26.750513980263158,278.25448901395697,1000.0,27.8254489013957,zamba2,ssm,14336,1024,True
14,0.12962962962962962,1024,1,3.3357822418212892,3.447586742401123,57.77732346664535,1000.0,5.777732346664535,zamba2,ssm,448,32,True
14,0.12962962962962962,1024,4,3.885899263269761,4.009415390912224,233.3981293329702,1000.0,23.33981293329702,zamba2,ssm,1792,128,True
14,0.12962962962962962,1024,16,12.622037517490671,12.66938030185984,291.7102747206214,1000.0,29.17102747206214,zamba2,ssm,7168,512,True
14,0.12962962962962962,1024,32,26.411499941259397,26.474572662124057,280.9124433232415,1000.0,28.091244332324152,zamba2,ssm,14336,1024,True
14,0.12962962962962962,1024,64,54.58902505286654,55.17346896293468,271.8244697060718,1000.0,27.182446970607177,zamba2,ssm,28672,2048,True
14,0.12962962962962962,2048,1,3.662734137641059,3.764678955078125,116.93172486722705,1000.0,11.693172486722704,zamba2,ssm,896,64,True
14,0.12962962962962962,2048,4,6.291455885943244,6.322373693129596,288.3145349449434,1000.0,28.831453494494337,zamba2,ssm,3584,256,True
14,0.12962962962962962,2048,16,26.2498779296875,26.5299189746828,282.6420374298157,1000.0,28.264203742981568,zamba2,ssm,14336,1024,True
14,0.12962962962962962,2048,32,54.23818396087876,54.94553986284068,273.5827732998917,1000.0,27.35827732998917,zamba2,ssm,28672,2048,True
14,0.12962962962962962,2048,64,114.13483183262711,114.81871542490583,260.50899012603736,1000.0,26.050899012603736,zamba2,ssm,57344,4096,True
14,0.12962962962962962,4096,1,3.939870048971737,4.639563513363097,230.20089686974228,1000.0,23.020089686974227,zamba2,ssm,1792,128,True
14,0.12962962962962962,4096,4,12.614213174848414,12.661242038100513,291.8912167350018,1000.0,29.189121673500185,zamba2,ssm,7168,512,True
14,0.12962962962962962,4096,16,54.56142981966635,55.29078238809915,271.96194886774055,1000.0,27.196194886774055,zamba2,ssm,28672,2048,True
14,0.12962962962962962,4096,32,114.31650556144068,114.67614325859228,260.0949848221382,1000.0,26.00949848221382,zamba2,ssm,57344,4096,True
14,0.12962962962962962,4096,64,230.2443797080979,231.96736390654422,258.27468383635716,1000.0,25.827468383635715,zamba2,ssm,114688,8192,True
