# value_kind: latency_ms,latency_std_ms=measured(CUDA event); read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct=derived; rest=metadata
model,device,layer_type,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_chunks,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms,read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct,state_passing_active,status
falcon_h1,a100_sxm4_80gb,attn_chunked,512,1,14,12.96,512,1,1,48,True,0.8186879754066467,0.003934962863347398,28835840,6815744,43.547,2039.0,2.136,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,1,27,25.0,512,1,1,48,True,0.43161600828170776,0.003613938579931309,28835840,6815744,82.6,2039.0,4.051,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,1,40,37.04,512,1,1,48,True,0.35737600922584534,0.006817278146098167,28835840,6815744,99.759,2039.0,4.893,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,1,54,50.0,512,1,1,48,True,0.36454400420188904,0.0074227291005704845,28835840,6815744,97.798,2039.0,4.796,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,1,68,62.96,512,1,1,48,True,0.32921600341796875,0.008322516690188306,28835840,6815744,108.292,2039.0,5.311,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,1,81,75.0,512,1,1,48,True,0.32870399951934814,0.009715117818551625,28835840,6815744,108.461,2039.0,5.319,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,1,94,87.04,512,1,1,48,True,0.3261440098285675,0.00830569940337691,28835840,6815744,109.312,2039.0,5.361,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,1,108,100.0,512,1,1,48,True,0.3041280061006546,0.006908103689215265,28835840,6815744,117.226,2039.0,5.749,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,4,14,12.96,512,1,1,192,True,2.206719994544983,0.005757255491425754,49283072,27262976,34.688,2039.0,1.701,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,4,27,25.0,512,1,1,192,True,1.0362880229949951,0.003652422411230235,49283072,27262976,73.866,2039.0,3.623,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,4,40,37.04,512,1,1,192,True,0.779776006937027,0.0038752991370287282,49283072,27262976,98.164,2039.0,4.814,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,4,54,50.0,512,1,1,192,True,0.7475199997425079,0.0038146865341040542,49283072,27262976,102.4,2039.0,5.022,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,4,68,62.96,512,1,1,192,True,0.5442560017108917,0.008023148963921622,49283072,27262976,140.643,2039.0,6.898,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,4,81,75.0,512,1,1,192,True,0.5140479803085327,0.0024136010954130408,49283072,27262976,148.908,2039.0,7.303,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,4,94,87.04,512,1,1,192,True,0.5058559775352478,0.002847628213528108,49283072,27262976,151.32,2039.0,7.421,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,4,108,100.0,512,1,1,192,True,0.3778560012578964,0.002517549778546785,49283072,27262976,202.58,2039.0,9.935,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,8,14,12.96,512,1,1,384,True,4.238336086273193,0.006466524203927485,76546048,54525952,30.925,2039.0,1.517,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,8,27,25.0,512,1,1,384,True,1.8524160385131836,0.007114133035902049,76546048,54525952,70.757,2039.0,3.47,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,8,40,37.04,512,1,1,384,True,1.3475840091705322,0.0044713455580116385,76546048,54525952,97.264,2039.0,4.77,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,8,54,50.0,512,1,1,384,True,1.3470720052719116,0.0049804368877251455,76546048,54525952,97.301,2039.0,4.772,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,8,68,62.96,512,1,1,384,True,0.8473600149154663,0.0038024613060354,76546048,54525952,154.683,2039.0,7.586,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,8,81,75.0,512,1,1,384,True,0.779263973236084,0.0018570434148242941,76546048,54525952,168.2,2039.0,8.249,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,8,94,87.04,512,1,1,384,True,0.764415979385376,0.002898324290104803,76546048,54525952,171.467,2039.0,8.409,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,8,108,100.0,512,1,1,384,True,0.6343680024147034,0.002775113254225622,76546048,54525952,206.618,2039.0,10.133,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,16,14,12.96,512,1,1,768,True,8.041472434997559,0.0046813404405197205,131072000,109051904,29.861,2039.0,1.464,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,16,27,25.0,512,1,1,768,True,3.5537919998168945,0.003167160547093423,131072000,109051904,67.568,2039.0,3.314,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,16,40,37.04,512,1,1,768,True,3.088383913040161,0.004533411150208582,131072000,109051904,77.751,2039.0,3.813,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,16,54,50.0,512,1,1,768,True,2.487808108329773,0.0038752202134936585,131072000,109051904,96.52,2039.0,4.734,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,16,68,62.96,512,1,1,768,True,1.5595519542694092,0.14173388077429602,131072000,109051904,153.97,2039.0,7.551,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,16,81,75.0,512,1,1,768,True,1.6250879764556885,0.07636784867767445,131072000,109051904,147.761,2039.0,7.247,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,16,94,87.04,512,1,1,768,True,1.536512017250061,0.004061731467510806,131072000,109051904,156.279,2039.0,7.664,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,16,108,100.0,512,1,1,768,True,1.3608959913253784,0.0035159257970116104,131072000,109051904,176.445,2039.0,8.654,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,32,14,12.96,512,1,1,1536,True,13.371392250061035,0.7478598828034296,240123904,218103808,34.269,2039.0,1.681,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,32,27,25.0,512,1,1,1536,True,6.8039679527282715,0.00523926260640867,240123904,218103808,67.347,2039.0,3.303,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,32,40,37.04,512,1,1,1536,True,5.805567979812622,0.14479920253540898,240123904,218103808,78.929,2039.0,3.871,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,32,54,50.0,512,1,1,1536,True,4.518912076950073,0.0030908932256902832,240123904,218103808,101.402,2039.0,4.973,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,32,68,62.96,512,1,1,1536,True,3.5645439624786377,0.004755484566338765,240123904,218103808,128.552,2039.0,6.305,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,32,81,75.0,512,1,1,1536,True,3.0699520111083984,0.01017158169883124,240123904,218103808,149.262,2039.0,7.32,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,32,94,87.04,512,1,1,1536,True,2.7893760204315186,0.0036524539761163964,240123904,218103808,164.276,2039.0,8.057,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,512,32,108,100.0,512,1,1,1536,True,2.529279947280884,0.002545185290479966,240123904,218103808,181.169,2039.0,8.885,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,2048,1,14,12.96,512,4,4,48,True,2.6547199487686157,0.0035815883466862506,118489088,27262976,54.903,2039.0,2.693,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,2048,1,27,25.0,512,4,4,48,True,1.5882239937782288,0.005832702136670787,118489088,27262976,91.77,2039.0,4.501,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,2048,1,40,37.04,512,4,4,48,True,1.401856005191803,0.008152799759907898,118489088,27262976,103.971,2039.0,5.099,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,2048,1,54,50.0,512,4,4,48,True,1.0854400396347046,0.004268714270277138,118489088,27262976,134.279,2039.0,6.586,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,2048,1,68,62.96,512,4,4,48,True,1.0869760513305664,0.005423859051462272,118489088,27262976,134.089,2039.0,6.576,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,2048,1,81,75.0,512,4,4,48,True,1.0869759917259216,0.0032828081005781174,118489088,27262976,134.089,2039.0,6.576,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,2048,1,94,87.04,512,4,4,48,True,1.0465279817581177,0.006891212595822764,118489088,27262976,139.272,2039.0,6.83,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,2048,1,108,100.0,512,4,4,48,True,1.0060800313949585,0.007146835141190467,118489088,27262976,144.871,2039.0,7.105,True,ok
falcon_h1,a100_sxm4_80gb,attn_chunked,2048,4,14,12.96,512,4,4,192,True,10.743295669555664,0.004946372757194822,209715200,109051904,29.671,2039.0,1.455,True,ok
