# value_kind: latency_ms,latency_std_ms=measured(CUDA event); read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct=derived; rest=metadata
model,device,layer_type,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_chunks,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms,read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct,state_passing_active,status
zamba2,a100_sxm4_80gb,attn_chunked,512,1,14,12.96,512,1,1,224,True,4.035583972930908,0.005283462915287372,238551040,33030144,67.297,2039.0,3.3,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,1,27,25.0,512,1,1,224,True,2.101248025894165,0.003905276896105993,238551040,33030144,129.248,2039.0,6.339,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,1,40,37.04,512,1,1,224,True,1.636352002620697,0.003495930292620607,238551040,33030144,165.967,2039.0,8.14,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,1,54,50.0,512,1,1,224,True,1.516543984413147,0.002977654722661624,238551040,33030144,179.079,2039.0,8.783,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,1,68,62.96,512,1,1,224,True,1.109503984451294,0.004264650647817414,238551040,33030144,244.777,2039.0,12.005,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,1,81,75.0,512,1,1,224,True,1.0951679944992065,0.009584135190452734,238551040,33030144,247.981,2039.0,12.162,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,1,94,87.04,512,1,1,224,True,1.0240000486373901,0.002888220385248431,238551040,33030144,265.216,2039.0,13.007,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,1,108,100.0,512,1,1,224,True,1.0127359628677368,0.003209264488256145,238551040,33030144,268.166,2039.0,13.152,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,4,14,12.96,512,1,1,896,True,15.562239646911621,1.3842062458611135,337641472,132120576,30.186,2039.0,1.48,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,4,27,25.0,512,1,1,896,True,7.8786561489105225,0.002822967775619944,337641472,132120576,59.625,2039.0,2.924,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,4,40,37.04,512,1,1,896,True,5.9028480052948,0.003891758717428802,337641472,132120576,79.582,2039.0,3.903,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,4,54,50.0,512,1,1,896,True,4.472320079803467,0.0038008989887321504,337641472,132120576,105.038,2039.0,5.151,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,4,68,62.96,512,1,1,896,True,3.5338239669799805,0.002016483730311444,337641472,132120576,132.933,2039.0,6.52,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,4,81,75.0,512,1,1,896,True,3.0545918941497803,0.004574337389589726,337641472,132120576,153.789,2039.0,7.542,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,4,94,87.04,512,1,1,896,True,2.599936008453369,0.003120938046175338,337641472,132120576,180.682,2039.0,8.861,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,4,108,100.0,512,1,1,896,True,2.5656319856643677,0.01049622137303851,337641472,132120576,183.098,2039.0,8.98,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,8,14,12.96,512,1,1,1792,True,25.178624153137207,0.28240756733777084,469762048,264241152,29.152,2039.0,1.43,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,8,27,25.0,512,1,1,1792,True,12.670975685119629,0.004529629326572455,469762048,264241152,57.928,2039.0,2.841,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,8,40,37.04,512,1,1,1792,True,11.211775779724121,0.0030605428481828008,469762048,264241152,65.467,2039.0,3.211,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,8,54,50.0,512,1,1,1792,True,8.372223854064941,0.002938381431524454,469762048,264241152,87.671,2039.0,4.3,True,ok
zamba2,a100_sxm4_80gb,attn_chunked,512,8,68,62.96,512,1,1,1792,True,6.825984001159668,0.0023769528220097032,469762048,264241152,107.531,2039.0,5.274,True,ok
