# value_kind: latency_ms,latency_std_ms=measured(CUDA event); read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct=derived; rest=metadata
model,device,layer_type,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_chunks,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms,read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct,state_passing_active,status
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,1,14,12.96,512,1,1,48,False,0.6727679967880249,0.014032090741498015,3694736,3145728,10.168,2039.0,0.499,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,1,27,25.0,512,1,1,48,False,0.6123520135879517,0.00487043544805503,3694736,3145728,11.171,2039.0,0.548,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,1,40,37.04,512,1,1,48,False,0.5985279977321625,0.010276349387867693,3694736,3145728,11.429,2039.0,0.561,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,1,54,50.0,512,1,1,48,True,0.5913600027561188,0.0066930904858150215,3694736,3145728,11.567,2039.0,0.567,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,1,68,62.96,512,1,1,48,True,0.5877760052680969,0.009461761908648995,3694736,3145728,11.638,2039.0,0.571,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,1,81,75.0,512,1,1,48,True,0.5831679999828339,0.006741661330852977,3694736,3145728,11.73,2039.0,0.575,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,1,94,87.04,512,1,1,48,True,0.5831679999828339,0.008223220394862191,3694736,3145728,11.73,2039.0,0.575,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,1,108,100.0,512,1,1,48,True,0.5893120169639587,0.007355724552717198,3694736,3145728,11.608,2039.0,0.569,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,4,14,12.96,512,1,1,192,False,0.9492480158805847,0.0062753285684997604,14778512,12582912,28.824,2039.0,1.414,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,4,27,25.0,512,1,1,192,False,0.7511039972305298,0.007547256789202256,14778512,12582912,36.428,2039.0,1.787,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,4,40,37.04,512,1,1,192,False,0.696832001209259,0.006490723602705897,14778512,12582912,39.265,2039.0,1.926,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,4,54,50.0,512,1,1,192,False,0.6615039706230164,0.00784026343674118,14778512,12582912,41.362,2039.0,2.029,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,4,68,62.96,512,1,1,192,False,0.6410239934921265,0.008217571695556458,14778512,12582912,42.684,2039.0,2.093,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,4,81,75.0,512,1,1,192,False,0.6277120113372803,0.00851008887452675,14778512,12582912,43.589,2039.0,2.138,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,4,94,87.04,512,1,1,192,False,0.6225919723510742,0.006512220384027784,14778512,12582912,43.948,2039.0,2.155,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,4,108,100.0,512,1,1,192,False,0.611840009689331,0.011300658628602916,14778512,12582912,44.72,2039.0,2.193,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,8,14,12.96,512,1,1,384,False,1.5831040143966675,0.004927508943558426,29556880,25165824,34.567,2039.0,1.695,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,8,27,25.0,512,1,1,384,False,0.9431039988994598,0.005231427917707567,29556880,25165824,58.024,2039.0,2.846,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,8,40,37.04,512,1,1,384,False,0.8273919820785522,0.007617162636370498,29556880,25165824,66.139,2039.0,3.244,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,8,54,50.0,512,1,1,384,False,0.7639039754867554,0.006844553003939068,29556880,25165824,71.636,2039.0,3.513,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,8,68,62.96,512,1,1,384,False,0.7162880003452301,0.005935674723326982,29556880,25165824,76.398,2039.0,3.747,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,8,81,75.0,512,1,1,384,False,0.6952960193157196,0.007384171052776921,29556880,25165824,78.704,2039.0,3.86,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,8,94,87.04,512,1,1,384,False,0.6748160123825073,0.004822356225679098,29556880,25165824,81.093,2039.0,3.977,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,8,108,100.0,512,1,1,384,False,0.6686719954013824,0.007525600652843362,29556880,25165824,81.838,2039.0,4.014,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,16,14,12.96,512,1,1,768,False,2.882048010826111,0.006632764443164164,59113616,50331648,37.975,2039.0,1.862,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,16,27,25.0,512,1,1,768,False,1.5979520082473755,0.005999115834494197,59113616,50331648,68.491,2039.0,3.359,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,16,40,37.04,512,1,1,768,False,1.2380160093307495,0.005126819888951116,59113616,50331648,88.404,2039.0,4.336,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,16,54,50.0,512,1,1,768,False,1.0419199466705322,0.00680615746089673,59113616,50331648,105.042,2039.0,5.152,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,16,68,62.96,512,1,1,768,False,0.9103360176086426,0.004153901485983796,59113616,50331648,120.225,2039.0,5.896,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,16,81,75.0,512,1,1,768,False,0.8314880132675171,0.0039052416440483735,59113616,50331648,131.626,2039.0,6.455,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,16,94,87.04,512,1,1,768,False,0.7951359748840332,0.006436646066504003,59113616,50331648,137.643,2039.0,6.751,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,16,108,100.0,512,1,1,768,False,0.7649279832839966,0.00768189011060873,59113616,50331648,143.079,2039.0,7.017,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,32,14,12.96,512,1,1,1536,False,5.512192010879517,0.0038991698639506086,118227088,100663296,39.71,2039.0,1.948,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,32,27,25.0,512,1,1,1536,False,2.9311999082565308,0.00450889542983747,118227088,100663296,74.676,2039.0,3.662,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,32,40,37.04,512,1,1,1536,False,2.2195199728012085,0.004409711499690478,118227088,100663296,98.621,2039.0,4.837,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,32,54,50.0,512,1,1,1536,False,1.8083839416503906,0.004295905131627386,118227088,100663296,121.042,2039.0,5.936,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,32,68,62.96,512,1,1,1536,False,1.5697920322418213,0.010431629287041128,118227088,100663296,139.439,2039.0,6.839,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,32,81,75.0,512,1,1,1536,False,1.4187519550323486,0.005419564390993585,118227088,100663296,154.284,2039.0,7.567,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,32,94,87.04,512,1,1,1536,False,1.3475840091705322,0.005376447272460781,118227088,100663296,162.432,2039.0,7.966,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,512,32,108,100.0,512,1,1,1536,False,1.292799949645996,0.010737605100823914,118227088,100663296,169.315,2039.0,8.304,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,2048,1,14,12.96,512,4,4,48,False,2.1524479389190674,0.010366683945370181,14778944,12582912,12.712,2039.0,0.623,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,2048,1,27,25.0,512,4,4,48,False,2.1094400882720947,0.011769322568512285,14778944,12582912,12.971,2039.0,0.636,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,2048,1,40,37.04,512,4,4,48,False,2.0997120141983032,0.015136168602687863,14778944,12582912,13.031,2039.0,0.639,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,2048,1,54,50.0,512,4,4,48,True,2.0787200927734375,0.011238607458012473,14778944,12582912,13.163,2039.0,0.646,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,2048,1,68,62.96,512,4,4,48,True,2.084351897239685,0.007805243159432753,14778944,12582912,13.127,2039.0,0.644,True,ok
falcon_h1,a100_sxm4_80gb,ssm_chunked,2048,1,81,75.0,512,4,4,48,True,2.0848639011383057,0.008077398477846257,14778944,12582912,13.124,2039.0,0.644,True,ok
