seq_len,layer_type,sm_split,backend,free_sm_fraction,decode_sm_sensitivity,speedup_raw_PROJ,overlap_ratio,overhead_penalty,net_speedup_PROJ,net_gain_PROJ,g1_score,worthwhile
256,ssm,0.3,green_ctx,0.75,0.3,4.0,0.63,0.005,6.3492,5.3442,0.225,True
256,ssm,0.4,green_ctx,0.75,0.3,4.0,0.59,0.005,6.7797,5.7747,0.225,True
256,ssm,0.5,green_ctx,0.75,0.3,4.0,0.55,0.005,7.2727,6.2677,0.225,True
256,ssm,0.6,green_ctx,0.75,0.3,4.0,0.59,0.005,6.7797,5.7747,0.225,True
256,ssm,0.7,green_ctx,0.75,0.3,4.0,0.63,0.005,6.3492,5.3442,0.225,True
256,ssm,0.3,two_stream,0.75,0.3,4.0,0.83,0.005,4.8193,3.8143,0.225,True
256,ssm,0.4,two_stream,0.75,0.3,4.0,0.815,0.005,4.908,3.903,0.225,True
256,ssm,0.5,two_stream,0.75,0.3,4.0,0.8,0.005,5.0,3.995,0.225,True
256,ssm,0.6,two_stream,0.75,0.3,4.0,0.815,0.005,4.908,3.903,0.225,True
256,ssm,0.7,two_stream,0.75,0.3,4.0,0.83,0.005,4.8193,3.8143,0.225,True
256,attn,0.3,green_ctx,0.4,0.15,1.6667,0.63,0.005,2.6455,1.6405,0.06,True
256,attn,0.4,green_ctx,0.4,0.15,1.6667,0.59,0.005,2.8249,1.8199,0.06,True
256,attn,0.5,green_ctx,0.4,0.15,1.6667,0.55,0.005,3.0303,2.0253,0.06,True
256,attn,0.6,green_ctx,0.4,0.15,1.6667,0.59,0.005,2.8249,1.8199,0.06,True
256,attn,0.7,green_ctx,0.4,0.15,1.6667,0.63,0.005,2.6455,1.6405,0.06,True
256,attn,0.3,two_stream,0.4,0.15,1.6667,0.83,0.005,2.008,1.003,0.06,True
256,attn,0.4,two_stream,0.4,0.15,1.6667,0.815,0.005,2.045,1.04,0.06,True
256,attn,0.5,two_stream,0.4,0.15,1.6667,0.8,0.005,2.0833,1.0783,0.06,True
256,attn,0.6,two_stream,0.4,0.15,1.6667,0.815,0.005,2.045,1.04,0.06,True
256,attn,0.7,two_stream,0.4,0.15,1.6667,0.83,0.005,2.008,1.003,0.06,True
512,ssm,0.3,green_ctx,0.7188,0.3,3.5562,0.63,0.005,5.6447,4.6397,0.2156,True
512,ssm,0.4,green_ctx,0.7188,0.3,3.5562,0.59,0.005,6.0274,5.0224,0.2156,True
512,ssm,0.5,green_ctx,0.7188,0.3,3.5562,0.55,0.005,6.4658,5.4608,0.2156,True
512,ssm,0.6,green_ctx,0.7188,0.3,3.5562,0.59,0.005,6.0274,5.0224,0.2156,True
512,ssm,0.7,green_ctx,0.7188,0.3,3.5562,0.63,0.005,5.6447,4.6397,0.2156,True
512,ssm,0.3,two_stream,0.7188,0.3,3.5562,0.83,0.005,4.2846,3.2796,0.2156,True
512,ssm,0.4,two_stream,0.7188,0.3,3.5562,0.815,0.005,4.3634,3.3584,0.2156,True
512,ssm,0.5,two_stream,0.7188,0.3,3.5562,0.8,0.005,4.4452,3.4402,0.2156,True
512,ssm,0.6,two_stream,0.7188,0.3,3.5562,0.815,0.005,4.3634,3.3584,0.2156,True
512,ssm,0.7,two_stream,0.7188,0.3,3.5562,0.83,0.005,4.2846,3.2796,0.2156,True
512,attn,0.3,green_ctx,0.3563,0.15,1.5535,0.63,0.005,2.4659,1.4609,0.0534,True
512,attn,0.4,green_ctx,0.3563,0.15,1.5535,0.59,0.005,2.6331,1.6281,0.0534,True
512,attn,0.5,green_ctx,0.3563,0.15,1.5535,0.55,0.005,2.8246,1.8196,0.0534,True
512,attn,0.6,green_ctx,0.3563,0.15,1.5535,0.59,0.005,2.6331,1.6281,0.0534,True
512,attn,0.7,green_ctx,0.3563,0.15,1.5535,0.63,0.005,2.4659,1.4609,0.0534,True
512,attn,0.3,two_stream,0.3563,0.15,1.5535,0.83,0.005,1.8717,0.8667,0.0534,True
512,attn,0.4,two_stream,0.3563,0.15,1.5535,0.815,0.005,1.9062,0.9012,0.0534,True
512,attn,0.5,two_stream,0.3563,0.15,1.5535,0.8,0.005,1.9419,0.9369,0.0534,True
512,attn,0.6,two_stream,0.3563,0.15,1.5535,0.815,0.005,1.9062,0.9012,0.0534,True
512,attn,0.7,two_stream,0.3563,0.15,1.5535,0.83,0.005,1.8717,0.8667,0.0534,True
1024,ssm,0.3,green_ctx,0.6875,0.3,3.2,0.63,0.005,5.0794,4.0744,0.2062,True
1024,ssm,0.4,green_ctx,0.6875,0.3,3.2,0.59,0.005,5.4237,4.4187,0.2062,True
1024,ssm,0.5,green_ctx,0.6875,0.3,3.2,0.55,0.005,5.8182,4.8132,0.2062,True
1024,ssm,0.6,green_ctx,0.6875,0.3,3.2,0.59,0.005,5.4237,4.4187,0.2062,True
1024,ssm,0.7,green_ctx,0.6875,0.3,3.2,0.63,0.005,5.0794,4.0744,0.2062,True
1024,ssm,0.3,two_stream,0.6875,0.3,3.2,0.83,0.005,3.8554,2.8504,0.2062,True
1024,ssm,0.4,two_stream,0.6875,0.3,3.2,0.815,0.005,3.9264,2.9214,0.2062,True
1024,ssm,0.5,two_stream,0.6875,0.3,3.2,0.8,0.005,4.0,2.995,0.2062,True
1024,ssm,0.6,two_stream,0.6875,0.3,3.2,0.815,0.005,3.9264,2.9214,0.2062,True
1024,ssm,0.7,two_stream,0.6875,0.3,3.2,0.83,0.005,3.8554,2.8504,0.2062,True
1024,attn,0.3,green_ctx,0.3125,0.15,1.4545,0.63,0.005,2.3088,1.3038,0.0469,True
1024,attn,0.4,green_ctx,0.3125,0.15,1.4545,0.59,0.005,2.4653,1.4603,0.0469,True
1024,attn,0.5,green_ctx,0.3125,0.15,1.4545,0.55,0.005,2.6446,1.6396,0.0469,True
1024,attn,0.6,green_ctx,0.3125,0.15,1.4545,0.59,0.005,2.4653,1.4603,0.0469,True
1024,attn,0.7,green_ctx,0.3125,0.15,1.4545,0.63,0.005,2.3088,1.3038,0.0469,True
1024,attn,0.3,two_stream,0.3125,0.15,1.4545,0.83,0.005,1.7525,0.7475,0.0469,True
1024,attn,0.4,two_stream,0.3125,0.15,1.4545,0.815,0.005,1.7847,0.7797,0.0469,True
1024,attn,0.5,two_stream,0.3125,0.15,1.4545,0.8,0.005,1.8182,0.8132,0.0469,True
1024,attn,0.6,two_stream,0.3125,0.15,1.4545,0.815,0.005,1.7847,0.7797,0.0469,True
1024,attn,0.7,two_stream,0.3125,0.15,1.4545,0.83,0.005,1.7525,0.7475,0.0469,True
2048,ssm,0.3,green_ctx,0.6562,0.3,2.9087,0.63,0.005,4.6169,3.6119,0.1969,True
2048,ssm,0.4,green_ctx,0.6562,0.3,2.9087,0.59,0.005,4.9299,3.9249,0.1969,True
2048,ssm,0.5,green_ctx,0.6562,0.3,2.9087,0.55,0.005,5.2885,4.2835,0.1969,True
2048,ssm,0.6,green_ctx,0.6562,0.3,2.9087,0.59,0.005,4.9299,3.9249,0.1969,True
2048,ssm,0.7,green_ctx,0.6562,0.3,2.9087,0.63,0.005,4.6169,3.6119,0.1969,True
2048,ssm,0.3,two_stream,0.6562,0.3,2.9087,0.83,0.005,3.5044,2.4994,0.1969,True
2048,ssm,0.4,two_stream,0.6562,0.3,2.9087,0.815,0.005,3.5689,2.5639,0.1969,True
2048,ssm,0.5,two_stream,0.6562,0.3,2.9087,0.8,0.005,3.6358,2.6308,0.1969,True
2048,ssm,0.6,two_stream,0.6562,0.3,2.9087,0.815,0.005,3.5689,2.5639,0.1969,True
2048,ssm,0.7,two_stream,0.6562,0.3,2.9087,0.83,0.005,3.5044,2.4994,0.1969,True
2048,attn,0.3,green_ctx,0.2688,0.15,1.3676,0.63,0.005,2.1708,1.1658,0.0403,True
2048,attn,0.4,green_ctx,0.2688,0.15,1.3676,0.59,0.005,2.318,1.313,0.0403,True
2048,attn,0.5,green_ctx,0.2688,0.15,1.3676,0.55,0.005,2.4866,1.4816,0.0403,True
2048,attn,0.6,green_ctx,0.2688,0.15,1.3676,0.59,0.005,2.318,1.313,0.0403,True
2048,attn,0.7,green_ctx,0.2688,0.15,1.3676,0.63,0.005,2.1708,1.1658,0.0403,True
2048,attn,0.3,two_stream,0.2688,0.15,1.3676,0.83,0.005,1.6477,0.6427,0.0403,True
2048,attn,0.4,two_stream,0.2688,0.15,1.3676,0.815,0.005,1.6781,0.6731,0.0403,True
2048,attn,0.5,two_stream,0.2688,0.15,1.3676,0.8,0.005,1.7095,0.7045,0.0403,True
2048,attn,0.6,two_stream,0.2688,0.15,1.3676,0.815,0.005,1.6781,0.6731,0.0403,True
2048,attn,0.7,two_stream,0.2688,0.15,1.3676,0.83,0.005,1.6477,0.6427,0.0403,True
4096,ssm,0.3,green_ctx,0.625,0.3,2.6667,0.63,0.005,4.2328,3.2278,0.1875,True
4096,ssm,0.4,green_ctx,0.625,0.3,2.6667,0.59,0.005,4.5198,3.5148,0.1875,True
4096,ssm,0.5,green_ctx,0.625,0.3,2.6667,0.55,0.005,4.8485,3.8435,0.1875,True
4096,ssm,0.6,green_ctx,0.625,0.3,2.6667,0.59,0.005,4.5198,3.5148,0.1875,True
4096,ssm,0.7,green_ctx,0.625,0.3,2.6667,0.63,0.005,4.2328,3.2278,0.1875,True
4096,ssm,0.3,two_stream,0.625,0.3,2.6667,0.83,0.005,3.2129,2.2079,0.1875,True
4096,ssm,0.4,two_stream,0.625,0.3,2.6667,0.815,0.005,3.272,2.267,0.1875,True
4096,ssm,0.5,two_stream,0.625,0.3,2.6667,0.8,0.005,3.3333,2.3283,0.1875,True
4096,ssm,0.6,two_stream,0.625,0.3,2.6667,0.815,0.005,3.272,2.267,0.1875,True
4096,ssm,0.7,two_stream,0.625,0.3,2.6667,0.83,0.005,3.2129,2.2079,0.1875,True
4096,attn,0.3,green_ctx,0.225,0.15,1.2903,0.63,0.005,2.0481,1.0431,0.0338,True
4096,attn,0.4,green_ctx,0.225,0.15,1.2903,0.59,0.005,2.187,1.182,0.0338,True
4096,attn,0.5,green_ctx,0.225,0.15,1.2903,0.55,0.005,2.346,1.341,0.0338,True
4096,attn,0.6,green_ctx,0.225,0.15,1.2903,0.59,0.005,2.187,1.182,0.0338,True
