metric,batch,context_len,value,unit,value_kind,note
layer_crossover_Lstar,1,,21504.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
layer_crossover_Lstar,4,,5376.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
layer_crossover_Lstar,8,,2688.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
layer_crossover_Lstar,16,,1344.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
layer_crossover_Lstar,32,,672.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
forward_ratio_R,1,512,0.35717,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,1024,0.365476,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,2048,0.382089,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,4096,0.415314,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,8192,0.481764,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,16384,0.614664,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,32768,0.880465,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,65536,1.412067,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,131072,2.47527,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,512,0.331998,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,1024,0.360868,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,2048,0.418606,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,4096,0.534084,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,8192,0.765039,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,16384,1.22695,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,32768,2.150771,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,65536,3.998413,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,131072,7.693698,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,512,0.307175,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
