metric,batch,context_len,value,unit,value_kind,note
layer_crossover_Lstar,1,,7168.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
layer_crossover_Lstar,4,,1792.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
layer_crossover_Lstar,8,,896.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
layer_crossover_Lstar,16,,448.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
layer_crossover_Lstar,32,,224.0,tokens,derived,"kv_bytes(L,bs)==attn_mixer_weight_bytes"
forward_ratio_R,1,512,0.222644,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,1024,0.237487,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,2048,0.267172,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,4096,0.326544,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,8192,0.445287,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,16384,0.682774,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,32768,1.157747,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,65536,2.107694,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,1,131072,4.007587,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,512,0.257937,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,1024,0.315257,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,2048,0.429896,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,4096,0.659173,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,8192,1.117729,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,16384,2.034839,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,32768,3.869061,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,65536,7.537503,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,4,131072,14.874389,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,512,0.301367,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,1024,0.410956,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,2048,0.630132,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,4096,1.068484,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,8192,1.94519,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,16384,3.6986,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,32768,7.205421,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,65536,14.219062,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,8,131072,28.246345,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,16,512,0.377677,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,16,1024,0.579104,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,16,2048,0.981959,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,16,4096,1.787669,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,16,8192,3.39909,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,16,16384,6.62193,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,16,32768,13.067612,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,16,65536,25.958974,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
forward_ratio_R,16,131072,51.741699,ratio_attn_over_ssm_bytes,derived,sum_attn(weight+kv)/sum_ssm(weight+state+conv)
