# value_kind: latency_per_step_ms=measured(CUDA event); bytes_analytic,bytes_analytic_w_weight,achieved_bw_GBs,bw_util_pct=derived; model,cell,scope,sm_count,batch,context_len,backend,status=metadata
model,cell,scope,sm_count,batch,context_len,latency_per_step_ms,bytes_analytic,bytes_analytic_w_weight,achieved_bw_GBs,bw_util_pct,backend,status
falcon_h1,decode_attn,kernel,14,1,512,0.06616000086069107,524288,,7.924546450716652,0.39622732253583265,sdpa,ok
falcon_h1,decode_attn,kernel,14,1,2048,0.20771199464797974,2097152,,10.096441486463755,0.5048220743231878,sdpa,ok
falcon_h1,decode_attn,kernel,14,1,8192,0.7538880109786987,8388608,,11.127127474954662,0.5563563737477331,sdpa,ok
falcon_h1,decode_attn,kernel,14,1,32768,2.965791940689087,33554432,,11.313818592481507,0.5656909296240753,sdpa,ok
falcon_h1,decode_attn,kernel,14,4,512,0.20524799823760986,2097152,,10.217648980781709,0.5108824490390854,sdpa,ok
falcon_h1,decode_attn,kernel,14,4,2048,0.7498720288276672,8388608,,11.186719436801182,0.5593359718400591,sdpa,ok
falcon_h1,decode_attn,kernel,14,4,8192,2.8846240043640137,33554432,,11.632168334326089,0.5816084167163045,sdpa,ok
falcon_h1,decode_attn,kernel,14,4,32768,11.726719856262207,134217728,,11.44546212795611,0.5722731063978056,sdpa,ok
falcon_h1,decode_attn,kernel,14,8,512,0.39428800344467163,4194304,,10.637665775668381,0.5318832887834191,sdpa,ok
falcon_h1,decode_attn,kernel,14,8,2048,1.4617279767990112,16777216,,11.477659500463185,0.5738829750231592,sdpa,ok
falcon_h1,decode_attn,kernel,14,8,8192,5.728511810302734,67108864,,11.714886208195407,0.5857443104097704,sdpa,ok
falcon_h1,decode_attn,kernel,14,8,32768,23.41619110107422,268435456,,11.463668657354164,0.5731834328677082,sdpa,ok
falcon_h1,decode_attn,kernel,14,16,512,0.8729599714279175,8388608,,9.609384478739148,0.4804692239369574,sdpa,ok
falcon_h1,decode_attn,kernel,14,16,2048,3.381103992462158,33554432,,9.924105284784597,0.4962052642392298,sdpa,ok
falcon_h1,decode_attn,kernel,14,16,8192,13.419919967651367,134217728,,10.001380658270019,0.5000690329135009,sdpa,ok
falcon_h1,decode_attn,kernel,14,16,32768,54.82664108276367,536870912,,9.792153985679432,0.4896076992839716,sdpa,ok
falcon_h1,decode_attn,kernel,14,32,512,1.732975959777832,16777216,,9.681159109761017,0.4840579554880509,sdpa,ok
falcon_h1,decode_attn,kernel,14,32,2048,6.7336320877075195,67108864,,9.96622077444795,0.4983110387223975,sdpa,ok
falcon_h1,decode_attn,kernel,14,32,8192,26.757104873657227,268435456,,10.032305709736137,0.5016152854868069,sdpa,ok
falcon_h1,decode_attn,kernel,14,32,32768,109.39537811279297,1073741824,,9.81523938692282,0.4907619693461409,sdpa,ok
falcon_h1,decode_attn,kernel,27,1,512,0.06040000170469284,524288,,8.680264655675746,0.43401323278378734,sdpa,ok
falcon_h1,decode_attn,kernel,27,1,2048,0.11577600240707397,2097152,,18.11387469249727,0.9056937346248635,sdpa,ok
falcon_h1,decode_attn,kernel,27,1,8192,0.3946560025215149,8388608,,21.255493255908835,1.0627746627954417,sdpa,ok
falcon_h1,decode_attn,kernel,27,1,32768,1.5235999822616577,33554432,,22.023124435976452,1.1011562217988224,sdpa,ok
falcon_h1,decode_attn,kernel,27,4,512,0.11292800307273865,2097152,,18.570699409686654,0.9285349704843326,sdpa,ok
falcon_h1,decode_attn,kernel,27,4,2048,0.39239999651908875,8388608,,21.37769641797621,1.0688848208988104,sdpa,ok
falcon_h1,decode_attn,kernel,27,4,8192,1.470687985420227,33554432,,22.81546618497215,1.1407733092486074,sdpa,ok
falcon_h1,decode_attn,kernel,27,4,32768,5.989776134490967,134217728,,22.40780372861236,1.120390186430618,sdpa,ok
falcon_h1,decode_attn,kernel,27,8,512,0.21396799385547638,4194304,,19.60248317714762,0.980124158857381,sdpa,ok
falcon_h1,decode_attn,kernel,27,8,2048,0.7544000148773193,16777216,,22.239151205118038,1.111957560255902,sdpa,ok
falcon_h1,decode_attn,kernel,27,8,8192,2.9106080532073975,67108864,,23.05664753660259,1.1528323768301294,sdpa,ok
falcon_h1,decode_attn,kernel,27,8,32768,11.94923210144043,268435456,,22.464661638603644,1.1232330819301821,sdpa,ok
falcon_h1,decode_attn,kernel,27,16,512,0.46036800742149353,8388608,,18.221526832379872,0.9110763416189935,sdpa,ok
falcon_h1,decode_attn,kernel,27,16,2048,1.7278720140457153,33554432,,19.419512398626203,0.9709756199313102,sdpa,ok
falcon_h1,decode_attn,kernel,27,16,8192,6.805039882659912,134217728,,19.72328308346928,0.986164154173464,sdpa,ok
falcon_h1,decode_attn,kernel,27,16,32768,27.95639991760254,536870912,,19.203864359586703,0.9601932179793351,sdpa,ok
falcon_h1,decode_attn,kernel,27,32,512,0.906112015247345,16777216,,18.515609237805172,0.9257804618902586,sdpa,ok
falcon_h1,decode_attn,kernel,27,32,2048,3.426703929901123,67108864,,19.58408586584147,0.9792042932920735,sdpa,ok
falcon_h1,decode_attn,kernel,27,32,8192,13.530624389648438,268435456,,19.839103375404147,0.9919551687702073,sdpa,ok
falcon_h1,decode_attn,kernel,27,32,32768,55.64064025878906,1073741824,,19.29779777885267,0.9648898889426334,sdpa,ok
falcon_h1,decode_attn,kernel,40,1,512,0.060736000537872314,524288,,8.632244391414561,0.43161221957072804,sdpa,ok
falcon_h1,decode_attn,kernel,40,1,2048,0.0880960002541542,2097152,,23.805303236807372,1.1902651618403686,sdpa,ok
falcon_h1,decode_attn,kernel,40,1,8192,0.2897599935531616,8388608,,28.950193907500076,1.4475096953750037,sdpa,ok
falcon_h1,decode_attn,kernel,40,1,32768,1.094912052154541,33554432,,30.645778292395644,1.5322889146197822,sdpa,ok
falcon_h1,decode_attn,kernel,40,4,512,0.08561599999666214,2097152,,24.49486077464213,1.2247430387321065,sdpa,ok
falcon_h1,decode_attn,kernel,40,4,2048,0.28678399324417114,8388608,,29.250614391361253,1.4625307195680626,sdpa,ok
falcon_h1,decode_attn,kernel,40,4,8192,1.0485759973526,33554432,,32.00000008079223,1.6000000040396118,sdpa,ok
falcon_h1,decode_attn,kernel,40,4,32768,4.27510404586792,134217728,,31.39519566306871,1.5697597831534356,sdpa,ok
