cell,scope,batch,context_len,sm_sat_decode,value_kind_sm_sat,latency_at_sm108_ms,value_kind_latency,n_sm_points
decode_attn,kernel,1,512,68,derived(measured-throughput),0.035184,measured,8
decode_attn,kernel,1,2048,68,derived(measured-throughput),0.067168,measured,8
decode_attn,kernel,1,8192,68,derived(measured-throughput),0.179808,measured,8
decode_attn,kernel,1,32768,68,derived(measured-throughput),0.585984,measured,8
decode_attn,kernel,4,512,108,derived(measured-throughput),0.062928,measured,8
decode_attn,kernel,4,2048,81,derived(measured-throughput),0.16952,measured,8
decode_attn,kernel,4,8192,81,derived(measured-throughput),0.59824,measured,8
decode_attn,kernel,4,32768,81,derived(measured-throughput),2.341296,measured,8
decode_attn,kernel,8,512,68,derived(measured-throughput),0.131168,measured,8
decode_attn,kernel,8,2048,68,derived(measured-throughput),0.47336,measured,8
decode_attn,kernel,8,8192,68,derived(measured-throughput),1.84272,measured,8
decode_attn,kernel,8,32768,68,derived(measured-throughput),7.314208,measured,8
decode_attn,kernel,16,512,108,derived(measured-throughput),0.21672,measured,8
decode_attn,kernel,16,2048,108,derived(measured-throughput),0.804656,measured,8
decode_attn,kernel,16,8192,108,derived(measured-throughput),3.174272,measured,8
decode_attn,kernel,16,32768,108,derived(measured-throughput),12.67624,measured,8
decode_attn,kernel,32,512,108,derived(measured-throughput),0.432736,measured,8
decode_attn,kernel,32,2048,108,derived(measured-throughput),1.633792,measured,8
decode_attn,kernel,32,8192,108,derived(measured-throughput),6.446576,measured,8
decode_attn,kernel,32,32768,108,derived(measured-throughput),25.663073,measured,8
decode_attn,layer,1,512,27,derived(measured-throughput),0.201808,measured,8
decode_attn,layer,1,2048,40,derived(measured-throughput),0.213344,measured,8
decode_attn,layer,1,8192,68,derived(measured-throughput),0.32032,measured,8
decode_attn,layer,1,32768,68,derived(measured-throughput),0.742944,measured,8
decode_attn,layer,4,512,68,derived(measured-throughput),0.219408,measured,8
decode_attn,layer,4,2048,81,derived(measured-throughput),0.327456,measured,8
decode_attn,layer,4,8192,81,derived(measured-throughput),0.758064,measured,8
decode_attn,layer,4,32768,81,derived(measured-throughput),2.501568,measured,8
decode_attn,layer,8,512,68,derived(measured-throughput),0.298016,measured,8
decode_attn,layer,8,2048,68,derived(measured-throughput),0.639184,measured,8
decode_attn,layer,8,8192,68,derived(measured-throughput),2.00904,measured,8
decode_attn,layer,8,32768,68,derived(measured-throughput),7.486912,measured,8
decode_attn,layer,16,512,108,derived(measured-throughput),0.384928,measured,8
decode_attn,layer,16,2048,108,derived(measured-throughput),0.966,measured,8
decode_attn,layer,16,8192,108,derived(measured-throughput),3.347328,measured,8
decode_attn,layer,16,32768,108,derived(measured-throughput),12.953536,measured,8
decode_attn,layer,32,512,108,derived(measured-throughput),0.612752,measured,8
decode_attn,layer,32,2048,108,derived(measured-throughput),1.793952,measured,8
decode_attn,layer,32,8192,108,derived(measured-throughput),6.601296,measured,8
decode_attn,layer,32,32768,108,derived(measured-throughput),25.880447,measured,8
decode_ssm,kernel,1,0,27,derived(measured-throughput),0.086176,measured,8
decode_ssm,kernel,4,0,14,derived(measured-throughput),0.086112,measured,8
decode_ssm,kernel,8,0,27,derived(measured-throughput),0.08592,measured,8
decode_ssm,kernel,16,0,54,derived(measured-throughput),0.085968,measured,8
decode_ssm,kernel,32,0,94,derived(measured-throughput),0.086768,measured,8
decode_ssm,layer,1,0,27,derived(measured-throughput),0.30584,measured,8
decode_ssm,layer,4,0,27,derived(measured-throughput),0.30808,measured,8
decode_ssm,layer,8,0,40,derived(measured-throughput),0.304736,measured,8
decode_ssm,layer,16,0,40,derived(measured-throughput),0.304624,measured,8
decode_ssm,layer,32,0,68,derived(measured-throughput),0.301248,measured,8
