model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms,state_passing_active
zamba2,a100-sxm4-80gb,512,1,14,13.0,256,2,112,False,1.2042239904403687,0.01646382142965234,True
zamba2,a100-sxm4-80gb,512,4,14,13.0,256,2,448,False,1.7991679906845093,0.005659344156276318,True
zamba2,a100-sxm4-80gb,512,16,14,13.0,256,2,1792,False,5.538304090499878,0.005462243343603361,True
zamba2,a100-sxm4-80gb,512,32,14,13.0,256,2,3584,False,10.778623580932617,0.004909520073893136,True
zamba2,a100-sxm4-80gb,1024,1,14,13.0,256,4,112,False,2.1524479389190674,0.014568156885361823,True
zamba2,a100-sxm4-80gb,1024,4,14,13.0,256,4,448,False,3.1549439430236816,0.005888415839766274,True
zamba2,a100-sxm4-80gb,1024,16,14,13.0,256,4,1792,False,10.84006404876709,0.004789585544366721,True
zamba2,a100-sxm4-80gb,1024,32,14,13.0,256,4,3584,False,21.332992553710938,0.0059666799529323284,True
zamba2,a100-sxm4-80gb,2048,1,14,13.0,256,8,112,False,4.055040121078491,0.01596665876670154,True
zamba2,a100-sxm4-80gb,2048,4,14,13.0,256,8,448,False,5.903359889984131,0.006857360577584287,True
zamba2,a100-sxm4-80gb,2048,16,14,13.0,256,8,1792,False,21.45996856689453,0.008811952527639133,True
zamba2,a100-sxm4-80gb,2048,32,14,13.0,256,8,3584,False,42.46015930175781,0.010206272385170384,True
zamba2,a100-sxm4-80gb,4096,1,14,13.0,256,16,112,False,7.8545918464660645,0.028429029265990575,True
zamba2,a100-sxm4-80gb,4096,4,14,13.0,256,16,448,False,11.382271766662598,0.015295916629638954,True
zamba2,a100-sxm4-80gb,4096,16,14,13.0,256,16,1792,False,42.6879997253418,0.004397250808638785,True
zamba2,a100-sxm4-80gb,4096,32,14,13.0,256,16,3584,False,84.7191047668457,0.026426311371927386,True
zamba2,a100-sxm4-80gb,8192,1,14,13.0,256,32,112,False,15.41324758529663,0.04320613671941854,True
zamba2,a100-sxm4-80gb,8192,4,14,13.0,256,32,448,False,22.346240043640137,0.011413095565353748,True
zamba2,a100-sxm4-80gb,8192,16,14,13.0,256,32,1792,False,85.15430450439453,0.011054152948315526,True
zamba2,a100-sxm4-80gb,8192,32,14,13.0,256,32,3584,False,169.23289489746094,0.02977512817034988,True
zamba2,a100-sxm4-80gb,16384,1,14,13.0,256,64,112,False,30.700544357299805,0.05837324334323831,True
zamba2,a100-sxm4-80gb,16384,4,14,13.0,256,64,448,False,44.26393699645996,0.01349085945161543,True
zamba2,a100-sxm4-80gb,16384,16,14,13.0,256,64,1792,False,170.0664291381836,0.04053680342713981,True
zamba2,a100-sxm4-80gb,16384,32,14,13.0,256,64,3584,False,338.2338562011719,0.11696666842721867,True
zamba2,a100-sxm4-80gb,512,1,27,25.0,256,2,112,False,1.104383945465088,0.010845591794954479,True
zamba2,a100-sxm4-80gb,512,4,27,25.0,256,2,448,False,1.3204480409622192,0.007349384218735868,True
zamba2,a100-sxm4-80gb,512,16,27,25.0,256,2,1792,False,3.005952000617981,0.004418949271448154,True
zamba2,a100-sxm4-80gb,512,32,27,25.0,256,2,3584,False,5.611519813537598,0.002698542723503011,True
zamba2,a100-sxm4-80gb,1024,1,27,25.0,256,4,112,False,2.0828158855438232,0.009278342676827572,True
zamba2,a100-sxm4-80gb,1024,4,27,25.0,256,4,448,False,2.2952960729599,0.008160638808600419,True
zamba2,a100-sxm4-80gb,1024,16,27,25.0,256,4,1792,False,5.736447811126709,0.004870398968968887,True
zamba2,a100-sxm4-80gb,1024,32,27,25.0,256,4,3584,False,10.998271942138672,0.0040803546473273215,True
zamba2,a100-sxm4-80gb,2048,1,27,25.0,256,8,112,False,3.960319995880127,0.039641810976455326,True
zamba2,a100-sxm4-80gb,2048,4,27,25.0,256,8,448,False,4.2142720222473145,0.015222481241711263,True
zamba2,a100-sxm4-80gb,2048,16,27,25.0,256,8,1792,False,11.19539213180542,0.007972816647793125,True
zamba2,a100-sxm4-80gb,2048,32,27,25.0,256,8,3584,False,21.763583183288574,0.005837521928737365,True
zamba2,a100-sxm4-80gb,4096,1,27,25.0,256,16,112,False,7.794175863265991,0.034665740689545074,True
zamba2,a100-sxm4-80gb,4096,4,27,25.0,256,16,448,False,8.0250883102417,0.022199950255242816,True
zamba2,a100-sxm4-80gb,4096,16,27,25.0,256,16,1792,False,22.125056266784668,0.010485338318537318,True
zamba2,a100-sxm4-80gb,4096,32,27,25.0,256,16,3584,False,43.31059265136719,0.010324332516170064,True
zamba2,a100-sxm4-80gb,8192,1,27,25.0,256,32,112,False,15.443967819213867,0.031331433633143634,True
zamba2,a100-sxm4-80gb,8192,4,27,25.0,256,32,448,False,15.775743961334229,0.07416626134397525,True
zamba2,a100-sxm4-80gb,8192,16,27,25.0,256,32,1792,False,43.966976165771484,0.011167674195319168,True
zamba2,a100-sxm4-80gb,8192,32,27,25.0,256,32,3584,False,86.39129638671875,0.016273517432770425,True
zamba2,a100-sxm4-80gb,16384,1,27,25.0,256,64,112,False,30.772735595703125,0.11985980788168156,True
zamba2,a100-sxm4-80gb,16384,4,27,25.0,256,64,448,False,30.87462329864502,0.06418019057803141,True
zamba2,a100-sxm4-80gb,16384,16,27,25.0,256,64,1792,False,87.63085174560547,0.010119479277593229,True
zamba2,a100-sxm4-80gb,16384,32,27,25.0,256,64,3584,False,172.5486068725586,0.018298505497169108,True
zamba2,a100-sxm4-80gb,512,1,40,37.0,256,2,112,False,1.0885120034217834,0.012137266882122908,True
zamba2,a100-sxm4-80gb,512,4,40,37.0,256,2,448,False,1.2339199781417847,0.016134613939541933,True
zamba2,a100-sxm4-80gb,512,16,40,37.0,256,2,1792,False,2.298880100250244,0.00800201996514933,True
zamba2,a100-sxm4-80gb,512,32,40,37.0,256,2,3584,False,4.082688093185425,0.004765307009637623,True
zamba2,a100-sxm4-80gb,1024,1,40,37.0,256,4,112,False,2.0510720014572144,0.009803430264327746,True
zamba2,a100-sxm4-80gb,1024,4,40,37.0,256,4,448,False,2.2072319984436035,0.008971899695265358,True
zamba2,a100-sxm4-80gb,1024,16,40,37.0,256,4,1792,False,4.264447927474976,0.00718906027043385,True
zamba2,a100-sxm4-80gb,1024,32,40,37.0,256,4,3584,False,7.931903839111328,0.005932731958717254,True
zamba2,a100-sxm4-80gb,2048,1,40,37.0,256,8,112,False,3.9797760248184204,0.023341106886988594,True
zamba2,a100-sxm4-80gb,2048,4,40,37.0,256,8,448,False,4.144128084182739,0.014669033993761913,True
zamba2,a100-sxm4-80gb,2048,16,40,37.0,256,8,1792,False,8.187903881072998,0.0071836021060182245,True
zamba2,a100-sxm4-80gb,2048,32,40,37.0,256,8,3584,False,15.632384300231934,0.0024826056875182157,True
zamba2,a100-sxm4-80gb,4096,1,40,37.0,256,16,112,False,7.814656019210815,0.022130319189585943,True
zamba2,a100-sxm4-80gb,4096,4,40,37.0,256,16,448,False,7.994368076324463,0.02239718504427948,True
zamba2,a100-sxm4-80gb,4096,16,40,37.0,256,16,1792,False,16.03328037261963,0.0063162083517925936,True
zamba2,a100-sxm4-80gb,4096,32,40,37.0,256,16,3584,False,31.040512084960938,0.005828577734498904,True
zamba2,a100-sxm4-80gb,8192,1,40,37.0,256,32,112,False,15.43116807937622,0.042530762378597334,True
zamba2,a100-sxm4-80gb,8192,4,40,37.0,256,32,448,False,15.583232402801514,0.03058010141399442,True
zamba2,a100-sxm4-80gb,8192,16,40,37.0,256,32,1792,False,31.719423294067383,0.011149277362434049,True
zamba2,a100-sxm4-80gb,8192,32,40,37.0,256,32,3584,False,61.84908866882324,0.005837181565233736,True
zamba2,a100-sxm4-80gb,16384,1,40,37.0,256,64,112,False,30.545408248901367,0.0861737376344246,True
zamba2,a100-sxm4-80gb,16384,4,40,37.0,256,64,448,False,30.97036838531494,0.0791531825077382,True
zamba2,a100-sxm4-80gb,16384,16,40,37.0,256,64,1792,False,63.079423904418945,0.012194800932410868,True
zamba2,a100-sxm4-80gb,16384,32,40,37.0,256,64,3584,False,123.47545623779297,0.011052263606204852,True
zamba2,a100-sxm4-80gb,512,1,54,50.0,256,2,112,False,1.0746879577636719,0.006279039885251455,True
zamba2,a100-sxm4-80gb,512,4,54,50.0,256,2,448,False,1.1832319498062134,0.007506212371607698,True
zamba2,a100-sxm4-80gb,512,16,54,50.0,256,2,1792,False,1.8749439716339111,0.00531429638620799,True
zamba2,a100-sxm4-80gb,512,32,54,50.0,256,2,3584,False,3.1651840209960938,0.004257815171957458,True
zamba2,a100-sxm4-80gb,1024,1,54,50.0,256,4,112,False,2.0510720014572144,0.010305771444012905,True
zamba2,a100-sxm4-80gb,1024,4,54,50.0,256,4,448,False,2.151423931121826,0.007756576385613194,True
zamba2,a100-sxm4-80gb,1024,16,54,50.0,256,4,1792,False,3.3797119855880737,0.041210823812728836,True
zamba2,a100-sxm4-80gb,1024,32,54,50.0,256,4,3584,False,6.098944187164307,0.004734611325378654,True
zamba2,a100-sxm4-80gb,2048,1,54,50.0,256,8,112,False,4.000256061553955,0.017744412451811346,True
zamba2,a100-sxm4-80gb,2048,4,54,50.0,256,8,448,False,4.1308159828186035,0.01921072042741568,True
zamba2,a100-sxm4-80gb,2048,16,54,50.0,256,8,1792,False,6.379008054733276,0.0062604691020046645,True
zamba2,a100-sxm4-80gb,2048,32,54,50.0,256,8,3584,False,11.965951919555664,0.0024232268331317347,True
zamba2,a100-sxm4-80gb,4096,1,54,50.0,256,16,112,False,7.863807916641235,0.020050205097175377,True
zamba2,a100-sxm4-80gb,4096,4,54,50.0,256,16,448,False,8.002048015594482,0.04033941381774885,True
zamba2,a100-sxm4-80gb,4096,16,54,50.0,256,16,1792,False,12.379648208618164,0.005016549936041546,True
zamba2,a100-sxm4-80gb,4096,32,54,50.0,256,16,3584,False,23.70252799987793,0.006335559703947247,True
zamba2,a100-sxm4-80gb,8192,1,54,50.0,256,32,112,False,15.573503971099854,0.05078472006059452,True
zamba2,a100-sxm4-80gb,8192,4,54,50.0,256,32,448,False,15.712768077850342,0.03765232879597782,True
zamba2,a100-sxm4-80gb,8192,16,54,50.0,256,32,1792,False,24.37324810028076,0.00902134656915366,True
zamba2,a100-sxm4-80gb,8192,32,54,50.0,256,32,3584,False,47.16236877441406,0.013568905425894116,True
zamba2,a100-sxm4-80gb,16384,1,54,50.0,256,64,112,False,30.920703887939453,0.08891491554662974,True
zamba2,a100-sxm4-80gb,16384,4,54,50.0,256,64,448,False,31.219712257385254,0.13311736045168743,True
zamba2,a100-sxm4-80gb,16384,16,54,50.0,256,64,1792,False,48.34713554382324,0.009285212765933552,True
zamba2,a100-sxm4-80gb,16384,32,54,50.0,256,64,3584,False,94.09075164794922,0.004322771822559521,True
zamba2,a100-sxm4-80gb,512,1,68,63.0,256,2,112,False,1.0721280574798584,0.010023844191019971,True
zamba2,a100-sxm4-80gb,512,4,68,63.0,256,2,448,False,1.1663360595703125,0.007629403290478658,True
zamba2,a100-sxm4-80gb,512,16,68,63.0,256,2,1792,False,1.6327680349349976,0.010741974290902383,True
zamba2,a100-sxm4-80gb,512,32,68,63.0,256,2,3584,False,2.6731520891189575,0.006407594551246066,True
zamba2,a100-sxm4-80gb,1024,1,68,63.0,256,4,112,False,2.0654079914093018,0.016162020886049174,True
zamba2,a100-sxm4-80gb,1024,4,68,63.0,256,4,448,False,2.155519962310791,0.01524385097765809,True
zamba2,a100-sxm4-80gb,1024,16,68,63.0,256,4,1792,False,2.8743679523468018,0.005414237807780483,True
zamba2,a100-sxm4-80gb,1024,32,68,63.0,256,4,3584,False,5.081088066101074,0.007337487010465334,True
zamba2,a100-sxm4-80gb,2048,1,68,63.0,256,8,112,False,3.9987200498580933,0.016490317296799215,True
zamba2,a100-sxm4-80gb,2048,4,68,63.0,256,8,448,False,4.083711862564087,0.019697001471925272,True
zamba2,a100-sxm4-80gb,2048,16,68,63.0,256,8,1792,False,5.349376201629639,0.006063864399455927,True
zamba2,a100-sxm4-80gb,2048,32,68,63.0,256,8,3584,False,9.891839981079102,0.007739282805984585,True
zamba2,a100-sxm4-80gb,4096,1,68,63.0,256,16,112,False,7.862272024154663,0.026343271792280513,True
zamba2,a100-sxm4-80gb,4096,4,68,63.0,256,16,448,False,7.937536001205444,0.031013799358762275,True
zamba2,a100-sxm4-80gb,4096,16,68,63.0,256,16,1792,False,10.301951885223389,0.01124839099144368,True
zamba2,a100-sxm4-80gb,4096,32,68,63.0,256,16,3584,False,19.52511978149414,0.008699540222846226,True
zamba2,a100-sxm4-80gb,8192,1,68,63.0,256,32,112,False,15.58732795715332,0.07532410919021036,True
zamba2,a100-sxm4-80gb,8192,4,68,63.0,256,32,448,False,15.69382381439209,0.04103036929536967,True
zamba2,a100-sxm4-80gb,8192,16,68,63.0,256,32,1792,False,20.207103729248047,0.010432131044682848,True
zamba2,a100-sxm4-80gb,8192,32,68,63.0,256,32,3584,False,38.78758430480957,0.008740007149224837,True
zamba2,a100-sxm4-80gb,16384,1,68,63.0,256,64,112,False,30.908416748046875,0.09147013452942551,True
zamba2,a100-sxm4-80gb,16384,4,68,63.0,256,64,448,False,31.156224250793457,0.09189162475255913,True
zamba2,a100-sxm4-80gb,16384,16,68,63.0,256,64,1792,False,39.989248275756836,0.0053539816924584906,True
zamba2,a100-sxm4-80gb,16384,32,68,63.0,256,64,3584,False,77.30585479736328,0.005881790051946395,True
zamba2,a100-sxm4-80gb,512,1,81,75.0,256,2,112,False,1.0695680379867554,0.008784929449773859,True
zamba2,a100-sxm4-80gb,512,4,81,75.0,256,2,448,False,1.1473920345306396,0.010222348123447493,True
zamba2,a100-sxm4-80gb,512,16,81,75.0,256,2,1792,False,1.4730240106582642,0.007248007587888069,True
zamba2,a100-sxm4-80gb,512,32,81,75.0,256,2,3584,False,2.3536640405654907,0.006498794533244358,True
zamba2,a100-sxm4-80gb,1024,1,81,75.0,256,4,112,False,2.0633599758148193,0.023435439820806574,True
zamba2,a100-sxm4-80gb,1024,4,81,75.0,256,4,448,False,2.1416960954666138,0.009444492785104504,True
zamba2,a100-sxm4-80gb,1024,16,81,75.0,256,4,1792,False,2.540544033050537,0.00756807516143333,True
zamba2,a100-sxm4-80gb,1024,32,81,75.0,256,4,3584,False,4.428799867630005,0.0061107335048075995,True
zamba2,a100-sxm4-80gb,2048,1,81,75.0,256,8,112,False,3.9536640644073486,0.011853648843999086,True
zamba2,a100-sxm4-80gb,2048,4,81,75.0,256,8,448,False,4.047359943389893,0.014657873497998469,True
zamba2,a100-sxm4-80gb,2048,16,81,75.0,256,8,1792,False,4.696063995361328,0.4689510643550822,True
zamba2,a100-sxm4-80gb,2048,32,81,75.0,256,8,3584,False,8.582655906677246,0.0931581438684667,True
zamba2,a100-sxm4-80gb,4096,1,81,75.0,256,16,112,False,7.833087921142578,0.3351650667166916,True
zamba2,a100-sxm4-80gb,4096,4,81,75.0,256,16,448,False,7.902719974517822,0.027927767020564858,True
zamba2,a100-sxm4-80gb,4096,16,81,75.0,256,16,1792,False,9.000959873199463,0.004409726887706877,True
zamba2,a100-sxm4-80gb,4096,32,81,75.0,256,16,3584,False,16.885247230529785,0.010380716038094553,True
zamba2,a100-sxm4-80gb,8192,1,81,75.0,256,32,112,False,15.414783954620361,0.052395430514769394,True
zamba2,a100-sxm4-80gb,8192,4,81,75.0,256,32,448,False,15.654911994934082,0.0810167581929909,True
zamba2,a100-sxm4-80gb,8192,16,81,75.0,256,32,1792,False,17.58310317993164,0.009082899796620813,True
zamba2,a100-sxm4-80gb,8192,32,81,75.0,256,32,3584,False,33.49247932434082,0.0060253628816735304,True
zamba2,a100-sxm4-80gb,16384,1,81,75.0,256,64,112,False,30.72051239013672,0.08375424345065625,True
zamba2,a100-sxm4-80gb,16384,4,81,75.0,256,64,448,False,30.809088706970215,0.05885582518711321,True
zamba2,a100-sxm4-80gb,16384,16,81,75.0,256,64,1792,False,34.760704040527344,0.010462931597016358,True
zamba2,a100-sxm4-80gb,16384,32,81,75.0,256,64,3584,False,66.70336151123047,0.015432640573064827,True
zamba2,a100-sxm4-80gb,512,1,94,87.0,256,2,112,False,1.0690560340881348,0.009382641433201907,True
zamba2,a100-sxm4-80gb,512,4,94,87.0,256,2,448,False,1.1274240016937256,0.007571922564972254,True
zamba2,a100-sxm4-80gb,512,16,94,87.0,256,2,1792,False,1.3824000358581543,0.006520267201457104,True
zamba2,a100-sxm4-80gb,512,32,94,87.0,256,2,3584,False,2.157055974006653,0.0075565639157414485,True
zamba2,a100-sxm4-80gb,1024,1,94,87.0,256,4,112,False,2.03929603099823,0.011486776413507609,True
zamba2,a100-sxm4-80gb,1024,4,94,87.0,256,4,448,False,2.1043200492858887,0.0338152229828504,True
zamba2,a100-sxm4-80gb,1024,16,94,87.0,256,4,1792,False,2.359808087348938,0.010242238347408105,True
zamba2,a100-sxm4-80gb,1024,32,94,87.0,256,4,3584,False,4.034559965133667,0.002825110333149935,True
zamba2,a100-sxm4-80gb,2048,1,94,87.0,256,8,112,False,3.9608319997787476,0.010976382177015749,True
zamba2,a100-sxm4-80gb,2048,4,94,87.0,256,8,448,False,4.0320000648498535,0.018292721375580637,True
zamba2,a100-sxm4-80gb,2048,16,94,87.0,256,8,1792,False,4.295167922973633,0.009571983936914514,True
zamba2,a100-sxm4-80gb,2048,32,94,87.0,256,8,3584,False,7.782912015914917,0.007447741968031538,True
zamba2,a100-sxm4-80gb,4096,1,94,87.0,256,16,112,False,7.809535980224609,0.02402978666939818,True
zamba2,a100-sxm4-80gb,4096,4,94,87.0,256,16,448,False,7.866368055343628,0.0349202591340408,True
zamba2,a100-sxm4-80gb,4096,16,94,87.0,256,16,1792,False,8.161791801452637,0.011313159929498943,True
zamba2,a100-sxm4-80gb,4096,32,94,87.0,256,16,3584,False,15.287807941436768,0.00849649109691879,True
zamba2,a100-sxm4-80gb,8192,1,94,87.0,256,32,112,False,15.47980785369873,0.058975092926690315,True
zamba2,a100-sxm4-80gb,8192,4,94,87.0,256,32,448,False,15.49619197845459,0.03576404511180939,True
zamba2,a100-sxm4-80gb,8192,16,94,87.0,256,32,1792,False,15.90886402130127,0.0072052968333476625,True
zamba2,a100-sxm4-80gb,8192,32,94,87.0,256,32,3584,False,30.285823822021484,0.0050121950313370585,True
zamba2,a100-sxm4-80gb,16384,1,94,87.0,256,64,112,False,30.658559799194336,0.08550697213226496,True
zamba2,a100-sxm4-80gb,16384,4,94,87.0,256,64,448,False,30.698495864868164,0.06626270044161536,True
