model_name,ssm_type,seq_len,batch_size,total_sm,saturation_sm,free_sm,sat_ratio,free_ratio
zamba2,ssm_chunked,512,1,108,108,0,1.0,0.0
zamba2,ssm_chunked,512,4,108,108,0,1.0,0.0
zamba2,ssm_chunked,512,16,108,108,0,1.0,0.0
zamba2,ssm_chunked,512,32,108,108,0,1.0,0.0
zamba2,ssm_chunked,1024,1,108,108,0,1.0,0.0
zamba2,ssm_chunked,1024,4,108,108,0,1.0,0.0
zamba2,ssm_chunked,1024,16,108,108,0,1.0,0.0
zamba2,ssm_chunked,1024,32,108,108,0,1.0,0.0
zamba2,ssm_chunked,2048,1,108,108,0,1.0,0.0
zamba2,ssm_chunked,2048,4,108,108,0,1.0,0.0
zamba2,ssm_chunked,2048,16,108,108,0,1.0,0.0
zamba2,ssm_chunked,2048,32,108,108,0,1.0,0.0
zamba2,ssm_chunked,4096,1,108,108,0,1.0,0.0
zamba2,ssm_chunked,4096,4,108,108,0,1.0,0.0
zamba2,ssm_chunked,4096,16,108,108,0,1.0,0.0
zamba2,ssm_chunked,4096,32,108,108,0,1.0,0.0
zamba2,ssm_chunked,8192,1,108,108,0,1.0,0.0
zamba2,ssm_chunked,8192,4,108,108,0,1.0,0.0
zamba2,ssm_chunked,8192,16,108,108,0,1.0,0.0
zamba2,ssm_chunked,8192,32,108,108,0,1.0,0.0
zamba2,ssm_chunked,16384,1,108,108,0,1.0,0.0
zamba2,ssm_chunked,16384,4,108,108,0,1.0,0.0
zamba2,ssm_chunked,16384,16,108,108,0,1.0,0.0
zamba2,ssm_chunked,16384,32,108,108,0,1.0,0.0
