# value_kind: latency_ms,latency_std_ms=measured(CUDA event); read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct=derived; rest=metadata
model,device,layer_type,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_chunks,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms,read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct,state_passing_active,status
nemotron_h,a100_sxm4_80gb,attn_chunked,512,1,14,12.96,512,1,1,512,True,2.135040044784546,0.005666587711256373,98566144,14680064,53.042,2039.0,2.601,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,1,27,25.0,512,1,1,512,True,0.9738240242004395,0.003447300328152512,98566144,14680064,116.29,2039.0,5.703,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,1,40,37.04,512,1,1,512,True,0.7444480061531067,0.004759115994541002,98566144,14680064,152.121,2039.0,7.461,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,1,54,50.0,512,1,1,512,True,0.5949440002441406,0.003980601248514811,98566144,14680064,190.348,2039.0,9.335,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,1,68,62.96,512,1,1,512,True,0.521727979183197,0.006454712936357636,98566144,14680064,217.06,2039.0,10.645,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,1,81,75.0,512,1,1,512,True,0.4915199875831604,0.003867776151874624,98566144,14680064,230.4,2039.0,11.3,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,1,94,87.04,512,1,1,512,True,0.48230400681495667,0.004032930634147072,98566144,14680064,234.803,2039.0,11.516,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,1,108,100.0,512,1,1,512,True,0.3927040100097656,0.004397764987282507,98566144,14680064,288.375,2039.0,14.143,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,4,14,12.96,512,1,1,2048,True,7.329279899597168,0.004660101923313201,142606336,58720256,27.469,2039.0,1.347,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,4,27,25.0,512,1,1,2048,True,3.1877119541168213,0.003613972263677775,142606336,58720256,63.157,2039.0,3.097,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,4,40,37.04,512,1,1,2048,True,2.2855679988861084,0.003316408396237968,142606336,58720256,88.086,2039.0,4.32,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,4,54,50.0,512,1,1,2048,True,1.7172479629516602,0.0023672856088636923,142606336,58720256,117.238,2039.0,5.75,True,ok
nemotron_h,a100_sxm4_80gb,attn_chunked,512,4,68,62.96,512,1,1,2048,True,1.3900799751281738,0.0038753280116327893,142606336,58720256,144.831,2039.0,7.103,True,ok
