# value_kind: latency_ms,latency_std_ms=measured(CUDA event); read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct=derived; rest=metadata
model,device,layer_type,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_chunks,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms,read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct,state_passing_active,status
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,1,14,12.96,512,1,1,512,False,0.8622080087661743,0.010104858843609768,10617600,8388608,22.044,2039.0,1.081,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,1,27,25.0,512,1,1,512,False,0.7029759883880615,0.00922295106019022,10617600,8388608,27.037,2039.0,1.326,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,1,40,37.04,512,1,1,512,False,0.6656000018119812,0.010125586428926662,10617600,8388608,28.555,2039.0,1.4,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,1,54,50.0,512,1,1,512,False,0.636927992105484,0.00939504407681387,10617600,8388608,29.84,2039.0,1.463,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,1,68,62.96,512,1,1,512,False,0.6256639957427979,0.009325334896851434,10617600,8388608,30.378,2039.0,1.49,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,1,81,75.0,512,1,1,512,False,0.6154240071773529,0.006830937850183633,10617600,8388608,30.883,2039.0,1.515,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,1,94,87.04,512,1,1,512,False,0.6128640174865723,0.005239227655978759,10617600,8388608,31.012,2039.0,1.521,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,1,108,100.0,512,1,1,512,False,0.6082559823989868,0.006185585904494077,10617600,8388608,31.247,2039.0,1.532,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,4,14,12.96,512,1,1,2048,False,2.040832042694092,0.0036460685621839,42468096,33554432,37.251,2039.0,1.827,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,4,27,25.0,512,1,1,2048,False,1.1694079637527466,0.004899053509608779,42468096,33554432,65.009,2039.0,3.188,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,4,40,37.04,512,1,1,2048,False,0.9630720019340515,0.004909734162013709,42468096,33554432,78.938,2039.0,3.871,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,4,54,50.0,512,1,1,2048,False,0.8581120073795319,0.007846211607441492,42468096,33554432,88.593,2039.0,4.345,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,4,68,62.96,512,1,1,2048,False,0.8017920255661011,0.03826040674280982,42468096,33554432,94.816,2039.0,4.65,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,4,81,75.0,512,1,1,2048,False,0.7623680233955383,0.007524837515684026,42468096,33554432,99.719,2039.0,4.891,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,4,94,87.04,512,1,1,2048,False,0.7408640086650848,0.007463432966527562,42468096,33554432,102.613,2039.0,5.033,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,4,108,100.0,512,1,1,2048,False,0.7193599939346313,0.0074007126549928215,42468096,33554432,105.681,2039.0,5.183,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,8,14,12.96,512,1,1,4096,False,3.810815930366516,0.004430703210389297,84935424,67108864,39.898,2039.0,1.957,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,8,27,25.0,512,1,1,4096,False,2.0684800148010254,0.004997978681572013,84935424,67108864,73.505,2039.0,3.605,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,8,40,37.04,512,1,1,4096,False,1.5718400478363037,0.006308636339397362,84935424,67108864,96.73,2039.0,4.744,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,8,54,50.0,512,1,1,4096,False,1.2733440399169922,0.003794779093481777,84935424,67108864,119.406,2039.0,5.856,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,8,68,62.96,512,1,1,4096,False,1.112064003944397,0.005541827762445012,84935424,67108864,136.723,2039.0,6.705,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,8,81,75.0,512,1,1,4096,False,1.005568027496338,0.0050857321768896305,84935424,67108864,151.202,2039.0,7.416,True,ok
nemotron_h,a100_sxm4_80gb,ssm_chunked,512,8,94,87.04,512,1,1,4096,False,0.9477120041847229,0.0034825964121037766,84935424,67108864,160.433,2039.0,7.868,True,ok
