# value_kind: latency_ms,latency_std_ms=measured(CUDA event); read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct=derived; rest=metadata
model,device,layer_type,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_chunks,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms,read_bytes,write_bytes,achieved_bw_GBs,theoretical_bw_GBs,bw_util_pct,state_passing_active,status
zamba2,a100_sxm4_80gb,ssm_chunked,512,1,14,12.96,512,1,1,224,False,0.8273920118808746,0.010578576535944887,7717536,7340032,18.199,2039.0,0.893,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,1,27,25.0,512,1,1,224,False,0.6845439970493317,0.006713954609737003,7717536,7340032,21.996,2039.0,1.079,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,1,40,37.04,512,1,1,224,False,0.6461439728736877,0.009095112715072268,7717536,7340032,23.304,2039.0,1.143,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,1,54,50.0,512,1,1,224,False,0.6184960007667542,0.0047786675748706,7717536,7340032,24.345,2039.0,1.194,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,1,68,62.96,512,1,1,224,False,0.605184018611908,0.007802289921768496,7717536,7340032,24.881,2039.0,1.22,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,1,81,75.0,512,1,1,224,False,0.59443199634552,0.0071931531094580016,7717536,7340032,25.331,2039.0,1.242,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,1,94,87.04,512,1,1,224,False,0.5898240208625793,0.0073652117449684055,7717536,7340032,25.529,2039.0,1.252,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,1,108,100.0,512,1,1,224,False,0.5908479988574982,0.007976543556925968,7717536,7340032,25.485,2039.0,1.25,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,4,14,12.96,512,1,1,896,False,1.6450560092926025,0.00711415591433421,30868128,29360128,36.612,2039.0,1.796,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,4,27,25.0,512,1,1,896,False,1.099776029586792,0.00690811704042134,30868128,29360128,54.764,2039.0,2.686,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,4,40,37.04,512,1,1,896,False,0.9415680170059204,0.005044333463540959,30868128,29360128,63.966,2039.0,3.137,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,4,54,50.0,512,1,1,896,False,0.8376320004463196,0.008060091687433076,30868128,29360128,71.903,2039.0,3.526,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,4,68,62.96,512,1,1,896,False,0.7823359966278076,0.006685252099129809,30868128,29360128,76.985,2039.0,3.776,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,4,81,75.0,512,1,1,896,False,0.7377920150756836,0.00751243858197825,30868128,29360128,81.633,2039.0,4.004,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,4,94,87.04,512,1,1,896,False,0.719871997833252,0.007280090843175498,30868128,29360128,83.665,2039.0,4.103,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,4,108,100.0,512,1,1,896,False,0.7014399766921997,0.00722869510152102,30868128,29360128,85.864,2039.0,4.211,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,8,14,12.96,512,1,1,1792,False,2.840575933456421,0.0031077912079029387,61735584,58720256,42.405,2039.0,2.08,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,8,27,25.0,512,1,1,1792,False,1.6399359703063965,0.007276872760401205,61735584,58720256,73.452,2039.0,3.602,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,8,40,37.04,512,1,1,1792,False,1.3163520097732544,0.004956985924283595,61735584,58720256,91.507,2039.0,4.488,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,8,54,50.0,512,1,1,1792,False,1.124351978302002,0.006661685673770149,61735584,58720256,107.134,2039.0,5.254,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,8,68,62.96,512,1,1,1792,False,1.0024960041046143,0.004947586532665773,61735584,58720256,120.156,2039.0,5.893,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,8,81,75.0,512,1,1,1792,False,0.92467200756073,0.004192976780509571,61735584,58720256,130.269,2039.0,6.389,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,8,94,87.04,512,1,1,1792,False,0.8801279962062836,0.00698274878268541,61735584,58720256,136.862,2039.0,6.712,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,8,108,100.0,512,1,1,1792,False,0.8355839848518372,0.009520686518350245,61735584,58720256,144.158,2039.0,7.07,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,14,12.96,512,1,1,3584,False,5.411328077316284,0.005712543262605594,123470496,117440512,44.52,2039.0,2.183,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,27,25.0,512,1,1,3584,False,2.8666878938674927,0.004574302994244958,123470496,117440512,84.038,2039.0,4.122,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,40,37.04,512,1,1,3584,False,2.1145598888397217,0.003814614001083956,123470496,117440512,113.93,2039.0,5.588,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,54,50.0,512,1,1,3584,False,1.6880639791488647,0.008022414389876538,123470496,117440512,142.714,2039.0,6.999,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,68,62.96,512,1,1,3584,False,1.4581760168075562,0.007479029930736668,123470496,117440512,165.214,2039.0,8.103,True,ok
zamba2,a100_sxm4_80gb,ssm_chunked,512,16,81,75.0,512,1,1,3584,False,1.3004800081253052,0.009005649577862342,123470496,117440512,185.248,2039.0,9.085,True,ok
