model,seq_len,batch_size,context_len,chunk_tok,n_calls,total_sm,sm_split,n_prefill_sm,n_decode_sm,actual_prefill_sm,actual_decode_sm,backend,solo_prefill_ms,solo_decode_ms,solo_sum_ms,concurrent_ms,prefill_stream_ms,decode_stream_ms,overlap_ratio
zamba2,1024,1,1024,256,4,108,0.3,32,76,32,76,green_ctx,2.011,0.57,2.581,2.123,2.123,0.588,0.8225
zamba2,1024,1,1024,256,4,108,0.3,32,76,108,108,two_stream,2.011,0.57,2.581,2.057,2.057,0.573,0.7969
zamba2,1024,1,1024,256,4,108,0.4,43,65,44,64,green_ctx,2.011,0.57,2.581,2.092,2.092,0.589,0.8104
zamba2,1024,1,1024,256,4,108,0.4,43,65,108,108,two_stream,2.011,0.57,2.581,2.053,2.053,0.572,0.7955
zamba2,1024,1,1024,256,4,108,0.5,54,54,54,54,green_ctx,2.011,0.57,2.581,2.079,2.079,0.594,0.8054
zamba2,1024,1,1024,256,4,108,0.5,54,54,108,108,two_stream,2.011,0.57,2.581,2.051,2.051,0.575,0.7945
zamba2,1024,1,1024,256,4,108,0.6,65,43,66,42,green_ctx,2.011,0.57,2.581,2.128,2.128,0.668,0.8244
zamba2,1024,1,1024,256,4,108,0.6,65,43,108,108,two_stream,2.011,0.57,2.581,2.067,2.067,0.596,0.801
zamba2,1024,1,1024,256,4,108,0.7,76,32,76,32,green_ctx,2.011,0.57,2.581,2.083,2.083,0.623,0.807
zamba2,1024,1,1024,256,4,108,0.7,76,32,108,108,two_stream,2.011,0.57,2.581,2.053,2.053,0.576,0.7955
zamba2,1024,1,4096,256,4,108,0.3,32,76,32,76,green_ctx,2.033,0.632,2.665,2.127,2.127,0.664,0.7979
zamba2,1024,1,4096,256,4,108,0.3,32,76,108,108,two_stream,2.033,0.632,2.665,2.063,2.063,0.633,0.7741
zamba2,1024,1,4096,256,4,108,0.4,43,65,44,64,green_ctx,2.033,0.632,2.665,2.107,2.107,0.666,0.7906
zamba2,1024,1,4096,256,4,108,0.4,43,65,108,108,two_stream,2.033,0.632,2.665,2.067,2.067,0.637,0.7755
zamba2,1024,1,4096,256,4,108,0.5,54,54,54,54,green_ctx,2.033,0.632,2.665,2.103,2.103,0.697,0.7891
zamba2,1024,1,4096,256,4,108,0.5,54,54,108,108,two_stream,2.033,0.632,2.665,2.069,2.069,0.635,0.7762
zamba2,1024,1,4096,256,4,108,0.6,65,43,66,42,green_ctx,2.033,0.632,2.665,2.093,2.093,0.759,0.7851
zamba2,1024,1,4096,256,4,108,0.6,65,43,108,108,two_stream,2.033,0.632,2.665,2.059,2.059,0.644,0.7726
zamba2,1024,1,4096,256,4,108,0.7,76,32,76,32,green_ctx,2.033,0.632,2.665,2.109,2.109,0.815,0.7912
zamba2,1024,1,4096,256,4,108,0.7,76,32,108,108,two_stream,2.033,0.632,2.665,2.073,2.073,0.648,0.7776
zamba2,1024,4,1024,256,4,108,0.3,32,76,32,76,green_ctx,2.156,0.669,2.825,2.411,2.411,0.696,0.8535
zamba2,1024,4,1024,256,4,108,0.3,32,76,108,108,two_stream,2.156,0.669,2.825,2.153,2.153,0.657,0.7622
zamba2,1024,4,1024,256,4,108,0.4,43,65,44,64,green_ctx,2.156,0.669,2.825,2.313,2.313,0.727,0.8189
zamba2,1024,4,1024,256,4,108,0.4,43,65,108,108,two_stream,2.156,0.669,2.825,2.164,2.164,0.659,0.766
zamba2,1024,4,1024,256,4,108,0.5,54,54,54,54,green_ctx,2.156,0.669,2.825,2.284,2.284,0.761,0.8084
zamba2,1024,4,1024,256,4,108,0.5,54,54,108,108,two_stream,2.156,0.669,2.825,2.168,2.168,0.657,0.7674
zamba2,1024,4,1024,256,4,108,0.6,65,43,66,42,green_ctx,2.156,0.669,2.825,2.242,2.242,0.823,0.7937
zamba2,1024,4,1024,256,4,108,0.6,65,43,108,108,two_stream,2.156,0.669,2.825,2.157,2.157,0.655,0.7636
zamba2,1024,4,1024,256,4,108,0.7,76,32,76,32,green_ctx,2.156,0.669,2.825,2.234,2.234,0.915,0.791
zamba2,1024,4,1024,256,4,108,0.7,76,32,108,108,two_stream,2.156,0.669,2.825,2.164,2.164,0.659,0.7662
zamba2,1024,4,4096,256,4,108,0.3,32,76,32,76,green_ctx,2.146,0.89,3.036,2.41,2.41,1.017,0.7939
zamba2,1024,4,4096,256,4,108,0.3,32,76,108,108,two_stream,2.146,0.89,3.036,2.169,2.169,0.855,0.7145
zamba2,1024,4,4096,256,4,108,0.4,43,65,44,64,green_ctx,2.146,0.89,3.036,2.305,2.305,0.977,0.759
zamba2,1024,4,4096,256,4,108,0.4,43,65,108,108,two_stream,2.146,0.89,3.036,2.163,2.163,0.852,0.7125
zamba2,1024,4,4096,256,4,108,0.5,54,54,54,54,green_ctx,2.146,0.89,3.036,2.281,2.281,1.099,0.7514
zamba2,1024,4,4096,256,4,108,0.5,54,54,108,108,two_stream,2.146,0.89,3.036,2.163,2.163,0.854,0.7125
zamba2,1024,4,4096,256,4,108,0.6,65,43,66,42,green_ctx,2.146,0.89,3.036,2.252,2.252,1.24,0.7417
zamba2,1024,4,4096,256,4,108,0.6,65,43,108,108,two_stream,2.146,0.89,3.036,2.157,2.157,0.854,0.7103
zamba2,1024,4,4096,256,4,108,0.7,76,32,76,32,green_ctx,2.146,0.89,3.036,2.233,2.233,1.415,0.7354
zamba2,1024,4,4096,256,4,108,0.7,76,32,108,108,two_stream,2.146,0.89,3.036,2.15,2.15,0.854,0.7081
zamba2,2048,1,1024,256,8,108,0.3,32,76,32,76,green_ctx,4.066,0.577,4.643,4.161,4.161,0.6,0.8961
zamba2,2048,1,1024,256,8,108,0.3,32,76,108,108,two_stream,4.066,0.577,4.643,4.084,4.084,0.583,0.8797
zamba2,2048,1,1024,256,8,108,0.4,43,65,44,64,green_ctx,4.066,0.577,4.643,4.123,4.123,0.596,0.888
zamba2,2048,1,1024,256,8,108,0.4,43,65,108,108,two_stream,4.066,0.577,4.643,4.052,4.052,0.581,0.8728
zamba2,2048,1,1024,256,8,108,0.5,54,54,54,54,green_ctx,4.066,0.577,4.643,4.129,4.129,0.605,0.8894
zamba2,2048,1,1024,256,8,108,0.5,54,54,108,108,two_stream,4.066,0.577,4.643,4.054,4.054,0.579,0.8731
zamba2,2048,1,1024,256,8,108,0.6,65,43,66,42,green_ctx,4.066,0.577,4.643,4.125,4.125,0.618,0.8885
zamba2,2048,1,1024,256,8,108,0.6,65,43,108,108,two_stream,4.066,0.577,4.643,4.065,4.065,0.58,0.8756
zamba2,2048,1,1024,256,8,108,0.7,76,32,76,32,green_ctx,4.066,0.577,4.643,4.099,4.099,0.647,0.8828
zamba2,2048,1,1024,256,8,108,0.7,76,32,108,108,two_stream,4.066,0.577,4.643,4.049,4.049,0.585,0.8722
zamba2,2048,1,4096,256,8,108,0.3,32,76,32,76,green_ctx,4.104,0.653,4.756,4.188,4.188,0.712,0.8804
zamba2,2048,1,4096,256,8,108,0.3,32,76,108,108,two_stream,4.104,0.653,4.756,4.076,4.076,0.654,0.8569
zamba2,2048,1,4096,256,8,108,0.4,43,65,44,64,green_ctx,4.104,0.653,4.756,4.156,4.156,0.695,0.8737
zamba2,2048,1,4096,256,8,108,0.4,43,65,108,108,two_stream,4.104,0.653,4.756,4.072,4.072,0.651,0.8561
zamba2,2048,1,4096,256,8,108,0.5,54,54,54,54,green_ctx,4.104,0.653,4.756,4.162,4.162,0.767,0.875
zamba2,2048,1,4096,256,8,108,0.5,54,54,108,108,two_stream,4.104,0.653,4.756,4.067,4.067,0.65,0.8551
zamba2,2048,1,4096,256,8,108,0.6,65,43,66,42,green_ctx,4.104,0.653,4.756,4.148,4.148,0.772,0.872
zamba2,2048,1,4096,256,8,108,0.6,65,43,108,108,two_stream,4.104,0.653,4.756,4.048,4.048,0.648,0.851
zamba2,2048,1,4096,256,8,108,0.7,76,32,76,32,green_ctx,4.104,0.653,4.756,4.134,4.134,0.809,0.8692
zamba2,2048,1,4096,256,8,108,0.7,76,32,108,108,two_stream,4.104,0.653,4.756,4.065,4.065,0.649,0.8547
