"# value_kind: derived=tokens_per_call,n_calls,n_blocks,waves,grid_sat_sm,grid_sat_sm_pred,grid_starved,asym_headroom; metadata=model,device,config_status,batch,seq,chunk_granularity,ssd_chunk,n_heads,sm_count,blocks_per_sm"
model__metadata,device__metadata,config_status__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,ssd_chunk__metadata,n_heads__metadata,sm_count__metadata,blocks_per_sm__metadata,tokens_per_call__derived,n_calls__derived,n_blocks__derived,waves__derived,grid_sat_sm__derived,grid_sat_sm_pred__derived,grid_starved__derived,asym_headroom__derived
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,256,256,64,14,1,256,8,64,4.5714,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,256,256,64,27,1,256,8,64,2.3704,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,256,256,64,40,1,256,8,64,1.6,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,256,256,64,54,1,256,8,64,1.1852,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,256,256,64,68,1,256,8,64,0.9412,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,256,256,64,81,1,256,8,64,0.7901,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,256,256,64,94,1,256,8,64,0.6809,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,256,256,64,108,1,256,8,64,0.5926,64,64,True,True
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,512,256,64,14,1,512,4,128,9.1429,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,512,256,64,27,1,512,4,128,4.7407,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,512,256,64,40,1,512,4,128,3.2,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,512,256,64,54,1,512,4,128,2.3704,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,512,256,64,68,1,512,4,128,1.8824,128,108,False,False
zamba2_1.2b,a100_sxm4_80gb,provisional,1,2048,512,256,64,81,1,512,4,128,1.5802,128,108,False,False
