"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,bw_util_pct,scan_share_pct; metadata=model,config_status,layer_type,component,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status"
model__metadata,config_status__metadata,layer_type__metadata,component__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived,n_blocks_per_call__derived,status__metadata,scan_share_pct__derived
falcon_h1_1.5b,verified,ssm,in_proj,1,2048,256,256,0,108,0.04301,0.00365,682.667,33.48,,ok,87.114
falcon_h1_1.5b,verified,ssm,scan,1,2048,256,256,0,108,0.50534,0.00814,6.793,0.333,96,ok,87.114
falcon_h1_1.5b,verified,ssm,out_proj,1,2048,256,256,0,108,0.03174,0.00276,478.968,23.49,,ok,87.114
falcon_h1_1.5b,verified,ssm,attn,1,2048,256,256,0,108,0.03891,0.00257,121.263,5.947,32,ok,87.114
falcon_h1_1.5b,verified,ssm,in_proj,1,2048,512,512,0,108,0.05939,0.003,564.966,27.708,,ok,82.879
falcon_h1_1.5b,verified,ssm,scan,1,2048,512,512,0,108,0.51302,0.00826,13.382,0.656,192,ok,82.879
falcon_h1_1.5b,verified,ssm,out_proj,1,2048,512,512,0,108,0.04659,0.00214,382.593,18.764,,ok,82.879
falcon_h1_1.5b,verified,ssm,attn,1,2048,512,512,0,108,0.04301,0.002,219.429,10.762,64,ok,82.879
falcon_h1_1.5b,verified,ssm,in_proj,1,2048,full,2048,0,108,0.26419,0.00327,222.264,10.901,,ok,55.4
falcon_h1_1.5b,verified,ssm,scan,1,2048,full,2048,0,108,0.52531,0.01056,52.273,2.564,768,ok,55.4
falcon_h1_1.5b,verified,ssm,out_proj,1,2048,full,2048,0,108,0.15872,0.00246,211.406,10.368,,ok,55.4
falcon_h1_1.5b,verified,ssm,attn,1,2048,full,2048,0,108,0.12595,0.00283,299.707,14.699,256,ok,55.4
falcon_h1_1.5b,verified,ssm,in_proj,2,2048,256,256,0,108,0.07168,0.00302,468.114,22.958,,ok,81.123
falcon_h1_1.5b,verified,ssm,scan,2,2048,256,256,0,108,0.51046,0.0068,13.449,0.66,192,ok,81.123
falcon_h1_1.5b,verified,ssm,out_proj,2,2048,256,256,0,108,0.0471,0.00227,378.435,18.56,,ok,81.123
falcon_h1_1.5b,verified,ssm,attn,2,2048,256,256,0,108,0.04096,0.00165,230.4,11.3,64,ok,81.123
falcon_h1_1.5b,verified,ssm,in_proj,2,2048,512,512,0,108,0.13517,0.00314,310.303,15.218,,ok,69.979
falcon_h1_1.5b,verified,ssm,scan,2,2048,512,512,0,108,0.50842,0.00649,27.006,1.324,384,ok,69.979
falcon_h1_1.5b,verified,ssm,out_proj,2,2048,512,512,0,108,0.08294,0.00241,278.123,13.64,,ok,69.979
falcon_h1_1.5b,verified,ssm,attn,2,2048,512,512,0,108,0.04301,0.00349,438.857,21.523,128,ok,69.979
falcon_h1_1.5b,verified,ssm,in_proj,2,2048,full,2048,0,108,0.51763,0.00314,178.263,8.743,,ok,40.572
falcon_h1_1.5b,verified,ssm,scan,2,2048,full,2048,0,108,0.51558,0.01484,106.519,5.224,1536,ok,40.572
falcon_h1_1.5b,verified,ssm,out_proj,2,2048,full,2048,0,108,0.23757,0.00236,229.517,11.256,,ok,40.572
falcon_h1_1.5b,verified,ssm,attn,2,2048,full,2048,0,108,0.1577,0.00348,478.753,23.48,512,ok,40.572
