"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,bw_util_pct,scan_share_pct; metadata=model,config_status,layer_type,component,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status"
model__metadata,config_status__metadata,layer_type__metadata,component__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived,n_blocks_per_call__derived,status__metadata,scan_share_pct__derived
falcon_h1_3b,verified,ssm,in_proj,1,2048,256,256,0,108,0.08704,0.00327,545.129,26.735,,ok,78.879
falcon_h1_3b,verified,ssm,scan,1,2048,256,256,0,108,0.49715,0.00664,8.997,0.441,64,ok,78.879
falcon_h1_3b,verified,ssm,out_proj,1,2048,256,256,0,108,0.04608,0.00387,529.067,25.947,,ok,78.879
falcon_h1_3b,verified,ssm,attn,1,2048,256,256,0,108,0.03891,0.00235,148.211,7.269,40,ok,78.879
falcon_h1_3b,verified,ssm,in_proj,1,2048,512,512,0,108,0.16589,0.00393,319.21,15.655,,ok,69.508
falcon_h1_3b,verified,ssm,scan,1,2048,512,512,0,108,0.51354,0.00719,17.42,0.854,128,ok,69.508
falcon_h1_3b,verified,ssm,out_proj,1,2048,512,512,0,108,0.05939,0.00255,467.862,22.946,,ok,69.508
falcon_h1_3b,verified,ssm,attn,1,2048,512,512,0,108,0.04301,0.00249,268.19,13.153,80,ok,69.508
falcon_h1_3b,verified,ssm,in_proj,1,2048,full,2048,0,108,0.40755,0.0035,210.975,10.347,,ok,45.397
falcon_h1_3b,verified,ssm,scan,1,2048,full,2048,0,108,0.51251,0.0088,69.819,3.424,512,ok,45.397
falcon_h1_3b,verified,ssm,out_proj,1,2048,full,2048,0,108,0.2089,0.00245,230.902,11.324,,ok,45.397
falcon_h1_3b,verified,ssm,attn,1,2048,full,2048,0,108,0.12595,0.00277,366.309,17.965,320,ok,45.397
falcon_h1_3b,verified,ssm,in_proj,8,2048,256,256,0,108,0.40755,0.00362,210.975,10.347,,ok,45.758
falcon_h1_3b,verified,ssm,scan,8,2048,256,256,0,108,0.51917,0.14934,68.923,3.38,512,ok,45.758
falcon_h1_3b,verified,ssm,out_proj,8,2048,256,256,0,108,0.20787,0.00248,232.039,11.38,,ok,45.758
falcon_h1_3b,verified,ssm,attn,8,2048,256,256,0,108,0.03789,0.00333,1217.73,59.722,320,ok,45.758
falcon_h1_3b,verified,ssm,in_proj,8,2048,512,512,0,108,0.80282,0.00347,161.959,7.943,,ok,31.916
falcon_h1_3b,verified,ssm,scan,8,2048,512,512,0,108,0.52275,0.23158,136.901,6.714,1024,ok,31.916
falcon_h1_3b,verified,ssm,out_proj,8,2048,512,512,0,108,0.31232,0.00253,241.731,11.855,,ok,31.916
falcon_h1_3b,verified,ssm,attn,8,2048,512,512,0,108,0.07066,0.00263,1305.971,64.05,640,ok,31.916
falcon_h1_3b,verified,ssm,in_proj,8,2048,full,2048,0,108,3.02285,0.01921,130.428,6.397,,ok,27.735
falcon_h1_3b,verified,ssm,scan,8,2048,full,2048,0,108,1.68243,0.02637,170.147,8.345,4096,ok,27.735
falcon_h1_3b,verified,ssm,out_proj,8,2048,full,2048,0,108,1.3609,0.02777,175.675,8.616,,ok,27.735
falcon_h1_3b,verified,ssm,attn,8,2048,full,2048,0,108,0.5504,0.01231,670.601,32.889,2560,ok,27.735
falcon_h1_3b,verified,ssm,in_proj,32,2048,256,256,0,108,1.52269,0.00367,143.236,7.025,,ok,28.03
falcon_h1_3b,verified,ssm,scan,32,2048,256,256,0,108,0.83354,0.02567,171.715,8.422,2048,ok,28.03
falcon_h1_3b,verified,ssm,out_proj,32,2048,256,256,0,108,0.61747,0.00244,210.574,10.327,,ok,28.03
falcon_h1_3b,verified,ssm,attn,32,2048,256,256,0,108,0.08499,0.00298,2171.374,106.492,1280,ok,28.03
falcon_h1_3b,verified,ssm,in_proj,32,2048,512,512,0,108,3.02387,0.00388,130.384,6.395,,ok,28.399
falcon_h1_3b,verified,ssm,scan,32,2048,512,512,0,108,1.73363,0.02507,165.122,8.098,4096,ok,28.399
falcon_h1_3b,verified,ssm,out_proj,32,2048,512,512,0,108,1.34707,0.0181,177.478,8.704,,ok,28.399
falcon_h1_3b,verified,ssm,attn,32,2048,512,512,0,108,0.20275,0.00498,1820.444,89.281,2560,ok,28.399
falcon_h1_3b,verified,ssm,in_proj,32,2048,full,2048,0,108,10.88,0.0391,133.385,6.542,,ok,29.92
falcon_h1_3b,verified,ssm,scan,32,2048,full,2048,0,108,6.97088,0.02641,164.261,8.056,16384,ok,29.92
falcon_h1_3b,verified,ssm,out_proj,32,2048,full,2048,0,108,5.44768,0.0656,163.994,8.043,,ok,29.92
falcon_h1_3b,verified,ssm,attn,32,2048,full,2048,0,108,1.9712,0.0114,748.983,36.733,10240,ok,29.92
falcon_h1_3b,verified,ssm,in_proj,128,2048,256,256,0,108,5.4528,0.15898,136.918,6.715,,ok,31.697
falcon_h1_3b,verified,ssm,scan,128,2048,256,256,0,108,3.80109,0.02536,150.621,7.387,8192,ok,31.697
falcon_h1_3b,verified,ssm,out_proj,128,2048,256,256,0,108,2.73818,0.00641,166.965,8.189,,ok,31.697
falcon_h1_3b,verified,ssm,attn,128,2048,256,256,0,108,0.29184,0.00347,2529.46,124.054,5120,ok,31.697
falcon_h1_3b,verified,ssm,in_proj,128,2048,512,512,0,108,10.87898,0.00837,133.398,6.542,,ok,30.719
falcon_h1_3b,verified,ssm,scan,128,2048,512,512,0,108,7.23968,0.02603,158.162,7.757,16384,ok,30.719
falcon_h1_3b,verified,ssm,out_proj,128,2048,512,512,0,108,5.4487,0.02841,163.963,8.041,,ok,30.719
falcon_h1_3b,verified,ssm,attn,128,2048,512,512,0,108,0.7081,0.00745,2085.021,102.257,10240,ok,30.719
falcon_h1_3b,verified,ssm,in_proj,128,2048,full,2048,0,108,43.38688,0.46479,130.894,6.42,,ok,30.027
falcon_h1_3b,verified,ssm,scan,128,2048,full,2048,0,108,27.89581,0.02875,164.189,8.052,65536,ok,30.027
falcon_h1_3b,verified,ssm,out_proj,128,2048,full,2048,0,108,21.6192,0.15632,162.385,7.964,,ok,30.027
falcon_h1_3b,verified,ssm,attn,128,2048,full,2048,0,108,7.71226,0.04191,765.74,37.555,40960,ok,30.027
