"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,bw_util_pct,scan_share_pct; metadata=model,config_status,layer_type,component,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status"
model__metadata,config_status__metadata,layer_type__metadata,component__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived,n_blocks_per_call__derived,status__metadata,scan_share_pct__derived
zamba2_2.7b,verified,ssm,in_proj,1,2048,256,256,0,108,0.08704,0.00392,677.647,33.234,,ok,78.761
zamba2_2.7b,verified,ssm,scan,1,2048,256,256,0,108,0.50125,0.00617,10.673,0.523,80,ok,78.761
zamba2_2.7b,verified,ssm,out_proj,1,2048,256,256,0,108,0.04813,0.00223,626.383,30.72,,ok,78.761
zamba2_2.7b,verified,ssm,attn,1,2048,256,256,0,108,0.04301,0.00304,548.571,26.904,128,ok,78.761
zamba2_2.7b,verified,ssm,in_proj,1,2048,512,512,0,108,0.16589,0.00288,395.062,19.375,,ok,68.349
zamba2_2.7b,verified,ssm,scan,1,2048,512,512,0,108,0.51302,0.00766,20.855,1.023,160,ok,68.349
zamba2_2.7b,verified,ssm,out_proj,1,2048,512,512,0,108,0.07168,0.00326,475.429,23.317,,ok,68.349
zamba2_2.7b,verified,ssm,attn,1,2048,512,512,0,108,0.06144,0.00265,768.0,37.666,256,ok,68.349
zamba2_2.7b,verified,ssm,in_proj,1,2048,full,2048,0,108,0.48435,0.00738,216.49,10.617,,ok,41.65
zamba2_2.7b,verified,ssm,scan,1,2048,full,2048,0,108,0.52992,0.01357,80.758,3.961,640,ok,41.65
zamba2_2.7b,verified,ssm,out_proj,1,2048,full,2048,0,108,0.25805,0.0023,223.492,10.961,,ok,41.65
zamba2_2.7b,verified,ssm,attn,1,2048,full,2048,0,108,0.35482,0.00874,531.948,26.089,1024,ok,41.65
zamba2_2.7b,verified,ssm,in_proj,2,2048,256,256,0,108,0.16589,0.00306,395.062,19.375,,ok,68.066
zamba2_2.7b,verified,ssm,scan,2,2048,256,256,0,108,0.50637,0.00811,21.129,1.036,160,ok,68.066
zamba2_2.7b,verified,ssm,out_proj,2,2048,256,256,0,108,0.07168,0.00241,475.429,23.317,,ok,68.066
zamba2_2.7b,verified,ssm,attn,2,2048,256,256,0,108,0.03789,0.00297,1245.405,61.079,256,ok,68.066
zamba2_2.7b,verified,ssm,in_proj,2,2048,512,512,0,108,0.24678,0.00301,318.672,15.629,,ok,58.116
zamba2_2.7b,verified,ssm,scan,2,2048,512,512,0,108,0.52429,0.00782,40.813,2.002,320,ok,58.116
zamba2_2.7b,verified,ssm,out_proj,2,2048,512,512,0,108,0.13107,0.00221,320.0,15.694,,ok,58.116
zamba2_2.7b,verified,ssm,attn,2,2048,512,512,0,108,0.07885,0.00283,1196.883,58.7,512,ok,58.116
zamba2_2.7b,verified,ssm,in_proj,2,2048,full,2048,0,108,0.96154,0.00394,163.578,8.022,,ok,28.238
zamba2_2.7b,verified,ssm,scan,2,2048,full,2048,0,108,0.53248,0.0253,160.739,7.883,1280,ok,28.238
zamba2_2.7b,verified,ssm,out_proj,2,2048,full,2048,0,108,0.39168,0.0027,227.556,11.16,,ok,28.238
zamba2_2.7b,verified,ssm,attn,2,2048,full,2048,0,108,0.60109,0.01087,628.007,30.8,2048,ok,28.238
zamba2_2.7b,verified,ssm,in_proj,4,2048,256,256,0,108,0.24576,0.00301,320.0,15.694,,ok,57.991
zamba2_2.7b,verified,ssm,scan,4,2048,256,256,0,108,0.52019,0.01121,41.135,2.017,320,ok,57.991
zamba2_2.7b,verified,ssm,out_proj,4,2048,256,256,0,108,0.13107,0.0025,320.0,15.694,,ok,57.991
zamba2_2.7b,verified,ssm,attn,4,2048,256,256,0,108,0.05837,0.00271,1616.842,79.296,512,ok,57.991
zamba2_2.7b,verified,ssm,in_proj,4,2048,512,512,0,108,0.48435,0.00324,216.49,10.617,,ok,40.802
zamba2_2.7b,verified,ssm,scan,4,2048,512,512,0,108,0.51098,0.01689,83.752,4.108,640,ok,40.802
zamba2_2.7b,verified,ssm,out_proj,4,2048,512,512,0,108,0.25702,0.00252,224.382,11.005,,ok,40.802
