"# value_kind: measured=bw_util_pct_at_sat; derived=grid_sat_sm_e0,sat_sm_point,sat_sm_ci_low,sat_sm_ci_high; metadata=model,config_status,layer_type,batch,chunk_granularity,context_len,n_sm_points,min_n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,chunk_granularity__metadata,context_len__metadata,n_sm_points__metadata,min_n_measure__metadata,grid_sat_sm_e0__derived,sat_sm_point__derived,sat_sm_ci_low__derived,sat_sm_ci_high__derived,bw_util_pct_at_sat__measured
falcon_h1_1.5b,verified,ssm,1,256,0,8,30,96,27,27,27,0.331
falcon_h1_1.5b,verified,ssm,1,512,0,8,30,192,27,27,27,0.62
falcon_h1_1.5b,verified,ssm,8,256,0,8,30,768,54,54,68,2.222
falcon_h1_1.5b,verified,ssm,8,512,0,8,30,1536,94,68,94,4.219
falcon_h1_1.5b,verified,ssm,32,256,0,8,30,3072,94,94,94,5.599
falcon_h1_1.5b,verified,ssm,32,512,0,8,30,6144,94,94,94,6.319
falcon_h1_1.5b,verified,ssm,128,256,0,8,30,12288,81,81,81,5.397
falcon_h1_1.5b,verified,ssm,128,512,0,8,30,24576,81,81,81,5.651
falcon_h1_1.5b,verified,ssm_full,1,256,0,8,30,96,40,27,40,3.94
falcon_h1_1.5b,verified,ssm_full,1,512,0,8,30,192,40,40,40,4.41
falcon_h1_1.5b,verified,ssm_full,8,256,0,8,30,768,68,68,68,7.521
falcon_h1_1.5b,verified,ssm_full,8,512,0,8,30,1536,108,108,108,9.308
falcon_h1_1.5b,verified,ssm_full,32,256,0,8,30,3072,108,108,108,8.927
falcon_h1_1.5b,verified,ssm_full,32,512,0,8,30,6144,108,108,108,8.6
falcon_h1_1.5b,verified,ssm_full,128,256,0,8,30,12288,108,108,108,7.919
falcon_h1_1.5b,verified,ssm_full,128,512,0,8,30,24576,108,108,108,7.853
falcon_h1_1.5b,verified,attn,1,256,0,8,30,96,40,27,40,4.967
falcon_h1_1.5b,verified,attn,1,256,4096,8,30,96,68,68,108,4.851
falcon_h1_1.5b,verified,attn,1,512,0,8,30,192,68,54,68,8.862
falcon_h1_1.5b,verified,attn,1,512,4096,8,30,192,68,68,68,5.308
falcon_h1_1.5b,verified,attn,8,256,0,8,30,768,68,68,68,40.177
falcon_h1_1.5b,verified,attn,8,256,4096,8,30,768,68,68,68,10.911
falcon_h1_1.5b,verified,attn,8,512,0,8,30,1536,68,68,68,41.09
falcon_h1_1.5b,verified,attn,8,512,4096,8,30,1536,68,68,68,8.277
falcon_h1_1.5b,verified,attn,32,256,0,8,30,3072,108,94,108,88.192
falcon_h1_1.5b,verified,attn,32,256,4096,8,30,3072,108,108,108,17.927
falcon_h1_1.5b,verified,attn,32,512,0,8,30,6144,108,94,108,83.604
falcon_h1_1.5b,verified,attn,32,512,4096,8,30,6144,108,108,108,13.078
falcon_h1_1.5b,verified,attn,128,256,0,8,30,12288,108,108,108,133.305
falcon_h1_1.5b,verified,attn,128,256,4096,8,30,12288,108,108,108,18.262
falcon_h1_1.5b,verified,attn,128,512,0,8,30,24576,108,108,108,102.036
falcon_h1_1.5b,verified,attn,128,512,4096,8,30,24576,108,108,108,13.666
