"# value_kind: measured=bw_util_pct_at_sat; derived=grid_sat_sm_e0,sat_sm_point,sat_sm_ci_low,sat_sm_ci_high; metadata=model,config_status,layer_type,batch,chunk_granularity,context_len,n_sm_points,min_n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,chunk_granularity__metadata,context_len__metadata,n_sm_points__metadata,min_n_measure__metadata,grid_sat_sm_e0__derived,sat_sm_point__derived,sat_sm_ci_low__derived,sat_sm_ci_high__derived,bw_util_pct_at_sat__measured
falcon_h1_3b,verified,ssm,1,256,0,8,30,64,14,14,14,0.415
falcon_h1_3b,verified,ssm,1,512,0,8,30,128,27,14,27,0.785
falcon_h1_3b,verified,ssm,2,256,0,8,30,128,27,27,27,0.795
falcon_h1_3b,verified,ssm,2,512,0,8,30,256,54,27,54,1.584
falcon_h1_3b,verified,ssm,4,256,0,8,30,256,54,27,54,1.578
falcon_h1_3b,verified,ssm,4,512,0,8,30,512,54,54,54,2.9
falcon_h1_3b,verified,ssm,8,256,0,8,30,512,54,54,54,2.925
falcon_h1_3b,verified,ssm,8,512,0,8,30,1024,81,81,81,5.385
falcon_h1_3b,verified,ssm,16,256,0,8,30,1024,81,68,108,5.335
falcon_h1_3b,verified,ssm,16,512,0,8,30,2048,108,94,108,7.262
falcon_h1_3b,verified,ssm,32,256,0,8,30,2048,108,108,108,7.017
falcon_h1_3b,verified,ssm,32,512,0,8,30,4096,81,81,81,7.062
falcon_h1_3b,verified,ssm,64,256,0,8,30,4096,81,81,81,6.801
falcon_h1_3b,verified,ssm,64,512,0,8,30,8192,81,81,81,7.126
falcon_h1_3b,verified,ssm,128,256,0,8,30,8192,81,81,81,6.871
falcon_h1_3b,verified,ssm,128,512,0,8,30,16384,81,81,81,7.352
falcon_h1_3b,verified,ssm,256,256,0,8,30,16384,81,81,81,7.052
falcon_h1_3b,verified,ssm,256,512,0,8,30,32768,81,81,81,7.392
falcon_h1_3b,verified,ssm,512,256,0,8,30,32768,81,81,81,7.091
falcon_h1_3b,verified,ssm,512,512,0,8,30,65536,81,81,81,7.442
falcon_h1_3b,verified,ssm_full,1,256,0,8,30,64,40,27,40,5.801
falcon_h1_3b,verified,ssm_full,1,512,0,8,30,128,40,40,40,6.345
falcon_h1_3b,verified,ssm_full,2,256,0,8,30,128,40,40,40,6.378
falcon_h1_3b,verified,ssm_full,2,512,0,8,30,256,54,54,54,7.087
falcon_h1_3b,verified,ssm_full,4,256,0,8,30,256,54,54,54,7.133
falcon_h1_3b,verified,ssm_full,4,512,0,8,30,512,108,108,108,10.293
falcon_h1_3b,verified,ssm_full,8,256,0,8,30,512,108,108,108,10.319
falcon_h1_3b,verified,ssm_full,8,512,0,8,30,1024,108,108,108,9.486
falcon_h1_3b,verified,ssm_full,16,256,0,8,30,1024,108,108,108,9.365
falcon_h1_3b,verified,ssm_full,16,512,0,8,30,2048,108,108,108,8.542
falcon_h1_3b,verified,ssm_full,32,256,0,8,30,2048,108,108,108,8.445
falcon_h1_3b,verified,ssm_full,32,512,0,8,30,4096,108,108,108,7.839
falcon_h1_3b,verified,ssm_full,64,256,0,8,30,4096,108,108,108,7.729
falcon_h1_3b,verified,ssm_full,64,512,0,8,30,8192,108,108,108,7.501
falcon_h1_3b,verified,ssm_full,128,256,0,8,30,8192,108,108,108,7.397
falcon_h1_3b,verified,ssm_full,128,512,0,8,30,16384,108,108,108,7.337
falcon_h1_3b,verified,ssm_full,256,256,0,8,30,16384,108,108,108,7.273
falcon_h1_3b,verified,ssm_full,256,512,0,8,30,32768,108,108,108,7.316
falcon_h1_3b,verified,ssm_full,512,256,0,8,30,32768,108,108,108,7.23
falcon_h1_3b,verified,ssm_full,512,512,0,8,30,65536,108,108,108,7.274
falcon_h1_3b,verified,attn,1,256,0,8,30,64,54,40,54,5.877
falcon_h1_3b,verified,attn,1,256,4096,8,30,64,54,54,68,4.48
falcon_h1_3b,verified,attn,1,512,0,8,30,128,68,68,81,10.044
falcon_h1_3b,verified,attn,1,512,4096,8,30,128,108,68,108,6.226
falcon_h1_3b,verified,attn,2,256,0,8,30,128,68,68,68,11.274
falcon_h1_3b,verified,attn,2,256,4096,8,30,128,108,68,108,8.596
falcon_h1_3b,verified,attn,2,512,0,8,30,256,108,68,108,16.012
falcon_h1_3b,verified,attn,2,512,4096,8,30,256,108,108,108,8.37
falcon_h1_3b,verified,attn,4,256,0,8,30,256,40,40,40,24.552
falcon_h1_3b,verified,attn,4,256,4096,8,30,256,108,81,108,10.905
