"# value_kind: measured=bw_util_pct_at_sat; derived=grid_sat_sm_e0,sat_sm_point,sat_sm_ci_low,sat_sm_ci_high; metadata=model,config_status,layer_type,batch,chunk_granularity,context_len,n_sm_points,min_n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,chunk_granularity__metadata,context_len__metadata,n_sm_points__metadata,min_n_measure__metadata,grid_sat_sm_e0__derived,sat_sm_point__derived,sat_sm_ci_low__derived,sat_sm_ci_high__derived,bw_util_pct_at_sat__measured
zamba2_1.2b,verified,ssm,1,256,0,8,30,64,27,27,40,0.401
zamba2_1.2b,verified,ssm,1,512,0,8,30,128,40,40,40,0.773
zamba2_1.2b,verified,ssm,8,256,0,8,30,512,68,68,68,2.685
zamba2_1.2b,verified,ssm,8,512,0,8,30,1024,94,81,94,4.771
zamba2_1.2b,verified,ssm,32,256,0,8,30,2048,108,108,108,7.695
zamba2_1.2b,verified,ssm,32,512,0,8,30,4096,81,81,81,8.439
zamba2_1.2b,verified,ssm,128,256,0,8,30,8192,81,81,81,8.395
zamba2_1.2b,verified,ssm,128,512,0,8,30,16384,81,81,81,8.562
zamba2_1.2b,verified,ssm_full,1,256,0,8,30,64,40,40,40,5.044
zamba2_1.2b,verified,ssm_full,1,512,0,8,30,128,40,40,40,5.368
zamba2_1.2b,verified,ssm_full,8,256,0,8,30,512,68,68,81,8.375
zamba2_1.2b,verified,ssm_full,8,512,0,8,30,1024,108,108,108,10.499
zamba2_1.2b,verified,ssm_full,32,256,0,8,30,2048,108,108,108,9.881
zamba2_1.2b,verified,ssm_full,32,512,0,8,30,4096,108,108,108,9.444
zamba2_1.2b,verified,ssm_full,128,256,0,8,30,8192,108,108,108,9.015
zamba2_1.2b,verified,ssm_full,128,512,0,8,30,16384,108,108,108,8.768
zamba2_1.2b,verified,attn,1,256,0,8,30,64,40,40,40,20.545
zamba2_1.2b,verified,attn,1,256,4096,8,30,64,108,108,108,26.398
zamba2_1.2b,verified,attn,1,512,0,8,30,128,81,81,81,33.173
zamba2_1.2b,verified,attn,1,512,4096,8,30,128,68,68,68,15.218
zamba2_1.2b,verified,attn,8,256,0,8,30,512,108,81,108,88.192
zamba2_1.2b,verified,attn,8,256,4096,8,30,512,108,108,108,43.235
zamba2_1.2b,verified,attn,8,512,0,8,30,1024,108,108,108,85.08
zamba2_1.2b,verified,attn,8,512,4096,8,30,1024,108,108,108,25.158
zamba2_1.2b,verified,attn,32,256,0,8,30,2048,108,108,108,133.305
zamba2_1.2b,verified,attn,32,256,4096,8,30,2048,108,108,108,43.542
zamba2_1.2b,verified,attn,32,512,0,8,30,4096,108,108,108,100.529
zamba2_1.2b,verified,attn,32,512,4096,8,30,4096,108,108,108,26.101
zamba2_1.2b,verified,attn,128,256,0,8,30,8192,108,108,108,150.466
zamba2_1.2b,verified,attn,128,256,4096,8,30,8192,108,108,108,44.376
zamba2_1.2b,verified,attn,128,512,0,8,30,16384,108,108,108,109.107
zamba2_1.2b,verified,attn,128,512,4096,8,30,16384,108,108,108,26.275
