"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_1.5b,verified,ssm,1,2048,256,256,0,14,ok,30,96,6.8571,0.54938,0.01218,6.248,0.306
falcon_h1_1.5b,verified,ssm,1,2048,512,512,0,14,ok,30,192,13.7143,0.60672,0.00724,11.315,0.555
falcon_h1_1.5b,verified,ssm,8,2048,256,256,0,14,ok,30,768,54.8571,1.12589,0.00466,24.39,1.196
falcon_h1_1.5b,verified,ssm,8,2048,512,512,0,14,ok,30,1536,109.7143,2.01933,0.00405,27.197,1.334
falcon_h1_1.5b,verified,ssm,32,2048,256,256,0,14,ok,30,3072,219.4286,3.88352,0.0641,28.283,1.387
falcon_h1_1.5b,verified,ssm,32,2048,512,512,0,14,ok,30,6144,438.8571,7.45267,0.02738,29.476,1.446
falcon_h1_1.5b,verified,ssm,128,2048,256,256,0,14,ok,30,12288,877.7143,15.13011,0.04504,29.038,1.424
falcon_h1_1.5b,verified,ssm,128,2048,512,512,0,14,ok,30,24576,1755.4286,29.63712,0.03466,29.649,1.454
falcon_h1_1.5b,verified,ssm_full,1,2048,256,256,0,14,ok,30,96,6.8571,0.68352,0.00733,70.221,3.444
falcon_h1_1.5b,verified,ssm_full,1,2048,512,512,0,14,ok,30,192,13.7143,0.84275,0.00469,69.113,3.39
falcon_h1_1.5b,verified,ssm_full,8,2048,256,256,0,14,ok,30,768,54.8571,3.18669,0.00142,37.573,1.843
falcon_h1_1.5b,verified,ssm_full,8,2048,512,512,0,14,ok,30,1536,109.7143,6.1737,0.23846,32.674,1.602
falcon_h1_1.5b,verified,ssm_full,32,2048,256,256,0,14,ok,30,3072,219.4286,12.27366,0.01577,29.795,1.461
falcon_h1_1.5b,verified,ssm_full,32,2048,512,512,0,14,ok,30,6144,438.8571,24.37222,0.00996,28.46,1.396
