"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,ssm,1,2048,256,256,0,14,ok,30,64,4.5714,0.54323,0.00845,8.234,0.404
falcon_h1_3b,verified,ssm,1,2048,512,512,0,14,ok,30,128,9.1429,0.60314,0.00664,14.832,0.727
falcon_h1_3b,verified,ssm,8,2048,256,256,0,14,ok,30,512,36.5714,1.14022,0.00422,31.382,1.539
falcon_h1_3b,verified,ssm,8,2048,512,512,0,14,ok,30,1024,73.1429,2.03059,0.00491,35.244,1.728
falcon_h1_3b,verified,ssm,32,2048,256,256,0,14,ok,30,2048,146.2857,3.92294,0.00622,36.486,1.789
falcon_h1_3b,verified,ssm,32,2048,512,512,0,14,ok,30,4096,292.5714,7.51002,0.06252,38.117,1.869
falcon_h1_3b,verified,ssm,128,2048,256,256,0,14,ok,30,8192,585.1429,15.12192,0.00559,37.86,1.857
falcon_h1_3b,verified,ssm,128,2048,512,512,0,14,ok,30,16384,1170.2857,29.40826,0.0202,38.936,1.91
falcon_h1_3b,verified,ssm_full,1,2048,256,256,0,14,ok,30,64,4.5714,0.74701,0.00718,102.141,5.009
falcon_h1_3b,verified,ssm_full,1,2048,512,512,0,14,ok,30,128,9.1429,1.23494,0.00183,72.624,3.562
falcon_h1_3b,verified,ssm_full,8,2048,256,256,0,14,ok,30,512,36.5714,4.54349,0.00152,37.416,1.835
falcon_h1_3b,verified,ssm_full,8,2048,512,512,0,14,ok,30,1024,73.1429,8.93338,0.00257,31.017,1.521
falcon_h1_3b,verified,ssm_full,32,2048,256,256,0,14,ok,30,2048,146.2857,17.82016,0.00445,27.568,1.352
falcon_h1_3b,verified,ssm_full,32,2048,512,512,0,14,ok,30,4096,292.5714,35.4007,0.00876,25.977,1.274
falcon_h1_3b,verified,ssm_full,128,2048,256,256,0,14,ok,30,8192,585.1429,70.9545,0.01933,25.034,1.228
falcon_h1_3b,verified,ssm_full,128,2048,512,512,0,14,ok,30,16384,1170.2857,141.15789,0.02872,24.722,1.212
falcon_h1_3b,verified,attn,1,2048,256,256,0,14,ok,30,40,2.8571,0.07885,0.00219,73.143,3.587
falcon_h1_3b,verified,attn,1,2048,256,256,4096,14,ok,30,40,2.8571,0.29798,0.00173,33.43,1.64
falcon_h1_3b,verified,attn,1,2048,512,512,0,14,ok,30,80,5.7143,0.13517,0.00304,85.333,4.185
falcon_h1_3b,verified,attn,1,2048,512,512,4096,14,ok,30,80,5.7143,0.576,0.00265,27.307,1.339
falcon_h1_3b,verified,attn,8,2048,256,256,0,14,ok,30,320,22.8571,0.12902,0.00183,357.587,17.537
falcon_h1_3b,verified,attn,8,2048,256,256,4096,14,ok,30,320,22.8571,1.7623,0.00094,45.22,2.218
falcon_h1_3b,verified,attn,8,2048,512,512,0,14,ok,30,640,45.7143,0.32768,0.00381,281.6,13.811
falcon_h1_3b,verified,attn,8,2048,512,512,4096,14,ok,30,640,45.7143,3.53485,0.00212,35.597,1.746
falcon_h1_3b,verified,attn,32,2048,256,256,0,14,ok,30,1280,91.4286,0.42598,0.00166,433.231,21.247
falcon_h1_3b,verified,attn,32,2048,256,256,4096,14,ok,30,1280,91.4286,6.64474,0.00212,47.973,2.353
falcon_h1_3b,verified,attn,32,2048,512,512,0,14,ok,30,2560,182.8571,1.19296,0.00343,309.397,15.174
falcon_h1_3b,verified,attn,32,2048,512,512,4096,14,ok,30,2560,182.8571,14.0032,0.00304,35.943,1.763
falcon_h1_3b,verified,attn,128,2048,256,256,0,14,ok,30,5120,365.7143,1.6041,0.00275,460.195,22.57
falcon_h1_3b,verified,attn,128,2048,256,256,4096,14,ok,30,5120,365.7143,26.31475,0.00363,48.455,2.376
falcon_h1_3b,verified,attn,128,2048,512,512,0,14,ok,30,10240,731.4286,4.64998,0.00351,317.505,15.572
falcon_h1_3b,verified,attn,128,2048,512,512,4096,14,ok,30,10240,731.4286,55.59706,0.01414,36.212,1.776
falcon_h1_3b,verified,ssm,1,2048,256,256,0,27,ok,30,64,2.3704,0.51405,0.00908,8.702,0.427
falcon_h1_3b,verified,ssm,1,2048,512,512,0,27,ok,30,128,4.7407,0.5417,0.00535,16.515,0.81
falcon_h1_3b,verified,ssm,8,2048,256,256,0,27,ok,30,512,18.963,0.70195,0.00576,50.976,2.5
falcon_h1_3b,verified,ssm,8,2048,512,512,0,27,ok,30,1024,37.9259,1.14534,0.0033,62.484,3.064
falcon_h1_3b,verified,ssm,32,2048,256,256,0,27,ok,30,2048,75.8519,2.11149,0.00365,67.787,3.325
