"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_2.7b,verified,ssm,1,2048,256,256,0,14,ok,30,80,5.7143,0.5847,0.00825,9.15,0.449
zamba2_2.7b,verified,ssm,1,2048,512,512,0,14,ok,30,160,11.4286,0.68096,0.00596,15.712,0.771
zamba2_2.7b,verified,ssm,8,2048,256,256,0,14,ok,30,640,45.7143,1.26464,0.00505,33.84,1.66
zamba2_2.7b,verified,ssm,8,2048,512,512,0,14,ok,30,1280,91.4286,2.04288,0.03334,41.897,2.055
zamba2_2.7b,verified,ssm,32,2048,256,256,0,14,ok,30,2560,182.8571,3.88608,0.00477,44.05,2.16
zamba2_2.7b,verified,ssm,32,2048,512,512,0,14,ok,30,5120,365.7143,7.55712,0.00421,45.303,2.222
zamba2_2.7b,verified,ssm,128,2048,256,256,0,14,ok,30,10240,731.4286,15.21459,0.05778,45.004,2.207
zamba2_2.7b,verified,ssm,128,2048,512,512,0,14,ok,30,20480,1462.8571,30.11482,0.05776,45.474,2.23
zamba2_2.7b,verified,ssm_full,1,2048,256,256,0,14,ok,30,80,5.7143,0.83661,0.00495,112.931,5.539
zamba2_2.7b,verified,ssm_full,1,2048,512,512,0,14,ok,30,160,11.4286,1.43616,0.00173,76.812,3.767
zamba2_2.7b,verified,ssm_full,8,2048,256,256,0,14,ok,30,640,45.7143,5.39955,0.00182,38.026,1.865
zamba2_2.7b,verified,ssm_full,8,2048,512,512,0,14,ok,30,1280,91.4286,10.66803,0.00762,31.122,1.526
zamba2_2.7b,verified,ssm_full,32,2048,256,256,0,14,ok,30,2560,182.8571,21.25875,0.00824,27.535,1.35
zamba2_2.7b,verified,ssm_full,32,2048,512,512,0,14,ok,30,5120,365.7143,42.42023,0.01912,25.745,1.263
zamba2_2.7b,verified,ssm_full,128,2048,256,256,0,14,ok,30,10240,731.4286,84.95155,0.01564,24.785,1.216
