"# value_kind: derived=floor_sm_point,floor_sm_ci_low,floor_sm_ci_high,flat_region_bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,n_sm_points,memory_gap"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,n_sm_points__metadata,memory_gap__metadata,floor_sm_point__derived,floor_sm_ci_low__derived,floor_sm_ci_high__derived,flat_region_bw_util_pct__derived
zamba2_7b,verified,attn,1,4096,8,False,68,68,68,41.866
zamba2_7b,verified,attn,2,4096,8,False,68,68,68,50.446
zamba2_7b,verified,attn,4,4096,8,False,81,81,81,63.626
zamba2_7b,verified,attn,8,4096,8,False,68,68,68,42.221
zamba2_7b,verified,attn,16,4096,8,False,108,108,108,57.587
zamba2_7b,verified,attn,32,4096,8,False,108,108,108,57.449
zamba2_7b,verified,attn,64,4096,8,False,108,108,108,60.193
zamba2_7b,verified,attn,128,4096,8,False,108,108,108,60.239
zamba2_7b,verified,attn,256,4096,8,False,108,108,108,58.994
zamba2_7b,verified,ssm,1,4096,8,False,27,27,27,0.003
zamba2_7b,verified,ssm,2,4096,8,False,27,27,27,0.006
zamba2_7b,verified,ssm,4,4096,8,False,40,40,68,0.011
zamba2_7b,verified,ssm,8,4096,8,False,68,68,68,0.021
zamba2_7b,verified,ssm,16,4096,8,False,81,68,81,0.037
zamba2_7b,verified,ssm,32,4096,8,False,108,108,108,0.065
zamba2_7b,verified,ssm,64,4096,8,False,108,108,108,0.095
zamba2_7b,verified,ssm,128,4096,8,False,108,108,108,0.106
zamba2_7b,verified,ssm,256,4096,8,False,108,108,108,0.112
zamba2_7b,verified,ssm,512,4096,8,False,108,108,108,0.115
