"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_1.5b,verified,ssm,1,1024,14,ok,30,0.52326,0.60504,0.026,0.001
falcon_h1_1.5b,verified,ssm,1,4096,14,ok,30,0.5289,0.01032,0.026,0.001
falcon_h1_1.5b,verified,ssm,1,16384,14,ok,30,0.5207,0.00852,0.026,0.001
falcon_h1_1.5b,verified,ssm,2,1024,14,ok,30,0.53453,0.01123,0.051,0.002
falcon_h1_1.5b,verified,ssm,2,4096,14,ok,30,0.52685,0.00706,0.051,0.003
falcon_h1_1.5b,verified,ssm,2,16384,14,ok,30,0.52941,0.04892,0.051,0.003
falcon_h1_1.5b,verified,ssm,4,1024,14,ok,30,0.56218,0.00631,0.096,0.005
falcon_h1_1.5b,verified,ssm,4,4096,14,ok,30,0.56115,0.00712,0.096,0.005
falcon_h1_1.5b,verified,ssm,4,16384,14,ok,30,0.55808,0.00637,0.097,0.005
falcon_h1_1.5b,verified,ssm,8,1024,14,ok,30,0.64,0.01066,0.168,0.008
falcon_h1_1.5b,verified,ssm,8,4096,14,ok,30,0.63846,0.00727,0.168,0.008
falcon_h1_1.5b,verified,ssm,8,16384,14,ok,30,0.63642,0.0068,0.169,0.008
falcon_h1_1.5b,verified,ssm,16,1024,14,ok,30,0.84582,0.00505,0.254,0.012
falcon_h1_1.5b,verified,ssm,16,4096,14,ok,30,0.84634,0.00823,0.254,0.012
falcon_h1_1.5b,verified,ssm,16,16384,14,ok,30,0.84736,0.00839,0.254,0.012
falcon_h1_1.5b,verified,ssm,32,1024,14,ok,30,1.48992,0.00466,0.288,0.014
falcon_h1_1.5b,verified,ssm,32,4096,14,ok,30,1.49146,0.00664,0.288,0.014
falcon_h1_1.5b,verified,ssm,32,16384,14,ok,30,1.49197,0.01779,0.288,0.014
falcon_h1_1.5b,verified,ssm,64,1024,14,ok,30,2.77197,0.01566,0.31,0.015
falcon_h1_1.5b,verified,ssm,64,4096,14,ok,30,2.76992,0.00705,0.31,0.015
falcon_h1_1.5b,verified,ssm,64,16384,14,ok,30,2.77606,0.04912,0.309,0.015
falcon_h1_1.5b,verified,ssm,128,1024,14,ok,30,5.33043,0.03686,0.322,0.016
falcon_h1_1.5b,verified,ssm,128,4096,14,ok,30,5.33248,0.03056,0.322,0.016
falcon_h1_1.5b,verified,ssm,128,16384,14,ok,30,5.33146,0.04657,0.322,0.016
falcon_h1_1.5b,verified,ssm,256,1024,14,ok,30,10.48218,0.06877,0.327,0.016
falcon_h1_1.5b,verified,ssm,256,4096,14,ok,30,10.48115,0.08673,0.328,0.016
falcon_h1_1.5b,verified,ssm,256,16384,14,ok,30,10.48371,0.09579,0.327,0.016
falcon_h1_1.5b,verified,ssm,512,1024,14,ok,30,20.77594,0.11587,0.33,0.016
falcon_h1_1.5b,verified,ssm,512,4096,14,ok,30,20.74726,0.07611,0.331,0.016
falcon_h1_1.5b,verified,ssm,512,16384,14,ok,30,20.7529,0.07947,0.331,0.016
falcon_h1_1.5b,verified,attn,1,1024,14,ok,30,0.05325,0.00163,20.038,0.983
falcon_h1_1.5b,verified,attn,1,4096,14,ok,30,0.09011,0.00279,46.75,2.293
falcon_h1_1.5b,verified,attn,1,16384,14,ok,30,0.22323,0.00219,75.239,3.69
falcon_h1_1.5b,verified,attn,2,1024,14,ok,30,0.07066,0.00208,30.203,1.481
falcon_h1_1.5b,verified,attn,2,4096,14,ok,30,0.13619,0.00218,61.865,3.034
falcon_h1_1.5b,verified,attn,2,16384,14,ok,30,0.37683,0.00576,89.141,4.372
falcon_h1_1.5b,verified,attn,4,1024,14,ok,30,0.09421,0.00182,45.304,2.222
falcon_h1_1.5b,verified,attn,4,4096,14,ok,30,0.22067,0.00234,76.362,3.745
falcon_h1_1.5b,verified,attn,4,16384,14,ok,30,0.68762,0.00442,97.704,4.792
falcon_h1_1.5b,verified,attn,8,1024,14,ok,30,0.14131,0.00117,60.406,2.963
falcon_h1_1.5b,verified,attn,8,4096,14,ok,30,0.37478,0.00149,89.923,4.41
falcon_h1_1.5b,verified,attn,8,16384,14,ok,30,1.29946,0.00277,103.401,5.071
falcon_h1_1.5b,verified,attn,16,1024,14,ok,30,0.24883,0.00343,68.609,3.365
falcon_h1_1.5b,verified,attn,16,4096,14,ok,30,0.71219,0.01228,94.643,4.642
falcon_h1_1.5b,verified,attn,16,16384,14,ok,30,2.55488,0.00271,105.183,5.159
falcon_h1_1.5b,verified,attn,32,1024,14,ok,30,0.74854,0.00199,45.614,2.237
falcon_h1_1.5b,verified,attn,32,4096,14,ok,30,2.69926,0.00548,49.942,2.449
falcon_h1_1.5b,verified,attn,32,16384,14,ok,30,10.51034,0.02651,51.136,2.508
falcon_h1_1.5b,verified,attn,64,1024,14,ok,30,1.42643,0.01691,47.874,2.348
falcon_h1_1.5b,verified,attn,64,4096,14,ok,30,5.21114,0.02226,51.738,2.537
falcon_h1_1.5b,verified,attn,64,16384,14,ok,30,20.35405,0.04713,52.811,2.59
falcon_h1_1.5b,verified,attn,128,1024,14,ok,30,2.81958,0.01494,48.439,2.376
falcon_h1_1.5b,verified,attn,128,4096,14,ok,30,10.37875,0.02582,51.955,2.548
falcon_h1_1.5b,verified,attn,128,16384,14,ok,30,40.60672,0.02889,52.943,2.597
falcon_h1_1.5b,verified,attn,256,1024,14,ok,30,5.56954,0.01799,49.044,2.405
falcon_h1_1.5b,verified,attn,256,4096,14,ok,30,20.5527,0.02965,52.473,2.573
falcon_h1_1.5b,verified,attn,256,16384,14,ok,30,80.48998,0.03153,53.419,2.62
falcon_h1_1.5b,verified,attn,512,1024,14,ok,30,11.07763,0.02409,49.316,2.419
falcon_h1_1.5b,verified,attn,512,4096,14,ok,30,40.95078,0.02685,52.671,2.583
falcon_h1_1.5b,verified,attn,512,16384,14,ok,30,160.22221,0.02811,53.672,2.632
falcon_h1_1.5b,verified,ssm,1,1024,27,ok,30,0.51558,0.01119,0.027,0.001
falcon_h1_1.5b,verified,ssm,1,4096,27,ok,30,0.51507,0.02362,0.027,0.001
falcon_h1_1.5b,verified,ssm,1,16384,27,ok,30,0.512,0.00683,0.027,0.001
falcon_h1_1.5b,verified,ssm,2,1024,27,ok,30,0.51507,0.1113,0.053,0.003
falcon_h1_1.5b,verified,ssm,2,4096,27,ok,30,0.51405,0.00823,0.053,0.003
