"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,ssm,8,1024,14,ok,30,0.62822,0.00761,0.223,0.011
falcon_h1_3b,verified,ssm,8,4096,14,ok,30,0.62669,0.00603,0.223,0.011
falcon_h1_3b,verified,ssm,8,16384,14,ok,30,0.62771,0.0047,0.223,0.011
falcon_h1_3b,verified,ssm,32,1024,14,ok,30,1.65632,0.00481,0.338,0.017
falcon_h1_3b,verified,ssm,32,4096,14,ok,30,1.6553,0.07267,0.338,0.017
falcon_h1_3b,verified,ssm,32,16384,14,ok,30,1.65274,0.00392,0.338,0.017
falcon_h1_3b,verified,ssm,128,1024,14,ok,30,6.00269,0.00436,0.373,0.018
falcon_h1_3b,verified,ssm,128,4096,14,ok,30,6.00064,0.00377,0.373,0.018
falcon_h1_3b,verified,ssm,128,16384,14,ok,30,6.00166,0.00338,0.373,0.018
falcon_h1_3b,verified,ssm,256,1024,14,ok,30,11.80621,0.02466,0.379,0.019
falcon_h1_3b,verified,ssm,256,4096,14,ok,30,11.80365,0.00496,0.379,0.019
falcon_h1_3b,verified,ssm,256,16384,14,ok,30,11.8016,0.0651,0.379,0.019
falcon_h1_3b,verified,attn,8,1024,14,ok,30,0.18432,0.00142,46.489,2.28
falcon_h1_3b,verified,attn,8,4096,14,ok,30,0.47616,0.00186,70.847,3.475
falcon_h1_3b,verified,attn,8,16384,14,ok,30,1.62765,0.00238,82.572,4.05
falcon_h1_3b,verified,attn,32,1024,14,ok,30,0.90317,0.00097,37.95,1.861
falcon_h1_3b,verified,attn,32,4096,14,ok,30,3.27987,0.00128,41.141,2.018
falcon_h1_3b,verified,attn,32,16384,14,ok,30,12.78157,0.00896,42.06,2.063
falcon_h1_3b,verified,attn,128,1024,14,ok,30,3.51437,0.00201,39.012,1.913
falcon_h1_3b,verified,attn,128,4096,14,ok,30,12.93773,0.00429,41.719,2.046
falcon_h1_3b,verified,attn,128,16384,14,ok,30,50.62349,0.02417,42.478,2.083
falcon_h1_3b,verified,attn,256,1024,14,ok,30,6.97242,0.00315,39.327,1.929
falcon_h1_3b,verified,attn,256,4096,14,ok,30,25.75104,0.01828,41.921,2.056
falcon_h1_3b,verified,attn,256,16384,14,ok,30,100.78771,0.02801,42.671,2.093
falcon_h1_3b,verified,ssm,8,1024,27,ok,30,0.5591,0.00695,0.25,0.012
falcon_h1_3b,verified,ssm,8,4096,27,ok,30,0.55808,0.00696,0.251,0.012
falcon_h1_3b,verified,ssm,8,16384,27,ok,30,0.55552,0.00593,0.252,0.012
falcon_h1_3b,verified,ssm,32,1024,27,ok,30,0.9472,0.00219,0.59,0.029
falcon_h1_3b,verified,ssm,32,4096,27,ok,30,0.94618,0.00227,0.591,0.029
falcon_h1_3b,verified,ssm,32,16384,27,ok,30,0.95078,0.00426,0.588,0.029
falcon_h1_3b,verified,ssm,128,1024,27,ok,30,3.17389,0.00326,0.705,0.035
falcon_h1_3b,verified,ssm,128,4096,27,ok,30,3.17338,0.00337,0.705,0.035
falcon_h1_3b,verified,ssm,128,16384,27,ok,30,3.1744,0.00464,0.705,0.035
falcon_h1_3b,verified,ssm,256,1024,27,ok,30,6.15117,0.06683,0.727,0.036
falcon_h1_3b,verified,ssm,256,4096,27,ok,30,6.14605,0.00385,0.728,0.036
falcon_h1_3b,verified,ssm,256,16384,27,ok,30,6.1481,0.00421,0.728,0.036
falcon_h1_3b,verified,attn,8,1024,27,ok,30,0.11162,0.00172,76.771,3.765
falcon_h1_3b,verified,attn,8,4096,27,ok,30,0.26112,0.0023,129.192,6.336
falcon_h1_3b,verified,attn,8,16384,27,ok,30,0.86221,0.00219,155.876,7.645
falcon_h1_3b,verified,attn,32,1024,27,ok,30,0.48435,0.00149,70.765,3.471
falcon_h1_3b,verified,attn,32,4096,27,ok,30,1.72851,0.00123,78.066,3.829
falcon_h1_3b,verified,attn,32,16384,27,ok,30,6.69696,0.01584,80.274,3.937
falcon_h1_3b,verified,attn,128,1024,27,ok,30,1.77562,0.001,77.213,3.787
falcon_h1_3b,verified,attn,128,4096,27,ok,30,6.49933,0.00222,83.048,4.073
falcon_h1_3b,verified,attn,128,16384,27,ok,30,25.40902,0.01283,84.63,4.151
falcon_h1_3b,verified,attn,256,1024,27,ok,30,3.51232,0.00177,78.069,3.829
falcon_h1_3b,verified,attn,256,4096,27,ok,30,12.92698,0.00305,83.508,4.096
falcon_h1_3b,verified,attn,256,16384,27,ok,30,50.57178,0.02085,85.042,4.171
falcon_h1_3b,verified,ssm,8,1024,40,ok,30,0.54477,0.0083,0.257,0.013
falcon_h1_3b,verified,ssm,8,4096,40,ok,30,0.53299,0.00519,0.263,0.013
falcon_h1_3b,verified,ssm,8,16384,40,ok,30,0.53299,0.00546,0.263,0.013
falcon_h1_3b,verified,ssm,32,1024,40,ok,30,0.77312,0.00423,0.723,0.035
falcon_h1_3b,verified,ssm,32,4096,40,ok,30,0.77056,0.00436,0.726,0.036
falcon_h1_3b,verified,ssm,32,16384,40,ok,30,0.77056,0.00349,0.726,0.036
falcon_h1_3b,verified,ssm,128,1024,40,ok,30,2.51494,0.00438,0.889,0.044
falcon_h1_3b,verified,ssm,128,4096,40,ok,30,2.51494,0.00367,0.889,0.044
falcon_h1_3b,verified,ssm,128,16384,40,ok,30,2.51597,0.00478,0.889,0.044
falcon_h1_3b,verified,ssm,256,1024,40,ok,30,4.83942,0.06768,0.924,0.045
falcon_h1_3b,verified,ssm,256,4096,40,ok,30,4.83891,0.00526,0.924,0.045
falcon_h1_3b,verified,ssm,256,16384,40,ok,30,4.84045,0.00476,0.924,0.045
falcon_h1_3b,verified,attn,8,1024,40,ok,30,0.09011,0.00196,95.091,4.664
falcon_h1_3b,verified,attn,8,4096,40,ok,30,0.19558,0.00177,172.482,8.459
falcon_h1_3b,verified,attn,8,16384,40,ok,30,0.5929,0.00164,226.68,11.117
falcon_h1_3b,verified,attn,32,1024,40,ok,30,0.33382,0.00162,102.675,5.036
falcon_h1_3b,verified,attn,32,4096,40,ok,30,1.17043,0.00094,115.29,5.654
