"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_2.7b,verified,ssm,1,1024,14,ok,30,0.52429,0.00699,0.041,0.002
zamba2_2.7b,verified,ssm,1,4096,14,ok,30,0.51866,0.00557,0.041,0.002
zamba2_2.7b,verified,ssm,1,16384,14,ok,30,0.51917,0.00599,0.041,0.002
zamba2_2.7b,verified,ssm,2,1024,14,ok,30,0.55859,0.00551,0.076,0.004
zamba2_2.7b,verified,ssm,2,4096,14,ok,30,0.55142,0.00577,0.077,0.004
zamba2_2.7b,verified,ssm,2,16384,14,ok,30,0.55501,0.00575,0.076,0.004
zamba2_2.7b,verified,ssm,4,1024,14,ok,30,0.62874,0.00581,0.134,0.007
zamba2_2.7b,verified,ssm,4,4096,14,ok,30,0.62669,0.00561,0.134,0.007
zamba2_2.7b,verified,ssm,4,16384,14,ok,30,0.6313,0.00484,0.133,0.007
zamba2_2.7b,verified,ssm,8,1024,14,ok,30,0.7936,0.00496,0.211,0.01
zamba2_2.7b,verified,ssm,8,4096,14,ok,30,0.79667,0.00581,0.21,0.01
zamba2_2.7b,verified,ssm,8,16384,14,ok,30,0.79616,0.00574,0.211,0.01
zamba2_2.7b,verified,ssm,16,1024,14,ok,30,1.12589,0.00535,0.297,0.015
zamba2_2.7b,verified,ssm,16,4096,14,ok,30,1.12077,0.00486,0.299,0.015
zamba2_2.7b,verified,ssm,16,16384,14,ok,30,1.12435,0.00561,0.298,0.015
zamba2_2.7b,verified,ssm,32,1024,14,ok,30,1.80531,0.00607,0.371,0.018
zamba2_2.7b,verified,ssm,32,4096,14,ok,30,1.80582,0.34038,0.371,0.018
zamba2_2.7b,verified,ssm,32,16384,14,ok,30,1.80429,0.00348,0.371,0.018
zamba2_2.7b,verified,ssm,64,1024,14,ok,30,3.40685,0.00408,0.393,0.019
zamba2_2.7b,verified,ssm,64,4096,14,ok,30,3.40582,0.00372,0.393,0.019
zamba2_2.7b,verified,ssm,64,16384,14,ok,30,3.4048,0.23802,0.393,0.019
zamba2_2.7b,verified,ssm,128,1024,14,ok,30,6.59558,0.00422,0.406,0.02
zamba2_2.7b,verified,ssm,128,4096,14,ok,30,6.59866,0.00459,0.405,0.02
zamba2_2.7b,verified,ssm,128,16384,14,ok,30,6.59968,0.00315,0.405,0.02
zamba2_2.7b,verified,ssm,256,1024,14,ok,30,13.04371,0.0044,0.41,0.02
zamba2_2.7b,verified,ssm,256,4096,14,ok,30,13.0473,0.27347,0.41,0.02
zamba2_2.7b,verified,ssm,256,16384,14,ok,30,13.04422,0.0037,0.41,0.02
zamba2_2.7b,verified,ssm,512,1024,14,ok,30,25.9328,0.26126,0.413,0.02
zamba2_2.7b,verified,ssm,512,4096,14,ok,30,25.93229,0.00712,0.413,0.02
zamba2_2.7b,verified,ssm,512,16384,14,ok,30,25.93024,0.24063,0.413,0.02
zamba2_2.7b,verified,attn,1,1024,14,ok,30,0.11366,0.00159,185.315,9.089
zamba2_2.7b,verified,attn,1,4096,14,ok,30,0.28774,0.0019,291.851,14.313
zamba2_2.7b,verified,attn,1,16384,14,ok,30,0.95949,0.0013,349.808,17.156
zamba2_2.7b,verified,attn,2,1024,14,ok,30,0.1751,0.00175,240.585,11.799
zamba2_2.7b,verified,attn,2,4096,14,ok,30,0.51302,0.00151,327.385,16.056
zamba2_2.7b,verified,attn,2,16384,14,ok,30,1.85856,0.00254,361.179,17.714
zamba2_2.7b,verified,attn,4,1024,14,ok,30,0.31437,0.00154,268.013,13.144
zamba2_2.7b,verified,attn,4,4096,14,ok,30,0.98406,0.00131,341.353,16.741
zamba2_2.7b,verified,attn,4,16384,14,ok,30,3.65466,0.00134,367.352,18.016
zamba2_2.7b,verified,attn,8,1024,14,ok,30,0.91238,0.00099,184.691,9.058
zamba2_2.7b,verified,attn,8,4096,14,ok,30,3.42016,0.00192,196.431,9.634
zamba2_2.7b,verified,attn,8,16384,14,ok,30,13.44563,0.01007,199.7,9.794
zamba2_2.7b,verified,attn,16,1024,14,ok,30,1.75616,0.23732,191.907,9.412
zamba2_2.7b,verified,attn,16,4096,14,ok,30,6.63757,0.00401,202.431,9.928
zamba2_2.7b,verified,attn,16,16384,14,ok,30,26.1801,0.01568,205.125,10.06
zamba2_2.7b,verified,attn,32,1024,14,ok,30,3.47238,0.00195,194.114,9.52
zamba2_2.7b,verified,attn,32,4096,14,ok,30,13.18451,0.23736,203.823,9.996
zamba2_2.7b,verified,attn,32,16384,14,ok,30,52.04019,0.24064,206.386,10.122
zamba2_2.7b,verified,attn,64,1024,14,ok,30,6.85773,0.00236,196.578,9.641
zamba2_2.7b,verified,attn,64,4096,14,ok,30,26.10995,0.00471,205.845,10.095
zamba2_2.7b,verified,attn,64,16384,14,ok,30,103.11578,0.34017,208.317,10.217
zamba2_2.7b,verified,attn,128,1024,14,ok,30,13.63558,0.02103,197.729,9.697
zamba2_2.7b,verified,attn,128,4096,14,ok,30,51.97926,0.08073,206.798,10.142
zamba2_2.7b,verified,attn,128,16384,14,ok,30,205.58746,0.37707,208.969,10.249
zamba2_2.7b,verified,attn,256,1024,14,ok,30,27.26349,0.01031,197.785,9.7
zamba2_2.7b,verified,attn,256,4096,14,ok,30,103.92166,0.35417,206.871,10.146
zamba2_2.7b,,attn,256,16384,14,failed:oom,0,,,,
zamba2_2.7b,verified,attn,512,1024,14,ok,30,54.48653,0.23826,197.932,9.707
zamba2_2.7b,,attn,512,4096,14,failed:oom,0,,,,
zamba2_2.7b,,attn,512,16384,14,failed:oom,0,,,,
zamba2_2.7b,verified,ssm,1,1024,27,ok,30,0.50125,0.00813,0.043,0.002
zamba2_2.7b,verified,ssm,1,4096,27,ok,30,0.50022,0.00939,0.043,0.002
zamba2_2.7b,verified,ssm,1,16384,27,ok,30,0.4992,0.00745,0.043,0.002
zamba2_2.7b,verified,ssm,2,1024,27,ok,30,0.51712,0.00714,0.082,0.004
zamba2_2.7b,verified,ssm,2,4096,27,ok,30,0.51354,0.00634,0.082,0.004
zamba2_2.7b,verified,ssm,2,16384,27,ok,30,0.5161,0.00685,0.082,0.004
zamba2_2.7b,verified,ssm,4,1024,27,ok,30,0.55194,0.00783,0.152,0.007
zamba2_2.7b,verified,ssm,4,4096,27,ok,30,0.55654,0.00802,0.151,0.007
zamba2_2.7b,verified,ssm,4,16384,27,ok,30,0.55091,0.00733,0.153,0.007
zamba2_2.7b,verified,ssm,8,1024,27,ok,30,0.63232,0.00417,0.265,0.013
zamba2_2.7b,verified,ssm,8,4096,27,ok,30,0.62771,0.00562,0.267,0.013
zamba2_2.7b,verified,ssm,8,16384,27,ok,30,0.62976,0.00545,0.266,0.013
zamba2_2.7b,verified,ssm,16,1024,27,ok,30,0.80589,0.00507,0.415,0.02
zamba2_2.7b,verified,ssm,16,4096,27,ok,30,0.80026,0.00496,0.418,0.021
zamba2_2.7b,verified,ssm,16,16384,27,ok,30,0.79974,0.00571,0.419,0.021
zamba2_2.7b,verified,ssm,32,1024,27,ok,30,1.12589,0.006,0.594,0.029
zamba2_2.7b,verified,ssm,32,4096,27,ok,30,1.12435,0.00682,0.595,0.029
zamba2_2.7b,verified,ssm,32,16384,27,ok,30,1.12691,0.00594,0.594,0.029
zamba2_2.7b,verified,ssm,64,1024,27,ok,30,1.89696,0.06839,0.705,0.035
zamba2_2.7b,verified,ssm,64,4096,27,ok,30,1.89696,0.2375,0.705,0.035
zamba2_2.7b,verified,ssm,64,16384,27,ok,30,1.89645,0.00355,0.705,0.035
