"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_7b,verified,attn,1,4096,14,ok,30,0.62208,0.00438,188.994,9.269
zamba2_7b,verified,attn,2,4096,14,ok,30,1.13664,0.00111,206.872,10.146
zamba2_7b,verified,attn,4,4096,14,ok,30,1.83398,0.16624,256.424,12.576
zamba2_7b,verified,attn,8,4096,14,ok,30,5.93818,0.00617,158.391,7.768
zamba2_7b,verified,attn,16,4096,14,ok,30,11.56352,0.01632,162.676,7.978
zamba2_7b,verified,attn,32,4096,14,ok,30,23.05024,0.05653,163.218,8.005
zamba2_7b,verified,attn,64,4096,14,ok,30,45.73389,0.02589,164.527,8.069
zamba2_7b,verified,attn,128,4096,14,ok,30,91.10682,0.09678,165.179,8.101
zamba2_7b,verified,attn,256,4096,14,ok,30,182.11788,0.01862,165.265,8.105
zamba2_7b,,attn,512,4096,14,failed:oom,0,,,,
zamba2_7b,,ssm,1,4096,14,failed:OSError,0,,,,
zamba2_7b,,ssm,2,4096,14,failed:OSError,0,,,,
zamba2_7b,,ssm,4,4096,14,failed:OSError,0,,,,
zamba2_7b,,ssm,8,4096,14,failed:OSError,0,,,,
zamba2_7b,,ssm,16,4096,14,failed:OSError,0,,,,
zamba2_7b,,ssm,32,4096,14,failed:OSError,0,,,,
zamba2_7b,,ssm,64,4096,14,failed:OSError,0,,,,
zamba2_7b,,ssm,128,4096,14,failed:OSError,0,,,,
zamba2_7b,,ssm,256,4096,14,failed:OSError,0,,,,
zamba2_7b,,ssm,512,4096,14,failed:OSError,0,,,,
zamba2_7b,verified,attn,1,4096,27,ok,30,0.2775,0.00175,423.668,20.778
zamba2_7b,verified,attn,2,4096,27,ok,30,0.48742,0.00158,482.412,23.659
zamba2_7b,verified,attn,4,4096,27,ok,30,0.93798,0.0012,501.371,24.589
zamba2_7b,verified,attn,8,4096,27,ok,30,3.13651,0.0016,299.873,14.707
zamba2_7b,verified,attn,16,4096,27,ok,30,5.93101,0.00172,317.166,15.555
zamba2_7b,verified,attn,32,4096,27,ok,30,11.56301,0.01293,325.367,15.957
zamba2_7b,verified,attn,64,4096,27,ok,30,23.05792,0.02746,326.328,16.004
zamba2_7b,verified,attn,128,4096,27,ok,30,45.7385,0.03566,329.02,16.136
zamba2_7b,verified,attn,256,4096,27,ok,30,91.13549,0.09634,330.253,16.197
zamba2_7b,,attn,512,4096,27,failed:oom,0,,,,
zamba2_7b,,ssm,1,4096,27,failed:OSError,0,,,,
zamba2_7b,,ssm,2,4096,27,failed:OSError,0,,,,
zamba2_7b,,ssm,4,4096,27,failed:OSError,0,,,,
zamba2_7b,,ssm,8,4096,27,failed:OSError,0,,,,
zamba2_7b,,ssm,16,4096,27,failed:OSError,0,,,,
zamba2_7b,,ssm,32,4096,27,failed:OSError,0,,,,
zamba2_7b,,ssm,64,4096,27,failed:OSError,0,,,,
zamba2_7b,,ssm,128,4096,27,failed:OSError,0,,,,
zamba2_7b,,ssm,256,4096,27,failed:OSError,0,,,,
zamba2_7b,,ssm,512,4096,27,failed:OSError,0,,,,
zamba2_7b,verified,attn,1,4096,40,ok,30,0.20787,0.00251,565.586,27.738
zamba2_7b,verified,attn,2,4096,40,ok,30,0.35635,0.00198,659.851,32.361
zamba2_7b,verified,attn,4,4096,40,ok,30,0.67686,0.00842,694.79,34.075
zamba2_7b,verified,attn,8,4096,40,ok,30,2.2057,0.00233,426.422,20.913
zamba2_7b,verified,attn,16,4096,40,ok,30,4.08883,0.01527,460.061,22.563
zamba2_7b,verified,attn,32,4096,40,ok,30,8.12749,0.00733,462.901,22.702
zamba2_7b,verified,attn,64,4096,40,ok,30,16.22835,0.00349,463.661,22.74
zamba2_7b,verified,attn,128,4096,40,ok,30,32.10547,0.02156,468.733,22.988
zamba2_7b,verified,attn,256,4096,40,ok,30,64.01485,0.01893,470.169,23.059
zamba2_7b,,attn,512,4096,40,failed:oom,0,,,,
zamba2_7b,,ssm,1,4096,40,failed:OSError,0,,,,
zamba2_7b,,ssm,2,4096,40,failed:OSError,0,,,,
zamba2_7b,,ssm,4,4096,40,failed:OSError,0,,,,
zamba2_7b,,ssm,8,4096,40,failed:OSError,0,,,,
zamba2_7b,,ssm,16,4096,40,failed:OSError,0,,,,
zamba2_7b,,ssm,32,4096,40,failed:OSError,0,,,,
zamba2_7b,,ssm,64,4096,40,failed:OSError,0,,,,
zamba2_7b,,ssm,128,4096,40,failed:OSError,0,,,,
zamba2_7b,,ssm,256,4096,40,failed:OSError,0,,,,
zamba2_7b,,ssm,512,4096,40,failed:OSError,0,,,,
zamba2_7b,verified,attn,1,4096,54,ok,30,0.17254,0.00197,681.389,33.418
zamba2_7b,verified,attn,2,4096,54,ok,30,0.29082,0.00157,808.549,39.654
zamba2_7b,verified,attn,4,4096,54,ok,30,0.54272,0.00137,866.521,42.497
zamba2_7b,verified,attn,8,4096,54,ok,30,1.58618,0.00125,592.971,29.081
