prefill_layer,decode_layer,decode_batch,context_len,backend,speedup_vs_seq_micro,concurrent_ms_micro,speedup_vs_seq_full,concurrent_ms_full,speedup_delta
attn,attn,1,4096,two_stream,2.0909,0.0451,1.0836,0.9436,-1.0073
attn,attn,2,4096,two_stream,1.7909,0.0563,1.0514,0.9564,-0.7395
attn,attn,4,4096,two_stream,1.6301,0.0748,1.1032,0.9375,-0.5269000000000001
attn,attn,8,4096,two_stream,1.4486,0.1096,1.1405,0.94,-0.30810000000000004
attn,attn,16,4096,two_stream,1.2432,0.1894,1.2139,0.9528,-0.029300000000000104
attn,attn,32,4096,two_stream,1.0932,0.4833,1.517,0.9487,0.42379999999999995
attn,attn,64,4096,two_stream,1.0396,0.7752,1.8191,0.9539,0.7794999999999999
attn,attn,128,4096,two_stream,0.9496,1.5744,1.5969,1.5104,0.6473
attn,attn,256,4096,two_stream,0.9588,3.094,1.3199,2.8902,0.3611000000000001
attn,attn,512,4096,two_stream,0.8906,6.166,1.1923,5.9351,0.30169999999999997
attn,ssm,1,4096,two_stream,1.0821,0.5361,1.4959,0.9892,0.41379999999999995
attn,ssm,2,4096,two_stream,1.1125,0.5233,1.5238,0.9795,0.4113
attn,ssm,4,4096,two_stream,1.085,0.5299,1.5363,0.9805,0.45130000000000003
attn,ssm,8,4096,two_stream,1.0781,0.5376,1.539,0.9784,0.46089999999999987
attn,ssm,16,4096,two_stream,1.0685,0.5683,1.5421,0.9841,0.4736
attn,ssm,32,4096,two_stream,1.0669,0.6277,1.6457,0.9697,0.5788
attn,ssm,64,4096,two_stream,1.0487,0.8724,1.8593,0.9897,0.8106
attn,ssm,128,4096,two_stream,1.0179,1.5724,1.5934,1.5754,0.5754999999999999
attn,ssm,256,4096,two_stream,1.0056,2.9414,1.3176,2.9435,0.31200000000000006
attn,ssm,512,4096,two_stream,1.0038,5.7129,1.1613,5.7236,0.15749999999999997
ssm,attn,1,4096,two_stream,1.0921,0.5284,1.0113,8.8136,-0.08079999999999998
ssm,attn,2,4096,two_stream,1.0982,0.5263,1.0004,8.8259,-0.09780000000000011
ssm,attn,4,4096,two_stream,1.1322,0.5304,1.0083,8.7649,-0.12390000000000012
ssm,attn,8,4096,two_stream,1.2074,0.5284,1.0122,8.8028,-0.19520000000000004
ssm,attn,16,4096,two_stream,1.3688,0.5289,1.0271,8.7721,-0.3417000000000001
ssm,attn,32,4096,two_stream,1.8789,0.5412,1.0638,8.8289,-0.8150999999999999
ssm,attn,64,4096,two_stream,1.6658,0.7752,1.096,8.894,-0.5697999999999999
ssm,attn,128,4096,two_stream,1.2847,1.5432,1.1608,8.8658,-0.1238999999999999
ssm,attn,256,4096,two_stream,1.2135,2.945,1.3166,8.8812,0.10309999999999997
ssm,attn,512,4096,two_stream,1.135,5.8977,1.6666,8.9277,0.5316000000000001
ssm,ssm,1,4096,two_stream,2.0405,0.5187,1.0469,8.9252,-0.9936000000000003
ssm,ssm,2,4096,two_stream,2.0404,0.5202,1.0536,8.9139,-0.9867999999999999
ssm,ssm,4,4096,two_stream,2.0,0.5222,1.059,8.8381,-0.9410000000000001
ssm,ssm,8,4096,two_stream,2.0068,0.5248,1.0534,8.855,-0.9534000000000002
ssm,ssm,16,4096,two_stream,1.9505,0.5591,1.0636,8.8438,-0.8868999999999998
ssm,ssm,32,4096,two_stream,1.8935,0.6103,1.0546,8.9482,-0.8389
ssm,ssm,64,4096,two_stream,1.6111,0.8637,1.112,8.8028,-0.4990999999999999
ssm,ssm,128,4096,two_stream,1.3453,1.5493,1.1785,8.8581,-0.16679999999999984
ssm,ssm,256,4096,two_stream,1.179,2.923,1.3125,8.9211,0.13349999999999995
ssm,ssm,512,4096,two_stream,1.0873,5.7175,1.6261,8.8822,0.5388000000000002
