prefill_layer,decode_layer,decode_batch,context_len,backend,speedup_vs_seq_micro,concurrent_ms_micro,speedup_vs_seq_full,concurrent_ms_full,speedup_delta
attn,attn,1,4096,two_stream,2.0227,0.0451,1.1023,0.9313,-0.9203999999999999
attn,attn,2,4096,two_stream,1.7,0.0614,1.1065,0.9185,-0.5934999999999999
attn,attn,4,4096,two_stream,1.5556,0.0829,1.1209,0.9359,-0.4347000000000001
attn,attn,8,4096,two_stream,1.3682,0.1321,1.1744,0.9277,-0.19379999999999997
attn,attn,16,4096,two_stream,1.2018,0.2284,1.2692,0.9339,0.06740000000000013
attn,attn,32,4096,two_stream,1.0885,0.4859,1.5305,0.939,0.44199999999999995
attn,attn,64,4096,two_stream,0.9995,0.9324,1.9579,0.9354,0.9583999999999999
attn,attn,128,4096,two_stream,0.9613,1.9036,1.4928,1.8473,0.5314999999999999
attn,attn,256,4096,two_stream,0.996,3.8031,1.2847,3.6808,0.28869999999999996
attn,attn,512,4096,two_stream,1.0138,7.5448,1.1593,7.3912,0.14549999999999996
attn,ssm,1,4096,two_stream,1.085,0.5181,1.542,0.9682,0.4570000000000001
attn,ssm,2,4096,two_stream,1.094,0.5176,1.5328,0.9687,0.43879999999999986
attn,ssm,4,4096,two_stream,1.0817,0.514,1.5667,0.9523,0.4849999999999999
attn,ssm,8,4096,two_stream,1.0777,0.5274,1.558,0.98,0.48029999999999995
attn,ssm,16,4096,two_stream,1.059,0.5468,1.5827,0.9533,0.5237
attn,ssm,32,4096,two_stream,1.0656,0.5929,1.5829,0.9907,0.5172999999999999
attn,ssm,64,4096,two_stream,1.0423,0.9436,1.9451,0.9887,0.9028
attn,ssm,128,4096,two_stream,1.0222,1.6809,1.5418,1.7152,0.5196000000000001
attn,ssm,256,4096,two_stream,1.0095,3.1759,1.2953,3.2072,0.28579999999999983
attn,ssm,512,4096,two_stream,1.0045,6.1911,1.1486,6.2387,0.14410000000000012
ssm,attn,1,4096,two_stream,1.0916,0.514,1.0099,8.937,-0.08169999999999988
ssm,attn,2,4096,two_stream,1.1118,0.5176,1.0043,8.9574,-0.10749999999999993
ssm,attn,4,4096,two_stream,1.1748,0.5125,1.0058,8.9441,-0.16900000000000004
ssm,attn,8,4096,two_stream,1.2424,0.5197,1.0087,8.961,-0.23370000000000002
ssm,attn,16,4096,two_stream,1.4376,0.5171,1.0226,8.8735,-0.41500000000000004
ssm,attn,32,4096,two_stream,1.91,0.5233,1.0491,8.9795,-0.8609
ssm,attn,64,4096,two_stream,1.5359,0.9134,1.0817,9.0173,-0.45419999999999994
ssm,attn,128,4096,two_stream,1.2282,1.8422,1.1819,9.0563,-0.04630000000000001
ssm,attn,256,4096,two_stream,1.1478,3.6516,1.4014,9.0516,0.25360000000000005
ssm,attn,512,4096,two_stream,1.103,7.3882,1.8295,9.0767,0.7264999999999999
ssm,ssm,1,4096,two_stream,2.022,0.5115,1.0639,8.9201,-0.9580999999999997
ssm,ssm,2,4096,two_stream,2.0,0.5181,1.0533,9.0056,-0.9467000000000001
ssm,ssm,4,4096,two_stream,2.0272,0.5074,1.0594,8.9574,-0.9678000000000002
ssm,ssm,8,4096,two_stream,1.994,0.512,1.0581,8.9068,-0.9359
ssm,ssm,16,4096,two_stream,1.9636,0.5345,1.0379,9.1259,-0.9257
ssm,ssm,32,4096,two_stream,1.8872,0.5811,1.0636,9.0476,-0.8235999999999999
ssm,ssm,64,4096,two_stream,1.5437,0.938,1.1054,9.0383,-0.43830000000000013
ssm,ssm,128,4096,two_stream,1.3061,1.6742,1.1686,9.1279,-0.13749999999999996
ssm,ssm,256,4096,two_stream,1.1605,3.1708,1.3348,9.1679,0.1742999999999999
ssm,ssm,512,4096,two_stream,1.0841,6.1696,1.6796,9.0936,0.5954999999999999
