prefill_layer,decode_layer,decode_batch,context_len,backend,speedup_vs_seq_micro,concurrent_ms_micro,speedup_vs_seq_full,concurrent_ms_full,speedup_delta
attn,attn,1,4096,two_stream,1.474,0.0788,1.013,1.8068,-0.4610000000000001
attn,attn,2,4096,two_stream,1.3522,0.1178,1.0201,1.8365,-0.33210000000000006
attn,attn,4,4096,two_stream,1.2117,0.2007,1.0241,1.9082,-0.1876
attn,attn,8,4096,two_stream,1.0847,0.4833,1.0518,2.1135,-0.03289999999999993
attn,attn,16,4096,two_stream,1.0535,0.766,0.9951,2.5093,-0.05840000000000012
attn,attn,32,4096,two_stream,0.988,1.5401,0.9856,3.3096,-0.0023999999999999577
attn,attn,64,4096,two_stream,0.9311,3.0556,0.9867,4.7657,0.05559999999999998
attn,attn,128,4096,two_stream,1.0198,6.0559,1.0135,7.7225,-0.006299999999999972
attn,attn,256,4096,two_stream,1.0047,12.1088,0.9935,13.8363,-0.011199999999999877
attn,attn,512,4096,two_stream,0.9967,24.4449,0.9893,25.9046,-0.007400000000000073
attn,ssm,1,4096,two_stream,1.0652,0.5258,1.264,1.7725,0.1988000000000001
attn,ssm,2,4096,two_stream,1.0795,0.5217,1.2577,1.7879,0.17820000000000014
attn,ssm,4,4096,two_stream,1.0748,0.5274,1.2437,1.8002,0.16890000000000005
attn,ssm,8,4096,two_stream,1.0412,0.5596,1.234,1.8355,0.19280000000000008
attn,ssm,16,4096,two_stream,1.0407,0.6159,1.186,1.963,0.14529999999999998
attn,ssm,32,4096,two_stream,1.0523,0.725,1.1509,2.1212,0.09860000000000002
attn,ssm,64,4096,two_stream,1.0355,0.9938,1.0736,2.5375,0.03810000000000002
attn,ssm,128,4096,two_stream,1.0207,1.7772,1.0612,3.3044,0.04049999999999998
attn,ssm,256,4096,two_stream,1.0061,3.3756,1.0368,4.8952,0.03069999999999995
attn,ssm,512,4096,two_stream,1.0039,6.5833,1.0209,8.1167,0.016999999999999904
ssm,attn,1,4096,two_stream,1.1434,0.532,0.9979,8.5151,-0.14549999999999996
ssm,attn,2,4096,two_stream,1.2144,0.5253,1.006,8.4946,-0.20839999999999992
ssm,attn,4,4096,two_stream,1.3537,0.5268,1.02,8.4726,-0.3336999999999999
ssm,attn,8,4096,two_stream,1.8845,0.532,1.0516,8.5755,-0.8329
ssm,attn,16,4096,two_stream,1.668,0.7711,1.0867,8.5033,-0.5812999999999999
ssm,attn,32,4096,two_stream,1.3491,1.4623,1.1571,8.5345,-0.19199999999999995
ssm,attn,64,4096,two_stream,1.1707,2.8974,1.3291,8.5105,0.15839999999999987
ssm,attn,128,4096,two_stream,1.1323,5.8573,1.6817,8.5617,0.5493999999999999
ssm,attn,256,4096,two_stream,1.0589,11.9506,1.9173,10.7346,0.8584
ssm,attn,512,4096,two_stream,1.0221,24.169,1.4532,22.2464,0.43110000000000004
ssm,ssm,1,4096,two_stream,2.0069,0.5202,1.0536,8.5033,-0.9532999999999998
ssm,ssm,2,4096,two_stream,2.0398,0.514,1.0515,8.5197,-0.9883
ssm,ssm,4,4096,two_stream,2.0149,0.5171,1.0764,8.3727,-0.9384999999999999
ssm,ssm,8,4096,two_stream,1.9574,0.5412,1.0657,8.4352,-0.8916999999999999
ssm,ssm,16,4096,two_stream,1.8771,0.6042,1.0697,8.4803,-0.8073999999999999
ssm,ssm,32,4096,two_stream,1.7379,0.7188,1.0754,8.4966,-0.6625000000000001
ssm,ssm,64,4096,two_stream,1.5344,0.983,1.1192,8.4818,-0.4152
ssm,ssm,128,4096,two_stream,1.296,1.7695,1.2091,8.5222,-0.08689999999999998
ssm,ssm,256,4096,two_stream,1.1553,3.3521,1.3848,8.5591,0.22950000000000004
ssm,ssm,512,4096,two_stream,1.079,6.4814,1.7561,8.554,0.6771
