"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,sequential,,108,108,ok,0.51,0.0502,0.51,0.0502,0.5601,1.0,1.0,0.0,471.3208
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,two_stream,,108,108,ok,0.51,0.0502,0.5094,0.0696,0.5094,0.9095,1.0995,38.7755,518.2161
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,green_ctx,0.5,54,54,ok,0.51,0.0502,0.513,0.0763,0.513,0.9159,1.0918,52.0408,514.5958
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,green_ctx,0.7,76,32,ok,0.51,0.0502,0.5161,0.0891,0.5161,0.9214,1.0853,77.551,511.5327
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,sequential,,108,108,ok,0.5069,0.1464,0.5069,0.1464,0.6533,1.0,1.0,0.0,440.8307
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,two_stream,,108,108,ok,0.5069,0.1464,0.5125,0.1628,0.5125,0.7845,1.2747,11.1888,561.9381
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,green_ctx,0.5,54,54,ok,0.5069,0.1464,0.5156,0.2304,0.5156,0.7892,1.2671,57.3427,558.5899
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,green_ctx,0.7,76,32,ok,0.5069,0.1464,0.5202,0.3405,0.5202,0.7962,1.2559,132.5175,553.6417
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,sequential,,108,108,ok,0.51,0.2232,0.51,0.2232,0.7332,1.0,1.0,0.0,436.4525
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,two_stream,,108,108,ok,0.51,0.2232,0.5187,0.2376,0.5187,0.7074,1.4136,6.422,616.9793
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,green_ctx,0.5,54,54,ok,0.51,0.2232,0.5258,0.4157,0.5258,0.7172,1.3944,86.2385,608.5686
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,green_ctx,0.7,76,32,ok,0.51,0.2232,0.5304,0.6441,0.6441,0.8785,1.1383,188.5321,496.8203
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,sequential,,108,108,ok,0.5135,0.4086,0.5135,0.4086,0.9221,1.0,1.0,0.0,416.4353
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,two_stream,,108,108,ok,0.5135,0.4086,0.514,0.4219,0.514,0.5575,1.7938,3.2581,747.012
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,green_ctx,0.5,54,54,ok,0.5135,0.4086,0.5335,0.7567,0.7567,0.8207,1.2185,85.213,507.4425
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,green_ctx,0.7,76,32,ok,0.5135,0.4086,0.5361,1.2472,1.2472,1.3526,0.7393,205.2631,307.8818
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,sequential,,108,108,ok,0.5146,0.7516,0.5146,0.7516,1.2662,1.0,1.0,0.0,404.3672
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,two_stream,,108,108,ok,0.5146,0.7516,0.5284,0.766,0.766,0.6049,1.6531,1.9074,668.4492
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,green_ctx,0.5,54,54,ok,0.5146,0.7516,0.5371,1.4735,1.4735,1.1638,0.8593,96.049,347.4635
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,1024,256,256,green_ctx,0.7,76,32,ok,0.5146,0.7516,0.5376,2.4545,2.4545,1.9385,0.5159,226.5668,208.5941
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,2048,256,256,sequential,,108,108,ok,0.512,0.0737,0.512,0.0737,0.5857,1.0,1.0,0.0,450.7212
