"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,sequential,,108,108,ok,0.5146,0.0594,0.5146,0.0594,0.574,1.0,1.0,0.0,459.9688
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,two_stream,,108,108,ok,0.5146,0.0594,0.5105,0.0799,0.5105,0.8894,1.1244,34.4828,517.1765
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,green_ctx,0.5,54,54,ok,0.5146,0.0594,0.5166,0.0901,0.5166,0.9001,1.111,51.7241,511.0258
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,green_ctx,0.7,76,32,ok,0.5146,0.0594,0.5151,0.1126,0.5151,0.8974,1.1143,89.6552,512.5497
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,sequential,,108,108,ok,0.5089,0.1526,0.5089,0.1526,0.6615,1.0,1.0,0.0,435.3715
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,two_stream,,108,108,ok,0.5089,0.1526,0.5125,0.1935,0.5125,0.7748,1.2907,26.8456,561.9381
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,green_ctx,0.5,54,54,ok,0.5089,0.1526,0.5212,0.2673,0.5212,0.7879,1.2692,75.1678,552.554
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,green_ctx,0.7,76,32,ok,0.5089,0.1526,0.5192,0.4168,0.5192,0.7848,1.2742,173.1544,554.7337
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,sequential,,108,108,ok,0.5089,0.2673,0.5089,0.2673,0.7762,1.0,1.0,0.0,412.2691
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,two_stream,,108,108,ok,0.5089,0.2673,0.5151,0.2877,0.5151,0.6636,1.507,7.6628,621.2724
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,green_ctx,0.5,54,54,ok,0.5089,0.2673,0.5228,0.4925,0.5228,0.6735,1.4848,84.2912,612.145
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,green_ctx,0.7,76,32,ok,0.5089,0.2673,0.5268,0.7946,0.7946,1.0237,0.9768,197.318,402.7062
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,sequential,,108,108,ok,0.5074,0.4992,0.5074,0.4992,1.0066,1.0,1.0,0.0,381.4853
