"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6697,0.0471,8.6697,0.0471,8.7168,1.0,1.0,0.0,470.0119
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6697,0.0471,8.6835,0.0645,8.6835,0.9962,1.0038,36.9565,471.8133
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6697,0.0471,8.8018,0.0717,8.8018,1.0098,0.9903,52.1739,465.4734
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6697,0.0471,8.7639,0.0881,8.7639,1.0054,0.9946,86.9565,467.4857
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7178,0.0645,8.7178,0.0645,8.7823,1.0,1.0,0.0,466.6184
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7178,0.0645,8.6753,0.0778,8.6753,0.9878,1.0123,20.6349,472.3741
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7178,0.0645,8.7808,0.0881,8.7808,0.9998,1.0002,36.5079,466.7001
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7178,0.0645,8.8069,0.1347,8.8069,1.0028,0.9972,108.7302,465.3163
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6897,0.0973,8.6897,0.0973,8.7869,1.0,1.0,0.0,466.6014
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6897,0.0973,8.6774,0.1085,8.6774,0.9875,1.0126,11.5789,472.4931
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6897,0.0973,8.7844,0.1469,8.7844,0.9997,1.0003,51.0526,466.7373
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6897,0.0973,8.8269,0.1884,8.8269,1.0045,0.9955,93.6842,464.4903
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,sequential,,108,108,ok,8.5693,0.1567,8.5693,0.1567,8.726,1.0,1.0,0.0,470.3177
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.5693,0.1567,8.5791,0.1597,8.5791,0.9832,1.0171,1.9608,478.3734
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.5693,0.1567,8.8233,0.2161,8.8233,1.0111,0.989,37.9085,465.1323
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.5693,0.1567,8.8238,0.3011,8.8238,1.0112,0.9889,92.1569,465.1053
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7383,0.3154,8.7383,0.3154,9.0537,1.0,1.0,0.0,454.1791
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7383,0.3154,8.6984,0.3256,8.6984,0.9608,1.0408,3.2468,472.7324
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7383,0.3154,8.8412,0.6093,8.8412,0.9765,1.024,93.1818,465.0944
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7383,0.3154,8.8412,0.896,8.8412,0.9765,1.024,184.0909,465.0944
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6804,0.6011,8.6804,0.6011,9.2815,1.0,1.0,0.0,444.754
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6804,0.6011,8.6779,0.6124,8.6779,0.935,1.0696,1.8739,475.6918
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6804,0.6011,8.8172,1.1715,8.8172,0.95,1.0527,94.8893,468.1784
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6804,0.6011,8.8141,1.7408,8.8141,0.9496,1.053,189.6082,468.3416
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6559,1.1643,8.6559,1.1643,9.8202,1.0,1.0,0.0,423.6183
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6559,1.1643,8.682,1.1786,8.682,0.8841,1.1311,1.2313,479.1532
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6559,1.1643,8.8627,2.1519,8.8627,0.9025,1.108,84.8285,469.3819
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6559,1.1643,8.8694,3.4217,8.8694,0.9032,1.1072,193.8874,469.0296
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,sequential,,108,108,ok,8.663,2.2149,8.663,2.2149,10.878,1.0,1.0,0.0,388.3084
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.663,2.2149,8.7173,2.1658,8.7173,0.8014,1.2479,-2.2191,484.553
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.663,2.2149,8.8556,4.1042,8.8556,0.8141,1.2284,85.2982,476.9889
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.663,2.2149,8.8648,6.7871,8.8648,0.8149,1.2271,206.4263,476.493
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6538,4.5399,8.6538,4.5399,13.1937,1.0,1.0,0.0,329.8537
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6538,4.5399,8.6963,4.1411,8.6963,0.6591,1.5172,-8.7854,500.4416
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6538,4.5399,8.8397,8.0425,8.8397,0.67,1.4926,77.1512,492.3255
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6538,4.5399,8.8678,13.5199,13.5199,1.0247,0.9759,197.8008,321.8965
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6139,8.9641,8.6139,8.9641,17.578,1.0,1.0,0.0,262.1461
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6139,8.9641,8.7009,8.0497,8.7009,0.495,2.0202,-10.2011,529.5987
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6139,8.9641,8.9247,15.9846,15.9846,0.9094,1.0997,78.3185,288.2767
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6139,8.9641,8.9119,26.9609,26.9609,1.5338,0.652,200.7654,170.9142
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7209,0.5356,8.7209,0.5356,9.2564,1.0,1.0,0.0,442.6104
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7209,0.5356,8.8315,0.5309,8.8315,0.9541,1.0481,-0.8604,463.9082
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7209,0.5356,8.8965,0.5284,8.8965,0.9611,1.0405,-1.3384,460.5176
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7209,0.5356,8.9395,0.5315,8.9395,0.9658,1.0355,-0.7648,458.302
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7941,0.5202,8.7941,0.5202,9.3143,1.0,1.0,0.0,439.9685
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7941,0.5202,8.7286,0.5207,8.7286,0.9371,1.0671,0.0984,469.4924
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7941,0.5202,8.8458,0.5284,8.8458,0.9497,1.053,1.5748,463.2694
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7941,0.5202,8.8038,0.532,8.8038,0.9452,1.058,2.2638,465.4787
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7393,0.5238,8.7393,0.5238,9.2631,1.0,1.0,0.0,442.6162
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7393,0.5238,8.7214,0.5212,8.7214,0.9415,1.0621,-0.4888,470.1076
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7393,0.5238,8.8387,0.5407,8.8387,0.9542,1.048,3.2258,463.8714
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7393,0.5238,8.8438,0.5647,8.8438,0.9547,1.0474,7.8201,463.6029
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7921,0.5315,8.7921,0.5315,9.3235,1.0,1.0,0.0,440.1771
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7921,0.5315,8.7168,0.5386,8.7168,0.9349,1.0696,1.3487,470.815
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7921,0.5315,8.8284,0.5775,8.8284,0.9469,1.0561,8.6705,464.8625
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7921,0.5315,8.8028,0.62,8.8028,0.9442,1.0592,16.6667,466.2145
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7296,0.5811,8.7296,0.5811,9.3107,1.0,1.0,0.0,441.6414
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7296,0.5811,8.8207,0.5806,8.8207,0.9474,1.0555,-0.0881,466.1743
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7296,0.5811,8.9708,0.6579,8.9708,0.9635,1.0379,13.2159,458.3785
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7296,0.5811,8.9216,0.7542,8.9216,0.9582,1.0436,29.7797,460.9039
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8289,0.638,8.8289,0.638,9.4669,1.0,1.0,0.0,436.0465
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8289,0.638,8.8207,0.6441,8.8207,0.9317,1.0733,0.9631,467.9882
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8289,0.638,8.9452,0.8131,8.9452,0.9449,1.0583,27.4478,461.479
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8289,0.638,8.9585,1.1756,8.9585,0.9463,1.0568,84.2697,460.7933
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8197,0.9354,8.8197,0.9354,9.7551,1.0,1.0,0.0,426.442
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8197,0.9354,8.8315,0.938,8.8315,0.9053,1.1046,0.2737,471.0418
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8197,0.9354,8.9728,1.3711,8.9728,0.9198,1.0872,46.5791,463.6234
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8197,0.9354,8.9892,1.9768,8.9892,0.9215,1.0852,111.3301,462.7784
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8719,1.6138,8.8719,1.6138,10.4858,1.0,1.0,0.0,402.832
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8719,1.6138,8.8627,1.622,8.8627,0.8452,1.1831,0.5076,476.6031
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8719,1.6138,9.0143,2.3839,9.0143,0.8597,1.1632,47.7157,468.5902
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8719,1.6138,8.9718,3.67,8.9718,0.8556,1.1687,127.4112,470.8098
falcon_h1_7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8279,3.0454,8.8279,3.0454,11.8733,1.0,1.0,0.0,366.5373
