"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,sequential,,108,108,ok,8.4244,0.0727,8.4244,0.0727,8.4972,1.0,1.0,0.0,482.1616
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.4244,0.0727,8.5151,0.0891,8.5151,1.0021,0.9979,22.5352,481.1468
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.4244,0.0727,8.5898,0.1055,8.5898,1.0109,0.9892,45.0704,476.9597
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.4244,0.0727,8.599,0.1321,8.599,1.012,0.9882,81.6901,476.4485
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,sequential,,108,108,ok,8.4337,0.1116,8.4337,0.1116,8.5453,1.0,1.0,0.0,479.563
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.4337,0.1116,8.4946,0.1203,8.4946,0.9941,1.006,7.7982,482.4246
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.4337,0.1116,8.5663,0.1444,8.5663,1.0025,0.9975,29.3578,478.3878
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.4337,0.1116,8.5263,0.192,8.5263,0.9978,1.0022,72.0183,480.6285
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,sequential,,108,108,ok,8.4516,0.1905,8.4516,0.1905,8.642,1.0,1.0,0.0,474.4246
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.4516,0.1905,8.4726,0.1961,8.4726,0.9804,1.02,2.957,483.9142
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.4516,0.1905,8.6313,0.2447,8.6313,0.9988,1.0012,28.4946,475.0156
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.4516,0.1905,8.6451,0.3441,8.6451,1.0004,0.9996,80.6452,474.256
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,sequential,,108,108,ok,8.4547,0.5632,8.4547,0.5632,9.0179,1.0,1.0,0.0,455.0971
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.4547,0.5632,8.5755,0.5934,8.5755,0.9509,1.0516,5.3636,478.5733
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.4547,0.5632,8.6733,0.9016,8.6733,0.9618,1.0397,60.0909,473.1774
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.4547,0.5632,8.66,1.1776,8.66,0.9603,1.0413,109.0909,473.9048
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,sequential,,108,108,ok,8.4838,0.7567,8.4838,0.7567,9.2406,1.0,1.0,0.0,444.9939
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.4838,0.7567,8.5033,0.7716,8.5033,0.9202,1.0867,1.9621,483.5772
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.4838,0.7567,8.639,1.4577,8.639,0.9349,1.0696,92.6252,475.9823
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.4838,0.7567,8.6446,2.2984,8.6446,0.9355,1.0689,203.7213,475.6723
zamba2_1.2b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,sequential,,108,108,ok,8.4306,1.4449,8.4306,1.4449,9.8755,1.0,1.0,0.0,418.006
