"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7245,0.1147,8.7245,0.1147,8.8392,1.0,1.0,0.0,463.5052
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7245,0.1147,8.7726,0.128,8.7726,0.9925,1.0076,11.6071,467.0219
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7245,0.1147,8.9283,0.1853,8.9283,1.0101,0.99,61.6071,458.8802
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7245,0.1147,8.9303,0.2545,8.9303,1.0103,0.9898,121.875,458.775
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7363,0.1782,8.7363,0.1782,8.9144,1.0,1.0,0.0,459.704
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7363,0.1782,8.8392,0.1925,8.8392,0.9916,1.0085,8.046,463.6183
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7363,0.1782,8.9789,0.3031,8.9789,1.0072,0.9928,70.1149,456.4011
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7363,0.1782,8.9047,0.4352,8.9047,0.9989,1.0011,144.2529,460.2062
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,sequential,,108,108,ok,8.724,0.3297,8.724,0.3297,9.0537,1.0,1.0,0.0,452.8537
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.724,0.3297,8.7823,0.3359,8.7823,0.97,1.0309,1.8634,466.8462
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.724,0.3297,8.9308,0.553,8.9308,0.9864,1.0138,67.7019,459.0846
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.724,0.3297,8.9211,0.8233,8.9211,0.9854,1.0149,149.6894,459.5852
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7322,0.9595,8.7322,0.9595,9.6916,1.0,1.0,0.0,423.4574
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7322,0.9595,8.8755,0.9677,8.8755,0.9158,1.092,0.8538,462.3955
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7322,0.9595,9.0988,1.5903,9.0988,0.9388,1.0652,65.7417,451.0509
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7322,0.9595,9.0706,2.5334,9.0706,0.9359,1.0685,164.0342,452.4512
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8279,1.5841,8.8279,1.5841,10.412,1.0,1.0,0.0,394.9277
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8279,1.5841,8.9308,1.5964,8.9308,0.8577,1.1659,0.7757,460.4283
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8279,1.5841,9.0824,3.1447,9.0824,0.8723,1.1464,98.5133,452.7454
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8279,1.5841,9.0593,5.0319,9.0593,0.8701,1.1493,217.6471,453.8968
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8253,3.2435,8.8253,3.2435,12.0689,1.0,1.0,0.0,342.0372
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8253,3.2435,8.9431,3.1493,8.9431,0.741,1.3495,-2.9045,461.5847
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8253,3.2435,9.0941,5.9709,9.0941,0.7535,1.3271,84.0884,453.9185
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8253,3.2435,9.0404,10.0444,10.0444,0.8323,1.2015,209.6764,410.9746
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7962,6.2131,8.7962,6.2131,15.0093,1.0,1.0,0.0,277.1619
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7962,6.2131,8.8771,5.9643,8.8771,0.5914,1.6908,-4.0049,468.6238
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7962,6.2131,9.0547,11.906,11.906,0.7932,1.2606,91.6275,349.4023
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7962,6.2131,9.1423,20.0463,20.0463,1.3356,0.7487,222.6452,207.5192
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8351,12.5425,8.8351,12.5425,21.3775,1.0,1.0,0.0,197.5906
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8351,12.5425,8.9395,11.8917,11.8917,0.5563,1.7977,-5.1884,355.2054
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8351,12.5425,9.1218,23.7112,23.7112,1.1092,0.9016,89.0476,178.1434
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8351,12.5425,9.1121,40.0497,40.0497,1.8734,0.5338,219.3126,105.4691
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8044,25.0573,8.8044,25.0573,33.8616,1.0,1.0,0.0,128.523
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8044,25.0573,8.9411,24.1848,24.1848,0.7142,1.4001,-3.4818,179.9475
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8044,25.0573,9.1556,47.3344,47.3344,1.3979,0.7154,88.9048,91.9416
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,256,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8044,25.0573,9.153,79.9247,79.9247,2.3603,0.4237,218.9681,54.4512
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,4096,256,full,1,16,sequential,,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,4096,256,full,1,16,two_stream,,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,4096,256,full,1,16,green_ctx,0.5,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,512,4096,4096,256,full,1,16,green_ctx,0.7,,,failed:OutOfMemoryError,,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7644,0.5212,8.7644,0.5212,9.2856,1.0,1.0,0.0,441.2193
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7644,0.5212,8.8812,0.5187,8.8812,0.9564,1.0455,-0.4912,461.314
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7644,0.5212,8.9836,0.5248,8.9836,0.9675,1.0336,0.6876,456.0557
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7644,0.5212,8.9626,0.5263,8.9626,0.9652,1.036,0.9823,457.1238
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8238,0.5207,8.8238,0.5207,9.3445,1.0,1.0,0.0,438.5462
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8238,0.5207,8.8812,0.5212,8.8812,0.9504,1.0522,0.0983,461.4266
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8238,0.5207,8.9984,0.5356,8.9984,0.963,1.0385,2.8515,455.4143
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8238,0.5207,8.9805,0.5642,8.9805,0.961,1.0405,8.3579,456.3231
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8212,0.5187,8.8212,0.5187,9.3399,1.0,1.0,0.0,438.9767
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8212,0.5187,8.8402,0.5335,8.8402,0.9465,1.0565,2.8628,463.7908
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8212,0.5187,9.0127,0.5765,9.0127,0.965,1.0363,11.155,454.9118
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,4,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8212,0.5187,9.0296,0.6282,9.0296,0.9668,1.0344,21.1254,454.0606
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8622,0.5632,8.8622,0.5632,9.4254,1.0,1.0,0.0,435.4188
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8622,0.5632,8.8673,0.5765,8.8673,0.9408,1.0629,2.3636,462.8226
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8622,0.5632,9.0404,0.6636,9.0404,0.9592,1.0426,17.8182,453.963
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,8,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8622,0.5632,8.9882,0.7716,8.9882,0.9536,1.0486,37.0,456.6007
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8591,0.6564,8.8591,0.6564,9.5155,1.0,1.0,0.0,432.1361
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8591,0.6564,8.9308,0.6671,8.9308,0.9386,1.0655,1.6381,460.4282
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8591,0.6564,9.0624,0.8289,9.0624,0.9524,1.05,26.2871,453.7429
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,16,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8591,0.6564,9.0286,1.0491,9.0286,0.9488,1.0539,59.8284,455.4412
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,4096,256,full,1,16,sequential,,108,108,ok,8.9615,0.8253,8.9615,0.8253,9.7869,1.0,1.0,0.0,421.7892
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.9615,0.8253,8.8622,0.8259,8.8622,0.9055,1.1043,0.062,465.7981
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.9615,0.8253,9.0721,1.1566,9.0721,0.927,1.0788,40.1365,455.02
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,32,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.9615,0.8253,9.0772,1.6169,9.0772,0.9275,1.0782,95.9057,454.7634
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,4096,256,full,1,16,sequential,,108,108,ok,8.855,1.1668,8.855,1.1668,10.0219,1.0,1.0,0.0,415.0914
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.855,1.1668,8.917,1.1704,8.917,0.8898,1.1239,0.3071,466.525
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.855,1.1668,9.1003,1.9405,9.1003,0.908,1.1013,66.301,457.1284
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,64,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.855,1.1668,9.0696,3.0213,9.0696,0.905,1.105,158.9294,458.6767
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8822,2.1361,8.8822,2.1361,11.0182,1.0,1.0,0.0,383.3643
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8822,2.1361,8.9093,2.133,8.9093,0.8086,1.2367,-0.1438,474.1107
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8822,2.1361,9.1474,3.668,9.1474,0.8302,1.2045,71.7162,461.771
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,128,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8822,2.1361,9.1013,5.8276,9.1013,0.826,1.2106,172.8188,464.1089
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,4096,256,full,1,16,sequential,,108,108,ok,8.917,4.0724,8.917,4.0724,12.9894,1.0,1.0,0.0,335.0414
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.917,4.0724,8.9083,4.0709,8.9083,0.6858,1.4581,-0.0377,488.5338
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.917,4.0724,9.1443,7.1521,9.1443,0.704,1.4205,75.6223,475.9239
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,256,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.917,4.0724,9.0732,11.4335,11.4335,0.8802,1.1361,180.7518,380.6368
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,512,4096,4096,256,full,1,16,sequential,,108,108,ok,8.9078,7.9119,8.9078,7.9119,16.8197,1.0,1.0,0.0,273.9643
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,512,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.9078,7.9119,8.9764,7.9109,8.9764,0.5337,1.8738,-0.0129,513.347
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,512,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.9078,7.9119,9.0936,14.0401,14.0401,0.8347,1.198,77.4542,328.2036
zamba2_7b,a100_sxm4_80gb,verified,ssm,ssm,512,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.9078,7.9119,9.1136,22.5797,22.5797,1.3425,0.7449,185.3879,204.077
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,1,4096,4096,256,full,1,16,sequential,,108,108,ok,5.248,0.1137,5.248,0.1137,5.3617,1.0,1.0,0.0,764.1284
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,5.248,0.1137,5.3166,0.2463,5.3166,0.9916,1.0085,116.6667,770.6041
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,5.248,0.1137,9.5222,0.1894,9.5222,1.776,0.5631,66.6667,430.2588
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,5.248,0.1137,7.6621,0.2632,7.6621,1.429,0.6998,131.5315,534.7112
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,2,4096,4096,256,full,1,16,sequential,,108,108,ok,5.2408,0.1782,5.2408,0.1782,5.419,1.0,1.0,0.0,756.227
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,5.2408,0.1782,5.3683,0.3369,5.3683,0.9906,1.0094,89.0805,763.3673
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,5.2408,0.1782,9.5319,0.3123,9.5319,1.759,0.5685,75.2874,429.9246
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,5.2408,0.1782,7.679,0.4608,7.679,1.417,0.7057,158.6207,533.6649
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,4,4096,4096,256,full,1,16,sequential,,108,108,ok,5.2342,0.3282,5.2342,0.3282,5.5624,1.0,1.0,0.0,737.0962
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,4,4096,4096,256,full,1,16,two_stream,,108,108,ok,5.2342,0.3282,5.5153,0.4716,5.5153,0.9915,1.0085,43.6817,743.3915
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,4,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,5.2342,0.3282,9.5222,0.5796,9.5222,1.7119,0.5841,76.5991,430.5739
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,4,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,5.2342,0.3282,7.6954,0.8771,7.6954,1.3835,0.7228,167.2387,532.7886
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,8,4096,4096,256,full,1,16,sequential,,108,108,ok,5.2326,0.9605,5.2326,0.9605,6.1932,1.0,1.0,0.0,662.6674
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,8,4096,4096,256,full,1,16,two_stream,,108,108,ok,5.2326,0.9605,6.0186,1.0516,6.0186,0.9718,1.029,9.4883,681.8907
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,8,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,5.2326,0.9605,9.5585,1.6051,9.5585,1.5434,0.6479,67.1109,429.3548
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,8,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,5.2326,0.9605,7.7251,2.5764,7.7251,1.2474,0.8017,168.2303,531.2583
zamba2_7b,a100_sxm4_80gb,verified,attn,attn,16,4096,4096,256,full,1,16,sequential,,108,108,ok,5.2378,1.5841,5.2378,1.5841,6.8219,1.0,1.0,0.0,602.7657
