"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,sequential,,108,108,ok,0.5258,0.1782,0.5258,0.1782,0.704,1.0,1.0,0.0,375.0
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,two_stream,,108,108,ok,0.5258,0.1782,0.5222,0.192,0.5222,0.7418,1.348,7.7586,505.5147
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,green_ctx,0.5,54,54,ok,0.5258,0.1782,0.5315,0.276,0.5315,0.7549,1.3247,54.8851,496.7486
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,1024,256,256,green_ctx,0.7,76,32,ok,0.5258,0.1782,0.5253,0.4137,0.5253,0.7462,1.3402,132.1839,502.5585
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,sequential,,108,108,ok,0.5161,0.5192,0.5161,0.5192,1.0353,1.0,1.0,0.0,278.1899
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,two_stream,,108,108,ok,0.5161,0.5192,0.5263,0.5294,0.5299,0.5119,1.9536,1.9724,543.4783
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,green_ctx,0.5,54,54,ok,0.5161,0.5192,0.5407,0.9267,0.9267,0.8952,1.1171,78.501,310.7735
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,1024,256,256,green_ctx,0.7,76,32,ok,0.5161,0.5192,0.5432,1.535,1.535,1.4827,0.6744,195.6607,187.6251
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,sequential,,108,108,ok,0.5166,0.9626,0.5166,0.9626,1.4792,1.0,1.0,0.0,216.3378
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,two_stream,,108,108,ok,0.5166,0.9626,0.534,0.9754,0.9754,0.6594,1.5165,1.3298,328.084
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,green_ctx,0.5,54,54,ok,0.5166,0.9626,0.5437,1.8371,1.8371,1.242,0.8052,90.8511,174.1917
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,1024,256,256,green_ctx,0.7,76,32,ok,0.5166,0.9626,0.5458,3.051,3.051,2.0627,0.4848,216.9681,104.8834
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,sequential,,108,108,ok,0.5161,1.8857,0.5161,1.8857,2.4018,1.0,1.0,0.0,159.8806
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,two_stream,,108,108,ok,0.5161,1.8857,0.534,2.0081,2.0081,0.8361,1.1961,6.4893,191.229
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,green_ctx,0.5,54,54,ok,0.5161,1.8857,0.5432,3.6465,3.6465,1.5182,0.6587,93.375,105.3075
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,1024,256,256,green_ctx,0.7,76,32,ok,0.5161,1.8857,0.5422,6.0063,6.0063,2.5007,0.3999,218.5175,63.9332
