"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7511,0.0461,8.7511,0.0461,8.7972,1.0,1.0,0.0,465.7172
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7511,0.0461,8.6948,0.0625,8.6948,0.9884,1.0118,35.5556,471.202
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7511,0.0461,8.7542,0.0696,8.7542,0.9951,1.0049,51.1111,468.0052
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7511,0.0461,8.7209,0.0809,8.7209,0.9913,1.0087,75.5555,469.7912
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx_protect,0.37,40,68,ok,8.7511,0.0461,8.8269,0.0701,8.8269,1.0034,0.9966,52.2222,464.1504
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7076,0.0594,8.7076,0.0594,8.767,1.0,1.0,0.0,467.436
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7076,0.0594,8.6907,0.0748,8.6907,0.9913,1.0088,25.8621,471.5392
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7076,0.0594,8.7716,0.086,8.7716,1.0005,0.9995,44.8276,467.1904
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7076,0.0594,8.7813,0.1044,8.7813,1.0016,0.9984,75.8621,466.6729
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx_protect,0.25,28,80,ok,8.7076,0.0594,8.8182,0.0809,8.8182,1.0058,0.9942,36.2069,464.7219
