"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8161,0.0855,8.8161,0.0855,8.9016,1.0,1.0,0.0,460.2527
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8161,0.0855,8.702,0.0998,8.702,0.9776,1.0229,16.7665,470.8139
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8161,0.0855,8.7752,0.1219,8.7752,0.9858,1.0144,42.515,466.8857
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8161,0.0855,8.8335,0.1592,8.8335,0.9924,1.0077,86.2275,463.8007
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx_protect,0.5,54,54,ok,8.8161,0.0855,8.8105,0.1239,8.8105,0.9898,1.0103,44.9102,465.0135
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7977,0.1423,8.7977,0.1423,8.94,1.0,1.0,0.0,458.3876
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7977,0.1423,8.7117,0.1556,8.7117,0.9745,1.0262,9.3525,470.403
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7977,0.1423,8.7895,0.1884,8.7895,0.9832,1.0171,32.3741,466.2379
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7977,0.1423,8.8172,0.2545,8.8172,0.9863,1.0139,78.777,464.7759
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx_protect,0.5,54,54,ok,8.7977,0.1423,8.7946,0.1874,8.7946,0.9837,1.0165,31.6547,465.9665
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6804,0.2412,8.6804,0.2412,8.9216,1.0,1.0,0.0,459.5588
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6804,0.2412,8.6835,0.2427,8.6835,0.9733,1.0274,0.6369,472.1587
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6804,0.2412,8.8566,0.3236,8.8566,0.9927,1.0073,34.1826,462.9329
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6804,0.2412,8.8525,0.4628,8.8525,0.9923,1.0078,91.9321,463.1471
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,4096,256,full,1,16,green_ctx_protect,0.37,40,68,ok,8.6804,0.2412,8.8335,0.2662,8.8335,0.9901,1.01,10.4034,464.1403
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6979,0.6154,8.6979,0.6154,9.3133,1.0,1.0,0.0,440.6611
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6979,0.6154,8.6733,0.6267,8.6733,0.9313,1.0738,1.8303,473.1774
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6979,0.6154,8.8699,0.9595,8.8699,0.9524,1.05,55.9068,462.689
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6979,0.6154,8.8704,1.4817,8.8704,0.9524,1.0499,140.7654,462.6623
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,4096,256,full,1,16,green_ctx_protect,0.37,40,68,ok,8.6979,0.6154,8.8678,0.7721,8.8678,0.9522,1.0502,25.4576,462.7959
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6953,0.9784,8.6953,0.9784,9.6737,1.0,1.0,0.0,425.0688
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6953,0.9784,8.7153,0.9876,8.7153,0.9009,1.11,0.9419,471.8159
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6953,0.9784,8.8719,1.8401,8.8719,0.9171,1.0904,88.0691,463.484
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6953,0.9784,8.8965,2.9164,8.8965,0.9197,1.0874,198.0638,462.2036
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,4096,256,full,1,16,green_ctx_protect,,,,failed:no_room(decode_floor=108),,,,,,,,,
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6692,1.8647,8.6692,1.8647,10.5339,1.0,1.0,0.0,391.8781
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6692,1.8647,8.7521,1.8708,8.7521,0.8309,1.2036,0.3295,471.6567
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6692,1.8647,8.8991,3.4386,8.8991,0.8448,1.1837,84.4042,463.8686
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.6692,1.8647,8.8643,5.7431,8.8643,0.8415,1.1884,207.9901,465.6905
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,4096,4096,256,full,1,16,green_ctx_protect,,,,failed:no_room(decode_floor=108),,,,,,,,,
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,sequential,,108,108,ok,8.7153,3.8231,8.7153,3.8231,12.5384,1.0,1.0,0.0,331.7816
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.7153,3.8231,8.7465,3.5149,8.7465,0.6976,1.4335,-8.0621,475.6191
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.7153,3.8231,8.8812,6.8076,8.8812,0.7083,1.4118,78.0635,468.4077
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.7153,3.8231,8.9303,11.4954,11.4954,0.9168,1.0907,200.683,361.8831
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,64,4096,4096,256,full,1,16,green_ctx_protect,,,,failed:no_room(decode_floor=108),,,,,,,,,
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,sequential,,108,108,ok,8.6907,7.7691,8.6907,7.7691,16.4598,1.0,1.0,0.0,256.6256
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.6907,7.7691,8.8013,6.9427,8.8013,0.5347,1.8702,-10.6366,479.9302
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.6907,7.7691,8.9211,13.5404,13.5404,0.8226,1.2156,74.285,311.9564
