"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,sequential,,108,108,ok,8.8689,0.1147,8.8689,0.1147,8.9836,1.0,1.0,0.0,456.0557
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.8689,0.1147,8.8346,0.128,8.8346,0.9834,1.0169,11.6071,463.7469
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.8689,0.1147,8.9774,0.1864,8.9774,0.9993,1.0007,62.5,456.3678
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.8689,0.1147,9.0209,0.254,9.0209,1.0042,0.9959,121.4286,454.1661
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,4096,256,full,1,16,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,sequential,,108,108,ok,8.9201,0.1782,8.9201,0.1782,9.0982,1.0,1.0,0.0,450.4168
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,two_stream,,108,108,ok,8.9201,0.1782,8.898,0.1905,8.898,0.978,1.0225,6.8966,460.5505
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.5,54,54,ok,8.9201,0.1782,9.047,0.3031,9.047,0.9944,1.0057,70.1149,452.9658
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx,0.7,76,32,ok,8.9201,0.1782,9.0481,0.4352,9.0481,0.9945,1.0055,144.2529,452.9146
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,4096,256,full,1,16,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
