"# value_kind: measured=fused_ms,prefill_only_ms,decode_only_ms; derived=fusion_saving_ms; metadata=model,device,config_status,layer_type,prefill_tokens,decode_batch,context_len,status"
model__metadata,device__metadata,config_status__metadata,layer_type__metadata,prefill_tokens__metadata,decode_batch__metadata,context_len__metadata,status__metadata,fused_ms__measured,prefill_only_ms__measured,decode_only_ms__measured,fusion_saving_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,1,4096,ok,1.1151,0.6047,0.5893,0.0788
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,2,4096,ok,1.1069,0.5975,0.6006,0.0911
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,4,4096,ok,1.1013,0.5939,0.5919,0.0845
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,8,4096,ok,1.0957,0.5929,0.5857,0.0829
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,16,4096,ok,1.1351,0.6062,0.6042,0.0753
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,32,4096,ok,1.1878,0.6026,0.6625,0.0773
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,64,4096,ok,1.5826,0.6031,1.046,0.0666
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,128,4096,ok,2.3977,0.6001,1.8371,0.0394
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,256,4096,ok,3.7729,0.5965,3.2251,0.0486
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,512,4096,ok,6.8157,0.5949,6.2484,0.0276
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,1,4096,ok,1.2861,0.8013,0.5852,0.1004
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,2,4096,ok,1.2867,0.8033,0.5908,0.1075
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,4,4096,ok,1.2933,0.8028,0.5955,0.105
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,8,4096,ok,1.2964,0.8044,0.5857,0.0937
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,16,4096,ok,1.3015,0.8018,0.5929,0.0932
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,32,4096,ok,1.3455,0.8003,0.6415,0.0963
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,64,4096,ok,1.7091,0.8028,0.9943,0.0881
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,128,4096,ok,2.4346,0.8008,1.7321,0.0983
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,256,4096,ok,3.9352,0.8008,3.2312,0.0968
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,512,4096,ok,6.9315,0.8008,6.2515,0.1208
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,1,4096,ok,0.1178,0.0881,0.0911,0.0614
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,2,4096,ok,0.129,0.0876,0.0983,0.0568
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,4,4096,ok,0.1505,0.087,0.1219,0.0584
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,8,4096,ok,0.1997,0.087,0.1725,0.0599
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,16,4096,ok,0.2954,0.0881,0.2673,0.0599
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,32,4096,ok,0.5581,0.0891,0.5253,0.0563
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,64,4096,ok,0.9825,0.0891,0.9687,0.0753
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,128,4096,ok,1.9502,0.0891,1.9487,0.0876
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,256,4096,ok,3.8784,0.0881,3.8871,0.0968
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,512,4096,ok,7.806,0.087,7.7107,-0.0082
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,1,4096,ok,0.3871,0.3523,0.0891,0.0543
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,2,4096,ok,0.3948,0.3482,0.0973,0.0507
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,4,4096,ok,0.4183,0.3502,0.1208,0.0527
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,8,4096,ok,0.4628,0.3492,0.171,0.0573
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,16,4096,ok,0.5576,0.3492,0.2662,0.0579
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,32,4096,ok,0.8253,0.3471,0.5228,0.0445
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,64,4096,ok,1.2616,0.3615,0.9667,0.0666
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,128,4096,ok,2.2031,0.3743,1.9082,0.0794
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,256,4096,ok,4.1334,0.382,3.8538,0.1024
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,512,4096,ok,7.9288,0.3871,7.767,0.2253
