"# value_kind: measured=fused_ms,prefill_only_ms,decode_only_ms; derived=fusion_saving_ms; metadata=model,device,config_status,layer_type,prefill_tokens,decode_batch,context_len,status"
model__metadata,device__metadata,config_status__metadata,layer_type__metadata,prefill_tokens__metadata,decode_batch__metadata,context_len__metadata,status__metadata,fused_ms__measured,prefill_only_ms__measured,decode_only_ms__measured,fusion_saving_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,1,4096,ok,1.0911,0.5985,0.5704,0.0778
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,2,4096,ok,1.0998,0.6026,0.5888,0.0916
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,4,4096,ok,1.0895,0.6042,0.5862,0.1009
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,8,4096,ok,1.1028,0.5965,0.5934,0.087
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,16,4096,ok,1.2068,0.6072,0.6866,0.087
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,32,4096,ok,1.3542,0.6047,0.8335,0.084
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,64,4096,ok,1.6589,0.6042,1.0399,-0.0148
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,128,4096,ok,2.262,0.597,1.7188,0.0538
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,256,4096,ok,3.7422,0.6011,3.1365,-0.0046
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,512,4096,ok,6.59,0.5949,6.0319,0.0369
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,1,4096,ok,1.3251,0.894,0.577,0.1459
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,2,4096,ok,1.3102,0.8924,0.5786,0.1608
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,4,4096,ok,1.3189,0.894,0.578,0.1531
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,8,4096,ok,1.3358,0.8919,0.596,0.1521
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,16,4096,ok,1.3983,0.895,0.6589,0.1556
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,32,4096,ok,1.5201,0.8909,0.7782,0.149
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,64,4096,ok,1.7613,0.8934,1.0214,0.1536
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,128,4096,ok,2.4269,0.8883,1.6829,0.1444
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,256,4096,ok,3.8656,0.8924,3.1345,0.1613
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,512,4096,ok,6.7748,0.8934,6.0334,0.1521
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,1,4096,ok,0.3062,0.2355,0.1638,0.0932
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,2,4096,ok,0.3635,0.2365,0.2186,0.0916
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,4,4096,ok,0.4567,0.2365,0.322,0.1019
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,8,4096,ok,0.8535,0.2371,0.6984,0.0819
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,16,4096,ok,1.2042,0.2386,1.0568,0.0911
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,32,4096,ok,2.2016,0.2488,2.049,0.0963
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,64,4096,ok,4.0771,0.2611,3.9424,0.1265
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,128,4096,ok,7.9058,0.2591,7.8372,0.1905
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,256,4096,ok,15.8172,0.2601,15.5858,0.0287
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,512,4096,ok,31.1316,0.2611,30.9832,0.1126
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,1,4096,ok,1.3701,1.214,0.1659,0.0097
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,2,4096,ok,1.406,1.2191,0.2181,0.0312
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,4,4096,ok,1.5068,1.2201,0.3226,0.0358
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,8,4096,ok,1.8939,1.2211,0.6989,0.0261
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,16,4096,ok,2.2948,1.2488,1.0793,0.0333
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,32,4096,ok,3.3029,1.2759,2.0485,0.0215
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,64,4096,ok,5.1599,1.2948,4.01,0.1449
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,128,4096,ok,9.2227,1.3455,7.8341,-0.043
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,256,4096,ok,16.8627,1.3189,15.7614,0.2176
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,512,4096,failed:OutOfMemoryError,,,,
