"# value_kind: measured=fused_ms,prefill_only_ms,decode_only_ms; derived=fusion_saving_ms; metadata=model,device,config_status,layer_type,prefill_tokens,decode_batch,context_len,status"
model__metadata,device__metadata,config_status__metadata,layer_type__metadata,prefill_tokens__metadata,decode_batch__metadata,context_len__metadata,status__metadata,fused_ms__measured,prefill_only_ms__measured,decode_only_ms__measured,fusion_saving_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,1,4096,ok,1.0895,0.5873,0.5729,0.0707
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,2,4096,ok,1.0711,0.5765,0.5806,0.086
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,4,4096,ok,1.0634,0.5734,0.5765,0.0865
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,8,4096,ok,1.0655,0.5734,0.5734,0.0814
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,16,4096,ok,1.1013,0.5898,0.5898,0.0783
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,32,4096,ok,1.1735,0.5852,0.6538,0.0655
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,64,4096,ok,1.5662,0.5873,1.0409,0.062
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,128,4096,ok,2.2682,0.5806,1.7326,0.0451
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,256,4096,ok,3.7637,0.5775,3.2374,0.0512
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,256,512,4096,ok,6.8234,0.5816,6.2751,0.0333
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,1,4096,ok,1.2774,0.7951,0.5806,0.0983
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,2,4096,ok,1.2698,0.7926,0.5842,0.107
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,4,4096,ok,1.2744,0.7956,0.5852,0.1065
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,8,4096,ok,1.2682,0.7936,0.5801,0.1055
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,16,4096,ok,1.2841,0.7962,0.5852,0.0973
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,32,4096,ok,1.3338,0.7936,0.6385,0.0983
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,64,4096,ok,1.6998,0.7951,0.9948,0.0901
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,128,4096,ok,2.4376,0.7941,1.7367,0.0932
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,256,4096,ok,3.9368,0.7946,3.2456,0.1034
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,2048,512,4096,ok,6.9489,0.788,6.2766,0.1157
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,1,4096,ok,0.1341,0.0876,0.0973,0.0507
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,2,4096,ok,0.1311,0.087,0.0988,0.0548
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,4,4096,ok,0.1311,0.086,0.0983,0.0532
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,8,4096,ok,0.1367,0.087,0.1004,0.0507
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,16,4096,ok,0.1536,0.087,0.1157,0.0492
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,32,4096,ok,0.1915,0.0876,0.1526,0.0486
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,64,4096,ok,0.2703,0.086,0.236,0.0517
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,128,4096,ok,0.5243,0.0881,0.4767,0.0404
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,256,4096,ok,0.8054,0.086,0.766,0.0466
falcon_h1_3b,a100_sxm4_80gb,verified,attn,256,512,4096,ok,1.538,0.0881,1.5227,0.0727
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,1,4096,ok,0.3758,0.3482,0.0983,0.0707
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,2,4096,ok,0.3768,0.3482,0.0993,0.0707
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,4,4096,ok,0.3784,0.3466,0.0993,0.0676
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,8,4096,ok,0.3881,0.3476,0.1004,0.0599
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,16,4096,ok,0.405,0.3461,0.1147,0.0558
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,32,4096,ok,0.4413,0.3476,0.1526,0.0589
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,64,4096,ok,0.5105,0.3492,0.2345,0.0732
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,128,4096,ok,0.7731,0.3482,0.4797,0.0548
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,256,4096,ok,1.0404,0.3512,0.7711,0.0819
falcon_h1_3b,a100_sxm4_80gb,verified,attn,2048,512,4096,ok,1.7961,0.3779,1.5002,0.0819
