"# value_kind: measured=fused_ms,prefill_only_ms,decode_only_ms; derived=fusion_saving_ms; metadata=model,device,config_status,layer_type,prefill_tokens,decode_batch,context_len,status"
model__metadata,device__metadata,config_status__metadata,layer_type__metadata,prefill_tokens__metadata,decode_batch__metadata,context_len__metadata,status__metadata,fused_ms__measured,prefill_only_ms__measured,decode_only_ms__measured,fusion_saving_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,1,4096,ok,1.0854,0.5955,0.575,0.085
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,2,4096,ok,1.0941,0.6011,0.5868,0.0937
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,4,4096,ok,1.0803,0.5949,0.5796,0.0942
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,8,4096,ok,1.0967,0.5939,0.5934,0.0906
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,16,4096,ok,1.1935,0.6016,0.6871,0.0952
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,32,4096,ok,1.3686,0.6047,0.8381,0.0742
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,64,4096,ok,1.6563,0.6021,1.0363,-0.0179
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,128,4096,ok,2.2651,0.5914,1.727,0.0532
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,256,4096,ok,3.755,0.5965,3.1427,-0.0159
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,256,512,4096,ok,6.5812,0.5883,6.036,0.043
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,1,4096,ok,1.3148,0.8868,0.5714,0.1434
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,2,4096,ok,1.3107,0.8858,0.5745,0.1495
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,4,4096,ok,1.3138,0.8919,0.5765,0.1546
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,8,4096,ok,1.3281,0.8893,0.5939,0.1551
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,16,4096,ok,1.3921,0.8883,0.6564,0.1526
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,32,4096,ok,1.5212,0.8888,0.7782,0.1459
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,64,4096,ok,1.7603,0.8904,1.0173,0.1475
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,128,4096,ok,2.4238,0.8883,1.6835,0.148
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,256,4096,ok,3.8641,0.8914,3.1334,0.1608
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,2048,512,4096,ok,6.7574,0.8863,6.0319,0.1608
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,1,4096,ok,0.3052,0.2355,0.1608,0.0911
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,2,4096,ok,0.3512,0.235,0.2135,0.0973
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,4,4096,ok,0.4439,0.2355,0.3139,0.1055
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,8,4096,ok,0.9595,0.2796,0.768,0.0881
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,16,4096,ok,1.367,0.2785,1.1735,0.085
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,32,4096,ok,2.177,0.2478,1.9405,0.0113
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,64,4096,ok,3.9526,0.256,3.9567,0.2601
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,128,4096,ok,7.9386,0.256,7.8336,0.151
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,256,4096,ok,15.7292,0.2601,15.7414,0.2724
zamba2_2.7b,a100_sxm4_80gb,verified,attn,256,512,4096,ok,31.1731,0.2601,31.4414,0.5284
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,1,4096,ok,1.3988,1.2319,0.1628,-0.0041
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,2,4096,ok,1.3952,1.2268,0.212,0.0435
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,4,4096,ok,1.4991,1.2324,0.3128,0.0461
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,8,4096,ok,1.8796,1.2201,0.6738,0.0143
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,16,4096,ok,2.2728,1.2672,1.0445,0.0389
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,32,4096,ok,3.2553,1.2851,1.9016,-0.0686
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,64,4096,ok,5.2188,1.3773,3.9772,0.1357
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,128,4096,ok,9.2329,1.3512,7.8909,0.0092
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,256,4096,ok,17.1254,1.3716,15.806,0.0522
zamba2_2.7b,a100_sxm4_80gb,verified,attn,2048,512,4096,failed:OutOfMemoryError,,,,
