"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,sequential,,108,108,ok,0.6236,0.086,0.6236,0.086,0.7096,1.0,1.0,0.0,362.1596
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6236,0.086,0.6282,0.0978,0.6282,0.8853,1.1296,13.6905,409.0897
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6236,0.086,0.6615,0.1193,0.6615,0.9322,1.0728,38.6905,388.5086
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6236,0.086,0.6605,0.1546,0.6605,0.9307,1.0744,79.7619,389.1109
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,green_ctx_protect,0.5,54,54,ok,0.6236,0.086,0.6636,0.1188,0.6636,0.9351,1.0694,38.0952,387.3095
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,sequential,,108,108,ok,0.6175,0.1423,0.6175,0.1423,0.7598,1.0,1.0,0.0,339.5595
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6175,0.1423,0.6298,0.1536,0.6308,0.8302,1.2045,7.9137,409.0148
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6175,0.1423,0.6661,0.1853,0.6661,0.8767,1.1407,30.2158,387.3222
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6175,0.1423,0.6671,0.2519,0.6671,0.878,1.1389,76.9784,386.7277
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,green_ctx_protect,0.5,54,54,ok,0.6175,0.1423,0.6671,0.1853,0.6671,0.878,1.1389,30.2158,386.7277
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,256,256,full,1,1,sequential,,108,108,ok,0.6144,0.2422,0.6144,0.2422,0.8566,1.0,1.0,0.0,303.5341
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6144,0.2422,0.6246,0.2396,0.6246,0.7292,1.3713,-1.0571,416.2398
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6144,0.2422,0.6733,0.3195,0.6733,0.786,1.2722,31.9239,386.1692
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6144,0.2422,0.6682,0.4598,0.6682,0.78,1.282,89.852,389.1283
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,4,4096,256,256,full,1,1,green_ctx_protect,0.37,40,68,ok,0.6144,0.2422,0.6646,0.2652,0.6646,0.7759,1.2889,9.5137,391.2269
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,full,1,1,sequential,,108,108,ok,0.6159,0.6164,0.6159,0.6164,1.2324,1.0,1.0,0.0,214.219
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6159,0.6164,0.6354,0.6257,0.6354,0.5156,1.9396,1.495,415.4915
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6159,0.6164,0.6784,0.9585,0.9585,0.7777,1.2858,55.4817,275.4407
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6159,0.6164,0.6764,1.4848,1.4848,1.2048,0.83,140.8638,177.8017
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,4096,256,256,full,1,1,green_ctx_protect,0.37,40,68,ok,0.6159,0.6164,0.6753,0.768,0.768,0.6232,1.6047,24.5847,343.75
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,1,1,sequential,,108,108,ok,0.6036,0.9769,0.6036,0.9769,1.5805,1.0,1.0,0.0,172.0926
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,16,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6036,0.9769,0.6328,0.9871,0.9871,0.6246,1.6011,1.0482,275.5446
