"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,sequential,,108,108,ok,0.6502,0.1137,0.6502,0.1137,0.7639,1.0,1.0,0.0,336.4297
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6502,0.1137,0.6508,0.128,0.6508,0.8519,1.1739,12.6126,394.9277
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6502,0.1137,0.7219,0.1833,0.7219,0.945,1.0582,61.2613,355.9951
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6502,0.1137,0.7158,0.2529,0.7158,0.937,1.0672,122.5225,359.0509
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,sequential,,108,108,ok,0.6395,0.1792,0.6395,0.1792,0.8187,1.0,1.0,0.0,315.1384
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,two_stream,,108,108,ok,0.6395,0.1792,0.6518,0.1905,0.6518,0.7961,1.2561,6.2857,395.8415
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,green_ctx,0.5,54,54,ok,0.6395,0.1792,0.724,0.3011,0.724,0.8843,1.1308,68.0,356.3693
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,green_ctx,0.7,76,32,ok,0.6395,0.1792,0.7199,0.4332,0.7199,0.8793,1.1373,141.7143,358.397
zamba2_7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,1,1,green_ctx_protect,,,,failed:no_room(decode_floor=None),,,,,,,,,
