"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,sequential,,108,108,ok,0.8038,0.0471,0.8038,0.0471,0.8509,1.0,1.0,0.0,302.0175
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,two_stream,,108,108,ok,0.8038,0.0471,0.8028,0.1254,0.8028,0.9434,1.0599,166.3043,320.1232
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,0.8038,0.0471,1.3005,0.0758,1.3005,1.5283,0.6543,60.8696,197.6193
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,0.8038,0.0471,1.0516,0.0906,1.0516,1.2359,0.8092,92.3913,244.3783
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx_protect,0.37,40,68,ok,0.8038,0.0471,1.6701,0.0717,1.6701,1.9627,0.5095,52.1739,153.879
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,sequential,,108,108,ok,0.7987,0.0614,0.7987,0.0614,0.8602,1.0,1.0,0.0,299.9442
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,two_stream,,108,108,ok,0.7987,0.0614,0.8079,0.1475,0.8079,0.9393,1.0646,140.0,319.3322
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,0.7987,0.0614,1.2923,0.0922,1.2923,1.5024,0.6656,50.0,199.6459
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,0.7987,0.0614,1.0547,0.1116,1.0547,1.2262,0.8155,81.6667,244.6147
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx_protect,0.25,28,80,ok,0.7987,0.0614,2.39,0.084,2.39,2.7786,0.3599,36.6667,107.9491
