"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,sequential,,108,108,ok,0.8858,0.085,0.8858,0.085,0.9708,1.0,1.0,0.0,264.7432
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,two_stream,,108,108,ok,0.8858,0.085,0.8924,0.2493,0.8924,0.9193,1.0878,193.3735,287.9823
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,0.8858,0.085,1.4705,0.126,1.4705,1.5148,0.6602,48.1928,174.7748
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,0.8858,0.085,1.2109,0.1644,1.2109,1.2474,0.8017,93.3735,212.2423
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx_protect,0.5,54,54,ok,0.8858,0.085,1.4705,0.126,1.4705,1.5148,0.6602,48.1928,174.7748
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,sequential,,108,108,ok,0.8822,0.1454,0.8822,0.1454,1.0276,1.0,1.0,0.0,251.0744
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,two_stream,,108,108,ok,0.8822,0.1454,0.9016,0.319,0.9016,0.8774,1.1397,119.3662,286.1478
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,0.8822,0.1454,1.4756,0.2007,1.4756,1.436,0.6964,38.0282,174.846
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,0.8822,0.1454,1.2129,0.2642,1.2129,1.1804,0.8472,81.6901,212.7084
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx_protect,0.5,54,54,ok,0.8822,0.1454,1.4756,0.2017,1.4756,1.436,0.6964,38.7324,174.846
