"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,prefill_mode,prefill_batch,n_chunks,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,prefill_mode__metadata,prefill_batch__metadata,n_chunks__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,sequential,,108,108,ok,0.7982,0.0492,0.7982,0.0492,0.8474,1.0,1.0,0.0,303.2949
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,two_stream,,108,108,ok,0.7982,0.0492,0.8038,0.1111,0.8038,0.9486,1.0541,126.0417,319.7154
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,0.7982,0.0492,1.3041,0.0625,1.3041,1.539,0.6498,27.0833,197.0762
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,0.7982,0.0492,1.0506,0.0655,1.0506,1.2399,0.8065,33.3333,244.6165
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,1,4096,256,256,full,8,1,green_ctx_protect,0.37,40,68,ok,0.7982,0.0492,1.6763,0.0594,1.6763,1.9782,0.5055,20.8333,153.3149
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,sequential,,108,108,ok,0.7997,0.0502,0.7997,0.0502,0.8499,1.0,1.0,0.0,303.558
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,two_stream,,108,108,ok,0.7997,0.0502,0.8018,0.1198,0.8018,0.9434,1.06,138.7755,321.7792
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.5,54,54,ok,0.7997,0.0502,1.3061,0.0681,1.3061,1.5367,0.6507,35.7143,197.5328
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx,0.7,76,32,ok,0.7997,0.0502,1.0557,0.0835,1.0557,1.2422,0.805,66.3265,244.3774
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,2,4096,256,256,full,8,1,green_ctx_protect,0.25,28,80,ok,0.7997,0.0502,2.3869,0.0645,2.3869,2.8084,0.3561,28.5714,108.088
